"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar a notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Tem certeza?"
"Date Added","Data de Adição"
"Last Update","Última Atualização"
"Mark as Read","Marcar como Lida"
"Mark as read","Marcar como lida"
"Message","Mensagem"
"Messages Inbox","Caixa de Entrada de Mensagens"
"Notifications","Notificações"
"Please select messages.","Selecione mensagens."
"Read Details","Ler detalhes"
"Remove","Remover"
"Severity","Rigor"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi removida."
"Total of %d record(s) have been marked as read.","Foi(Foram) marcado(s) ao todo %d registro(s) como lido(s)."
"Total of %d record(s) have been removed.","Foi(Foram) removido(s) ao todo %d registro(s)."
"Unable to proceed. Please, try again.","Impossível prosseguir. Tente novamente."
"Update Frequency","Atualizar Frequência"
"Use HTTPS to Get Feed","Use HTTPS para Obter Comentários"
"critical","crítico"
"major","maior"
"minor","menor"
"notice","aviso"
