"Actions","操作"
"An error occurred while marking notification as read.","标记通知为已读时遇到了错误。"
"An error occurred while marking the messages as read.","标记信息为已读时遇到了错误。"
"An error occurred while removing messages.","删除信息时遇到了错误。"
"An error occurred while removing the message.","删除该信息时遇到了错误。"
"Are you sure?","您是否确认？"
"Date Added","添加日期"
"Last Update","最后更新"
"Mark as Read","标记为已读"
"Mark as read","标记为已读"
"Message","信息"
"Messages Inbox","收件箱"
"Notifications","通知"
"Please select messages.","请选择一条信息。"
"Read Details","阅读详情"
"Remove","删除"
"Severity","严重程度"
"Show List","显示列表"
"Show Toolbar","显示工具栏"
"The message has been marked as read.","该信息已标记为已读。"
"The message has been removed.","该信息已被删除。"
"Total of %d record(s) have been marked as read.","共 %d 条信息标记为已读。"
"Total of %d record(s) have been removed.","共 %d 条信息被删除。"
"Unable to proceed. Please, try again.","无法处理。请重试。"
"Update Frequency","更新频率"
"Use HTTPS to Get Feed","使用HTTPS获取源"
"critical","重要"
"major","主要"
"minor","次要"
"notice","注意"
