"* Required Fields","* Vereiste velden"
"Comment","Reactie"
"Contact Form","contactformulier"
"Contact Information","contactinformatie"
"Contact Us","contacteer ons"
"Contact Us Form","contacteer ons vanuit"
"Contacts","contacten"
"Contacts Section","contact sectie"
"Email","Email"
"Email Options","email opties"
"Email Sender","email afzender"
"Email Template","email thema"
"Enable Contact Us","schakel contacteer ons in"
"Name","Naam"
"Send Emails To","verstuur emails naar"
"Submit","Bevestig"
"Telephone","telefoon"
"Unable to submit your request. Please, try again later","Niet in staat om uw aanvraag in te dienen. Probeer a.u.b. later opnieuw."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Uw vraag is verstuurd en zal zo spoedig mogelijk beantwoord worden. Dank u dat u contact met ons heeft opgenomen."
