" or ","或"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","“%value%” 似乎是一个 DNS 主机名，但无法提取 TLD 部分"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","“%value%” 似乎是一个 DNS 主机名，但无法与已知列表匹配 TLD"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","“%value%” 似乎是一个 DNS 主机名，但无法与 TLD “%tld%” 的主机名模式相匹配。"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","“%value%” 似乎是一个 DNS 主机名，但在无效位置包含破折号"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' 似乎是 DNS 主机名，但无法对指定的 Punycode符号解码"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' 似乎是本地网络名称，此处不能使用本地网络名称"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' 似乎是 IP 地址，此处不能使用 IP 地址"
"'%value%' does not appear to be a valid local network name","'%value%' 似乎不是有效的本地网络名"
"* Required Fields","*必要字段"
"ALL GROUPS","所有群组"
"Account Dashboard","账户显示板"
"Account Information","帐户信息"
"Account Sharing Options","账户分享选项"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","帐户信息是必须的。请使用您电子邮件中的确认链接。要重新发送确认电子邮件，请 <a href=""%s"">点击这里</a>。"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","帐户信息是必须的。请使用您电子邮件中的确认链接。要重新发送确认电子邮件，请 <a href=""%s"">点击这里</a>。"
"Action","操作"
"Add New Address","添加新地址"
"Add New Customer","添加新客户"
"Add New Customer Group","添加新客户群组"
"Added From","已添加，来自"
"Additional Address Entries","额外地址行"
"Address","地址"
"Address Book","地址薄"
"Address Books","地址簿"
"Address Information","地址信息"
"Address Templates","地址模板"
"Addresses","地址"
"Admin","管理员"
"All","全部"
"All Store Views","所有店铺视图"
"All countries","所有国家"
"Always optional.","总是可选。"
"Amount","数量"
"An error occurred while deleting the address.","删除该地址时遇到了错误。"
"An error occurred while retrieving the option value: %s.","获取选项值 %s 时遇到了错误。"
"An error occurred while saving the collection, aborting. Error: %s","保存集合时遇到了错误，正在忽略，错误号：%s"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s)为无效的选项ID，跳过此记录。"
"Approved","已批准"
"Are you sure that you want to remove this item?","您是否确认要删除该内容？"
"Are you sure you want to cancel adding of this address?","您是否确认要取消添加该地址？"
"Are you sure you want to delete this address?","您是否确认要删除该地址？"
"Are you sure?","您是否确认？"
"Array of Entity collections is expected.","预期获得实体集合阵列。"
"Assign a Customer Group","分配客户组"
"Average Sale","平均销售"
"Back","返回"
"Back - link to the previously viewed page","返回 - 链接到上一个看过的页面"
"Back to Login","返回到登录界面"
"Bad request.","请求有误。"
"Based on the VAT ID, the customer would belong to the Customer Group %s.","根据 VAT ID 来看，该客户应该属于客户群体 %s。"
"Bill to Name","记账姓名"
"Bought From","购自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","通过在我们的店铺中创建帐户，您将能用更快速度结账，保存多个送货地址，并可在您的帐户中查看并追踪您的订单，还有更多功能。"
"CSV","CSV"
"Cancel","取消"
"Cannot save a new password.","无法保存新密码。"
"Cannot save address.","无法保存地址。"
"Cannot save the customer.","无法保存客户。"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","无法全局分享客户帐户，因为某些客户的帐户所用的邮件地址在多个网站是相同的，无法合并。"
"Change Account Password","更改帐户密码"
"Change Billing Address","更改账单地址"
"Change Password","更改密码"
"Change Shipping Address","更改送货地址"
"City","城市"
"Company","公司"
"Config","配置"
"Configure","配置"
"Confirm New Password","确认新密码"
"Confirm Password","确认密码"
"Confirmation Link Email","确认链接邮件"
"Confirmed","已确认"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create","创建"
"Create New Account Options","创建新帐户选项"
"Create New Customer Account","创建新客户帐户"
"Create Order","创建订单"
"Create an Account","创建帐户"
"Create customer","创建客户"
"Create customer address","创建客户地址"
"Current Password","当前密码"
"Customer","客户"
"Customer API","自定义 API"
"Customer Account Edit Form","客户帐户编辑表单"
"Customer Account Login Form","客户帐户登录表单"
"Customer Account Logout Success","客户帐户注销成功"
"Customer Account Registration Form","客户账户注册自"
"Customer Addresses","客户地址"
"Customer Configuration","客户配置"
"Customer Forgot Password Form","客户忘记密码表单"
"Customer Group","客户组"
"Customer Groups","客户组"
"Customer Information","客户信息"
"Customer Login","客户登录"
"Customer My Account (All Pages)","客户我的帐户（所有页面）"
"Customer My Account Address Book","客户我的帐户地址簿"
"Customer My Account Address Edit Form","客户我的帐户地址编辑表单"
"Customer My Account Dashboard","客户我的帐户仪表板"
"Customer Since","客户加入日期"
"Customer View","客户视图"
"Customer collection expected.","预期的客户集合。"
"Customer email is required","需要客户邮件"
"Customer website ID must be specified when using the website scope","使用网站范围时必须指定客户网站ID"
"Customer will stay on the current page if ""No"" is selected.","如果选择“否”，客户将停留在当前页面。"
"Customers","客户"
"Customers Only","仅限客户"
"Customers Section","客户区域"
"DD","DD"
"Date","日期"
"Date Added","添加日期"
"Date of Birth","出生日期"
"Day","天"
"Days in Wishlist","位于愿望清单的天数"
"Default Addresses","默认地址"
"Default Billing Address","默认账单地址"
"Default Email Domain","默认邮件域"
"Default Group","默认组"
"Default Shipping Address","默认送货地址"
