"An error occurred while clearing the external full page cache.","Ocurrió un error mientras se limpiaba la caché de página completa externa"
"Cookie Lifetime (seconds)","Duración de la Cookie (segundos)"
"Enable External Cache","Habilitar Caché Externa"
"External Cache Control","Control de Caché Externa"
"External Full Page Cache Settings","Configuración de la Caché de Página Completa Externa"
"External full page cache.","Caché de página completa externa."
"Failed to load external cache control","Fallo al cargar el control de caché externa"
"Flush External Page Cache","Borrar Caché de Página Externa"
"If empty, default value will be used.","Si está vacío, se usará el valor por defecto."
"The external full page cache has been cleaned.","La caché de página completa externa se ha limpiado."
"Zend Full Page Cache","Caché de Página Completa Zend"
