"""Remember Me"" Default Value","Valor-padrão ""Lembre-me"""
"(Not %s?)","(Não %s?)"
"* Required Fields","* Campos obrigatórios"
"Address","Endereço"
"Address Information","Informações de Endereço"
"Already registered?","Já está registado?"
"Back","Voltar"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de se mover através do processo de compra mais rapidamente, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos em sua conta e muito mais."
"Cannot load configuration from file %s.","Não é possível carregar configuração do arquivo %s."
"Checkout as Guest","Checkout como Visitante"
"Checkout as a Guest or Register","Checkout como um Visitante ou se Registe"
"City","Cidade"
"Clear Persistence on Log Out","Remover Persistência ao Sair do Sistema"
"Close","Fechar"
"Company","Companhia"
"Confirm Password","Confirmar a senha"
"Continue","Continue"
"Country","País"
"Create an Account","Criar uma conta"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e estado"
"Email Address","Endereço de e-mail"
"Enable ""Remember Me""","Permitir ""Lembre-me"""
"Enable Persistence","Permitir Persistência"
"Fast and easy check out","Checkout rápido e fácil"
"Fax","Fax"
"Forgot Your Password?","Esqueceu a senha?"
"Forgot your password?","Esqueceu sua senha?"
"General Options","Opções gerais"
"If you have an account with us, please log in.","Se você possui uma conta conosco, por favor, faça seu login"
"Loading next step...","Carregando próximo passo..."
"Login","Conectar-se"
"Login Information","Informações de login"
"Login or Create an Account","Conectar-se ou criar conta"
"New Customers","Novos clientes"
"Password","Senha"
"Persist Shopping Cart","Processar o Carrinho de Compras"
"Persistence Lifetime (seconds)","Tempo de vida persistente(segundos)"
"Persistent Shopping Cart","Carrinho de Compras Persistente"
"Personal Information","Informações pessoais"
"Please log in below:","Por favor, faça o login abaixo:"
"Please select region, state or province","Selecione a região, estado ou província"
"Register","Registrar"
"Register and save time!","Cadastre-se e poupe tempo!"
"Register to Create an Account","Cadastre-se para Criar uma Conta"
"Register with us for future convenience:","Faça um cadastro conosco para ter comodidade no futuro:"
"Registered Customers","Clientes cadastrados"
"Remember Me","Lembre-se de mim"
"Save in address book","Salvar no catálogo de endereços"
"Select State/Province...","Selecione Estado/Província..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança de seu catálogo de endereços ou insira um novo endereço"
"Ship to different address","Enviar para endereço diferente"
"Ship to this address","Enviar para este endereço"
"Shopping cart has been updated with appropriate prices","O carrinho de compras foi atualizado com os preços apropriados"
"Sign Up for Newsletter","Assinar o boletim informativo"
"State/Province","Estado/Província"
"Street Address","Endereço da Rua"
"Street Address %s","Endereço da Rua %s"
"Submit","Enviar"
"Telephone","Telefone"
"To proceed to Checkout, please log in using your email address.","Para fazer checkout, por favor faça login usando o seu endereço de e-mail."
"VAT Number","Número VAT"
"Welcome, %s!","Bem-vindo, %s!"
"What\'s this?","O que é isso?"
"Zip/Postal Code","Zip/Código Postal"
