"Abandoned Carts","Carritos Dejados"
"Abandoned carts","Carros dejados"
"Action","Acción"
"Add to Cart","Añadir al Carrito"
"Add to Compare","Añadir para comparar."
"Add to Wishlist","Añadir a lista que quieres."
"Any","Cualquier"
"Applied Coupon","Descuento Aplicado"
"Applies to Any of the Specified Order Statuses","Se Aplica a Cualquiera de los Estados de Pedido Especificados"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","¿Está seguro de que desea actualizar las estadísticas? Podría producirse un fallo en el rendimiento durante dicha operación."
"Are you sure?","¿Está seguro?"
"Avg. Approved Rating","Índice Medio de Aprobados"
"Avg. Rating","Índice Medio"
"Bestsellers","Los más vendidos"
"Bought from wishlists","Comprado desde la lista de deseos"
"CSV","CSV"
"Carts","Carritos"
"Catalog Category (Without Subcategories)","Categoría del catálogo (sin subcategorías)"
"Compared Products Grid Template","Plantilla en Red de los Productos Comparados"
"Compared Products List Template","Plantilla en Lista de los Productos Comparados"
"Coupons","Cupones"
"Coupons Usage Report","Informe del Uso de Cupones"
"Created At","Creado en"
"Current Month Starts","Inicios del Mes Actual"
"Customer","Cliente"
"Customer Name","Nombre del Cliente"
"Customer Tags","Etiquetas del Cliente"
"Customers","Clientes"
"Customers Report","Informe de Clientes"
"Customers Reviews","Revisiones Personalizadas"
"Customers Tags","Etiquetas de Clientes"
"Customers by Number of Orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Total de clientes por pedidos"
"Customers that have wishlist: %s%","Clientes que tienen lista de deseos: %s%"
"Dashboard","Panel de control"
"Day","Día"
"Default Recently Compared Products Count","Recuento de Productos Comparados Recientemente por Defecto"
"Default Recently Viewed Products Count","Recuento de Productos Vistos Recientemente por Defecto"
"Description","Descripción"
"Detail","Detalles"
"Downloads","Descargas."
"Email","Correo electrónico"
"Empty Rows","Filas Vacías."
"Excel XML","Excel XML"
"Filter","Filtro."
"First Name","Nombre"
"From","De"
"Guest","Invitado"
"Hits","Visitas."
"ID","ID"
"IP Address","Dirección IP"
"Index model name must be defined","Debe definirse el nombre del modelo de índice"
"Invalid date specified.","Fecha especificada no válida."
"Invoiced","Facturado"
"Items in Cart","Artículos en el Carro"
"Last Name","Apellido"
"Last Review","Última Revisión"
"Link","Enlace"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de Productos Comparada y Eliminada Recientemente de la Lista de Comparación por el Visitante"
"List of Products Recently Viewed by Visitor","Lista de Productos Recientemente Examinados por el Visitante"
"Low Stock","Pocas existencias"
"Low stock","Pocas reservas"
"Match Period To","Ajustar el Período A"
"Month","Mes"
"Most Viewed","Los Más Vistos"
"Name","Nombre"
"New Accounts","Cuentas Nuevas"
"No","No"
"Number Added","Número Añadido"
"Number Fulfilled","Número Alcanzado"
"Number Of Reviews","Número de Reseñas"
"Number Purchased","Número de Adquisiciones"
"Number Viewed","Número Visto"
"Number of Items","Cantidad de artículos"
"Number of New Accounts","Número de Nuevas Cuentas"
"Number of Products to display","Número de Productos para exponer"
"Number of Reviews","Número de opiniones"
"Number of Times Deleted","Número de Veces Borrado"
"Number of Total Tags","Número Total de Etiquetas"
"Number of Unique Tags","Número de Etiquetas Únicas"
"Number of Views","Número de Visitas"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde una lista de la compra: %s"
"Number of times wishlists have been shared (emailed): %s","Número de veces que se han compartido (enviado por correo electrónico) las listas de la compra: %s"
"Number of wishlist conversions: %s","Número de conversiones de lista de la compra: %s"
"Number of wishlist referrals: %s","Número de referencias de lista de la compra: %s"
"Number of wishlists: %s","Número de listas de la compra: %s"
"Order Status","Estado del pedido"
"Order Taxes Report Grouped by Tax Rate","Informe de Impuestos de Pedido Agrupados por Tasa Impositiva"
"Orders","Pedidos"
"Out of stock","Agotado"
"Period","Período"
"Poducts Report","Informe de Productos"
"Popular Tags","Etiquetas Populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre de Producto"
"Product Reviews","Opiniones de Producto"
"Product SKU","Unidad de Mantenimiento de Existencias de Producto"
"Product Tags","Etiqueta de Producto"
"Products","Productos"
"Products Ordered","Productos Encargados"
"Products Report","Informe de Productos"
"Products Reviews","Opiniones de Productos"
"Products Tags","Etiquetas de Productos"
"Products in carts","Productos en carros de la compra"
"Purchases","Adquisiciones"
"Quantity Ordered","Cantidad Pedida"
"Quantity of Items","Cantidad de Artículos"
"Recently Compared","Comparados recientemente"
"Recently Compared Products","Productos recientemente comparados"
"Recently Viewed","Vistos recientemente"
"Recently Viewed Products","Productos vistos recientemente"
"Recently Viewed/Compared Products","Productos recientemente vistos/comparados"
"Refresh Lifetime Statistics","Actualiza estadísticas del ciclo total"
