"%s - Discounts and Coupons","%s - Descuentos y cupones"
"%s - Special Products","%s - Productos especiales"
"%s RSS Feed","Fuente RSS de %s"
"%s has reached a quantity of %s.","%s ha alcanzado una cantidad de %s"
"%s\'s Wishlist","%s's Lista"
"Cannot retrieve the wishlist","No se puede recuperar la lista de regalos"
"Catalog","Catálogo"
"Category Feeds","Fuentes por categoría"
"Click for price","Clic para precio"
"Comment: %s<br/>","Comentario: %s<br/>"
"Coupons/Discounts","Cupones/descuentos"
"Current Status: %s<br/>","Estado actual: %s<br/>"
"Customer Name: %s","Estado actual: %s"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Details for %s #%s","Detalles para %s #%s"
"Discount","Descuento"
"Discount (%s)","Descuento (%s)"
"Enable RSS","Activar RSS"
"Error in processing xml. %s","Error al procesar xml. %s"
"From:","Desde:"
"Get Feed","Obtener fuente"
"Gift Message","Mensaje de Regalo"
"Grand Total","Suma total"
"Low Stock Products","Productos con baja cantidad en inventario"
"Message:","Mensaje:"
"Miscellaneous Feeds","Fuentes varias"
"New Orders","Nuevos pedidos"
"New Products","Nuevos productos"
"New Products from %s","Nuevos pedidos de %s"
"Notified Date: %s<br/>","Fecha de notificación: %s<br/>"
"Order # %s Notification(s)","Notificaciones del pedido n.º %s"
"Order #%s created at %s","El pedido n.º %s se creó a las %s"
"Pending product review(s)","Reseñas pendientes para el producto"
"Product: ""%s"" review By: %s","Producto: valoración ""%s"" De: %s"
"Product: <a href=""%s"">%s</a> <br/>","Producto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Productos etiquetados c %s"
"Purchased From: %s","Comprados a %s"
"RSS","RSS"
"RSS Feeds","Fuentes RSS"
"RSS Feeds List","Lista de fuentes RSS"
"RSS Feeds Section","Sección de fuentes RSS"
"Review: %s <br/>","Reseña: %s <br/>"
"Rss Config","Configuración de RSS"
"Shipping &amp; Handling","Envío y preparación"
"Special Products","Productos especiales"
"Store: %s <br/>","Tienda: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Resumen de reseña: %s <br/>"
"Tags Products","Etiquetas de productos"
"Tax","Impuestos"
"There are no Rss Feeds","No hay fuentes RSS"
"To:","A:"
"Top Level Category","Categoría de nivel superior"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Lista de deseos"
"click <a href=""%s"">here</a> to view the review","haga clic <a href=""%s"">aquí</a> para ver la valoración"
