"ALL","ALLE"
"ANY","ELKE"
"Add","Toevoegen"
"Apply","Toepassen"
"Conditions Combination","Voorwaarden Combinatie"
"Customer Groups must be specified.","Klanten groep moeten worden opgegeven."
"End Date must be greater than Start Date.","Einddatum moet later zijn dan Begindatum."
"FALSE","VALS"
"If %s of these conditions are %s:","Als %s van deze conditions %s zijn:"
"Invalid discount amount.","Ongeldige hoeveelheid korting."
"Open Chooser","Open Kiezer"
"Perform following actions","Voer volgende acties uit"
"Please choose a condition to add...","Kies een conditie om toe te voegen..."
"Please choose an action to add...","Kies een actie om toe te voegen..."
"Remove","Verwijderen"
"TRUE","WAAR"
"Websites must be specified.","Websites moeten worden opgegeven."
"by","door"
"contains","bevat"
"does not contain","Bevat niet"
"does not contains","Bevat niet"
"equals or greater than","Gelijk aan of minder dan"
"equals or less than","Gelijk aan of minder dan"
"for","voor"
"for greater than","indien groter dan"
"for or greater than","indien gelijk aan of groter dan"
"found","gevonden"
"from","van"
"greater than","groter dan"
"is","is"
"is not","is niet"
"is not one of","is niet een van de"
"is one of","is een van de"
"less than","minder dan"
"not found","niet gevonden"
"not from","niet van"
"to","naar"
"was","was"
"was not","was niet"
