Cancel,Cancel
"You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding.","You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding."
"Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way.","Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way."
"We canceled your payment and released any money we were holding.","We canceled your payment and released any money we were holding."
"You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction.","You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction."
"Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents.","Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents."
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment."
"Processed Amount","Processed Amount"
"Remaining Balance","Remaining Balance"
"Order saving error: %1","Order saving error: %1"
"Please choose a payment method.","Please choose a payment method."
"You created the order.","You created the order."
"Something went wrong canceling the transactions.","Something went wrong canceling the transactions."
"There was an error canceling transactions. Please contact us or try again later.","There was an error canceling transactions. Please contact us or try again later."
"We couldn't process your order right now. Please try again later.","We couldn't process your order right now. Please try again later."
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"amount %1","amount %1"
failed,failed
successful,successful
"Credit Card: xxxx-%1","Credit Card: xxxx-%1"
"Authorize.Net Transaction ID %1","Authorize.Net Transaction ID %1"
authorize,authorize
"authorize and capture","authorize and capture"
capture,capture
refund,refund
void,void
"This is an invalid amount for authorization.","This is an invalid amount for authorization."
"This is an invalid amount for capture.","This is an invalid amount for capture."
"This is an invalid amount for refund.","This is an invalid amount for refund."
"This is an invalid split tenderId ID.","This is an invalid split tenderId ID."
"Something went wrong while canceling the payment.","Something went wrong while canceling the payment."
"Something went wrong while authorizing the payment.","Something went wrong while authorizing the payment."
"Something went wrong while capturing the payment.","Something went wrong while capturing the payment."
"The shopping cart contents and/or address has been changed.","The shopping cart contents and/or address has been changed."
"This is an invalid amount for partial authorization.","This is an invalid amount for partial authorization."
"Parent Authorize.Net transaction (ID %1) expired","Parent Authorize.Net transaction (ID %1) expired"
"Something went wrong while voiding the payment.","Something went wrong while voiding the payment."
"Something went wrong while refunding the payment.","Something went wrong while refunding the payment."
"You have reached the maximum number of credit cards ' 'allowed to be used for the payment.","You have reached the maximum number of credit cards ' 'allowed to be used for the payment."
"Something went wrong while authorizing the partial payment.","Something went wrong while authorizing the partial payment."
"Something went wrong in the payment gateway.","Something went wrong in the payment gateway."
"Gateway error: %1","Gateway error: %1"
"Gateway actions are locked because the gateway cannot complete ' 'one or more of the transactions. ' 'Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete ' 'one or more of the transactions. ' 'Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Payment updating error.","Payment updating error."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Invalid amount for capture.","Invalid amount for capture."
"Payment capturing error.","Payment capturing error."
"Invalid transaction ID.","Invalid transaction ID."
"Payment voiding error.","Payment voiding error."
"Invalid amount for refund.","Invalid amount for refund."
"Payment refunding error.","Payment refunding error."
"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","There was a payment authorization error."
"This payment was not authorized because the transaction ID field is empty.","This payment was not authorized because the transaction ID field is empty."
"Amount of %1 approved by payment gateway. Transaction ID: ""%2"".","Amount of %1 approved by payment gateway. Transaction ID: ""%2""."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Click ""Cancel"" to remove any pending status and release money already processed during this payment.","Click ""Cancel"" to remove any pending status and release money already processed during this payment."
"Please enter a different credit card number to complete your purchase.","Please enter a different credit card number to complete your purchase."
"Credit Card %1","Credit Card %1"
"Credit Card Information","Credit Card Information"
"--Please Select--","--Please Select--"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"What is this?","What is this?"
"You'll be asked for your payment details before placing an order.","You'll be asked for your payment details before placing an order."
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel."
Processing...,Processing...
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"3D Secure Card Validation","3D Secure Card Validation"
"New Order Status","New Order Status"
"No confirmation","No confirmation"
Authorize.net,Authorize.net
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Email Customer","Email Customer"
"API Login ID","API Login ID"
"Merchant's Email","Merchant's Email"
"Test Mode","Test Mode"
Debug,Debug
"Transaction Key","Transaction Key"
"Payment Action","Payment Action"
"Accepted Currency","Accepted Currency"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Allow Partial Authorization","Allow Partial Authorization"
"3D Secure","3D Secure"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"If you leave this empty, we'll use a default value. The custom URL may be provided by CardinalCommerce agreement.","If you leave this empty, we'll use a default value. The custom URL may be provided by CardinalCommerce agreement."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Merchant MD5","Merchant MD5"
"Gateway URL","Gateway URL"
