" [deleted]",[已删除]
"%1 (Default)",%1（Default）
"%1 An empty value is allowed as well.","%1 空值也是允许的。"
"-- No Theme --","-- 没有主题 --"
2YTD,2YTD
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404错误</h1><p>页面找不到。</p>"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""：red"">警告！</strong> 当在URLs中使用店铺代码时，如果URLs没有店铺代码在第三方服务（如PayPal）指定有时不能正确工作。"
"Access Denied",访问被拒绝
"Access denied",访问被拒绝
"Access denied.",访问被拒绝
"Account Setting",账户设置
"Add Block Names to Hints",添加块名称到提示中
"Add New Image",添加新图像
"Add New URL Rewrite",添加新URL重写
"Add New Variable",添加新变量
"Add Secret Key to URLs",添加密钥Key到URL中
"Add Store Code to Urls",添加店铺代码到URL中
"Add URL Rewrite",添加URL重写
"Add URL Rewrite for CMS page",给CMS页添加重写URL
"Add URL Rewrite for a Category",为分类添加URL重写
"Add URL Rewrite for a Product",为产品添加URL重写
"Add \Exception",添加异常
"Add after",随后添加
"Additional Cache Management",额外的缓存管理
"Additional Settings",额外的设置
"Admin Base URL",管理基本URL
"Admin Session Lifetime (seconds)",管理会话生命周期（秒）
"Admin User Emails",管理用户邮件
"Advanced Admin Section",高级管理区域
"Advanced Pricing",高级定价
"Advanced Section",高级区域
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.",在选择新媒介位置之后，按同步按钮迁移所有媒介到那个位置。直到同步过程完成后媒介才可以使用。
"All Cache",所有缓存
"All Files",所有文件
"All Stores",全部店铺
"Allow Countries",允许的国家
"Allow Symlinks",允许的符号链接
"Allow everything",允许每一个
"Allowed IPs (comma separated)",允许的IP（逗号分割）
"Allowed file types: jpg, jpeg, gif, png","允许的文件类型：jpg， jpeg， gif， png"
"Allows customers to stay logged in when switching between different stores.",允许顾客在不同店铺间切换时保持登录。
"Alternative text for next link in pagination menu. If empty, default arrow image will used.",轮换菜单中链接旁的候选文字。如果为空，则使用默认的箭头图片。
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.",轮换菜单中上一个链接旁的候选文字。如果为空，则使用默认的箭头图片。
"Always (during development)",总是（在开发过程中）
Amounts,数量
"An error occurred while clearing the JavaScript/CSS cache.","清空 JavaScript/CSS 缓存时发生错误。"
"An error occurred while clearing the image cache.",清空图像缓存时发生错误。
"An error occurred while deleting URL Rewrite.","删除 URL 重写时出错。"
"An error occurred while disabling cache.",当禁止缓存时发生错误。
"An error occurred while enabling cache.",当允许缓存时发生错误。
"An error occurred while refreshing cache.",当刷新缓存时发生错误。
"An error occurred while saving URL Rewrite.","保存 URL 重写时出错。"
"An error occurred while saving account.",保存账户时发生错误。
"An error occurred while saving this configuration:",保存该配置时发生错误：
"Anchor Text for Next",下一个的锚点文字
"Anchor Text for Previous",上一个的锚点文字
"Any data created since the backup was made will be lost including admin users, customers and orders.",备份完成后创建的任何数据都将丢失，包括管理员用户、顾客，以及订单。
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. http://example.com/magento/",任何字段允许以'/'结尾的完整的URLs。如：http://example.com/magento/
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. https://example.com/magento/",任何字段允许URL全名用/（斜杠）结尾，例如：https：//example.com/magento/
"Are you sure you want to continue?",您确定要继续吗？
