"Country","Country"
"Allowed Credit Card Types","Allowed Credit Card Types"
"Add Rule","Add Rule"
"Edit Credit Card","Edit Credit Card"
"Add Credit Card","Add Credit Card"
"Stored Card","Stored Card"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Credit card type is not allowed for your country.","Credit card type is not allowed for your country."
"Please try again later","Please try again later"
"Contact your bank or try another card","Contact your bank or try another card"
"Check card details or try another card","Check card details or try another card"
"Try another card","Try another card"
"Voice Authorization Required","Voice Authorization Required"
"Duplicate transaction","Duplicate transaction"
"Try again later","Try again later"
"Processor decline","Processor decline"
"Processor network error","Processor network error"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Transaction declined: "
"There was an error capturing the transaction.","There was an error capturing the transaction."
"There was an error refunding the transaction.","There was an error refunding the transaction."
"There was an error voiding the transaction.","There was an error voiding the transaction."
"This refund is for a partial amount but the Transaction has not settled. ","This refund is for a partial amount but the Transaction has not settled. "
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"The Transaction has not settled. ","The Transaction has not settled. "
"Please wait 24 hours before trying to issue a refund or use Void option.","Please wait 24 hours before trying to issue a refund or use Void option."
"Invalid Customer ID provided","Invalid Customer ID provided"
"Invalid Credit Card Data provided","Invalid Credit Card Data provided"
"Invalid Address Data provided","Invalid Address Data provided"
"Credit card successfully added","Credit card successfully added"
"Credit card successfully updated","Credit card successfully updated"
"Credit card successfully deleted","Credit card successfully deleted"
"There was error during saving card data","There was error during saving card data"
"My Credit Cards","My Credit Cards"
"Please Select","Please Select"
"Credit Cards","Credit Cards"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"Delete Credit Card","Delete Credit Card"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","Cardholder Name"
"Delete","Delete"
"Back","Back"
"CVV","CVV"
"Make Default","Make Default"
"Billing Address","Billing Address"
"First Name","First Name"
"Last Name","Last Name"
"Company","Company"
"Street Address","Street Address"
"Extended Address","Extended Address"
"City","City"
"State/Province","State/Province"
"Please select region, state or province","Please select region, state or province"
"Postal Code","Postal Code"
"Country","Country"
"* Required Fields","* Required Fields"
"Submit","Submit"
"Type","Type"
"Is Default","Is Default"
"Actions","Actions"
"Yes","Yes"
"No","No"
"Edit","Edit"
"Delete","Delete"
"Payment Information","Payment Information"
"Add new card","Add new card"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Issue Number","Issue Number"
"Start Date","Start Date"
"Save this card for future use","Save this card for future use"
"Please try again later","Please try again later"
"Braintree","Braintree"
"Enabled","Enabled"
"Payment action","Payment action"
"Capture action","Capture action"
"New order status","New order status"
"Environment","Environment"
"Title","Title"
"Merchant ID","Merchant ID"
"Merchant Account ID","Merchant Account ID"
"Public Key","Public Key"
"Private Key","Private Key"
"Client Side Encryption Key","Client Side Encryption Key"
"Credit Card Types","Credit Card Types"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"CVV Verification","CVV Verification"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Country Specific Credit Card Types","Country Specific Credit Card Types"
"Advanced Fraud Protection","Advanced Fraud Protection"
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"<a href=""https://www.braintreegateway.com/login"" target=""_blank"">Click here to login to your existing Braintree account</a>. Or to setup a new account and accept payments on your website, <a href=""https://apply.braintreegateway.com/signup/us"" target=""_blank"">click here to signup for a Braintree account</a>.","<a href=""https://www.braintreegateway.com/login"" target=""_blank"">Click here to login to your existing Braintree account</a>. Or to setup a new account and accept payments on your website, <a href=""https://apply.braintreegateway.com/signup/us"" target=""_blank"">click here to signup for a Braintree account</a>."
"Enable Credit Card auto-detection on front-end","Enable Credit Card auto-detection on front-end"
"Typing in a credit card number will automatically select the credit card type","Typing in a credit card number will automatically select the credit card type"
"Your Kount ID","Your Kount ID"
"Debug","Debug"
"Some of results will be cached to improve performance. Magento cache have to be enabled","Some of results will be cached to improve performance. Magento cache have to be enabled"
"Use Cache","Use Cache"
"Avs Postal Code Response Code","Avs Postal Code Response Code"
"Avs Street Address Response Code","Avs Street Address Response Code"
"Cvv Response Code","Cvv Response Code"
"Processor Authorization Code","Processor Authorization Code"
"Processor Response Code","Processor Response Code"
"Processor Response Text","Processor Response Text"
"This invoice can be processed only offline","This invoice can be processed only offline"
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Duplicate card exists in the vault.","The credit card already exists in records, please verify that you entered the correct credit card number."
"Amount cannot be negative.","Amount cannot be negative."
"Amount is required.","Amount is required."
"Amount is an invalid format.","Amount is an invalid format."
"Amount is too large.","Amount is too large."
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Custom field is too long.","Custom field is too long."
"Order ID is too long.","Order ID is too long."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Transaction can only be voided if status is authorized or submitted_for_settlement.","Transaction can only be voided if status is authorized or submitted_for_settlement."
"Cannot refund credit","Cannot refund credit"
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Need a customer_id, payment_method_token, credit_card, or subscription_id.","Need a customer_id, payment_method_token, credit_card, or subscription_id."
"Custom field is invalid","Custom field is invalid"
"Customer ID is invalid.","Customer ID is invalid."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been refunded.","Transaction has already been refunded."
"Merchant account ID is invalid.","Merchant account ID is invalid."
"Merchant account is suspended.","Merchant account is suspended."
"Cannot provide both payment_method_token and credit_card attributes.","Cannot provide both payment_method_token and credit_card attributes."
"Cannot provide both payment_method_token and customer_id unless the payment_method belongs to the customer.","Cannot provide both payment_method_token and customer_id unless the payment_method belongs to the customer."
"Cannot provide both payment_method_token and subscription_id unless the payment method belongs to the subscription.","Cannot provide both payment_method_token and subscription_id unless the payment method belongs to the subscription."
"Payment method token is invalid.","Payment method token is invalid."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount cannot be more than the authorized amount.","Refund amount cannot be more than the authorized amount."
"Cannot refund transaction with suspended merchant account.","Cannot refund transaction with suspended merchant account."
"Settlement amount cannot be more than the authorized amount.","Settlement amount cannot be more than the authorized amount."
"Cannot provide both subscription_id and customer_id unless the subscription belongs to the customer.","Cannot provide both subscription_id and customer_id unless the subscription belongs to the customer."
"Subscription ID is invalid.","Subscription ID is invalid."
"Transaction type is invalid.","Transaction type is invalid."
"Transaction type is required.","Transaction type is required."
"Vault is disabled.","Vault is disabled."
"Subscription status must be past due","Subscription status must be past due"
"Merchant account does not support refunds","Merchant account does not support refunds"
"Amount must be greater than zero","Amount must be greater than zero"
"Tax amount cannot be negative.","Tax amount cannot be negative."
"Tax amount is an invalid format.","Tax amount is an invalid format."
"Tax amount is too large.","Tax amount is too large."
"Purchase order number is too long.","Purchase order number is too long."
"Voice Authorization is not allowed for this card type","Voice Authorization is not allowed for this card type"
"Transaction cannot be cloned if payment method is stored in Vault","Transaction cannot be cloned if payment method is stored in Vault"
"Cannot clone voice authorization transactions","Cannot clone voice authorization transactions"
"Unsuccessful transaction cannot be cloned.","Unsuccessful transaction cannot be cloned."
"Credits cannot be cloned.","Credits cannot be cloned."
"Cannot clone transaction without submit_for_settlement flag.","Cannot clone transaction without submit_for_settlement flag."
"Voice Authorizations are not supported for this processor","Voice Authorizations are not supported for this processor"
"Credits are not supported by this processor","Credits are not supported by this processor"
"Purchase order number is invalid","Purchase order number is invalid"
"Processor authorization code is invalid","Processor authorization code is invalid"
"Payment method conflict with venmo sdk","Payment method conflict with venmo sdk"
"Channel is too long","Channel is too long"
"Settlement amount is less than service fee amount","Settlement amount is less than service fee amount"
"Service fee is not allowed on credits","Service fee is not allowed on credits"
"Sub merchant account requires service fee amount","Sub merchant account requires service fee amount"
"Service fee amount cannot be negative","Service fee amount cannot be negative"
"Service fee amount format is invalid","Service fee amount format is invalid"
"Service fee amount is too large","Service fee amount is too large"
"Service fee amount not allowed on master merchant account","Service fee amount not allowed on master merchant account"
"Merchant account does not support MOTO","Merchant account does not support MOTO"
"Cannot refund with pending merchant account","Cannot refund with pending merchant account"
"Cannot hold in escrow","Cannot hold in escrow"
"Cannot release from escrow","Cannot release from escrow"
"Cannot cancel release","Cannot cancel release"
"Cannot partially refund escrowed transaction","Cannot partially refund escrowed transaction"
"Cannot provide both a billing address and a billing address ID.","Cannot provide both a billing address and a billing address ID."
"Billing address ID is invalid.","Billing address ID is invalid."
"Customer ID is required.","Customer ID is required."
"Customer ID is invalid.","Customer ID is invalid."
"Cannot provide expiration_date if you are also providing expiration_month and expiration_year.","Cannot provide expiration_date if you are also providing expiration_month and expiration_year."
"Token is invalid.","Token is invalid."
"Credit card token is taken.","Credit card token is taken."
"Credit card token is too long.","Credit card token is too long."
"Token is not an allowed token.","Token is not an allowed token."
"Payment method token is required.","Payment method token is required."
"Cardholder name is too long.","Cardholder name is too long."
"Credit card number cannot be updated to an unsupported card type when it is associated to subscriptions.","Credit card number cannot be updated to an unsupported card type when it is associated to subscriptions."
"CVV is required.","CVV is required."
"CVV must be 3 or 4 digits.","CVV must be 3 or 4 digits."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration date year is invalid.","Expiration date year is invalid."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Credit card number is not an accepted test number.","Credit card number is not an accepted test number."
"Update Existing Token is invalid.","Update Existing Token is invalid."
"Duplicate card exists","Duplicate card exists"
"Payment method conflict","Payment method conflict"
"Venmo sdk payment method code card type is not accepted","Venmo sdk payment method code card type is not accepted"
"Invalid venmo sdk payment method code","Invalid venmo sdk payment method code"
"Invalid verification merchant account ID","Invalid verification merchant account ID"
"Verification not supported on this merchant account","Verification not supported on this merchant account"
"Custom field is invalid.","Custom field is invalid."
"Customer ID has already been taken.","Customer ID has already been taken."
"Customer ID is invalid.","Customer ID is invalid."
"Customer ID is not an allowed ID.","Customer ID is not an allowed ID."
"Customer ID is too long.","Customer ID is too long."
"Id is required","Id is required"
"Company is too long.","Company is too long."
"Custom field is too long.","Custom field is too long."
"Email is an invalid format.","Email is an invalid format."
"Email is too long.","Email is too long."
"Email is required if sending a receipt.","Email is required if sending a receipt."
"Fax is too long.","Fax is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Phone is too long.","Phone is too long."
"Website is too long.","Website is too long."
"Website is an invalid format.","Website is an invalid format."
"Address must have at least one field fill in.","Address must have at least one field fill in."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Country name is not an accepted country.","Country name is not an accepted country."
"Inconsistent country","Inconsistent country"
"Country code alpha-3 is not accepted","Country code alpha-3 is not accepted"
"Country code numeric is not accepted","Country code numeric is not accepted"
"Country code alpha-2 is not accepted","Country code alpha-2 is not accepted"
"Too many addresses per customer","Too many addresses per customer"
"First name is invalid","First name is invalid"
"Last name is invalid","Last name is invalid"
"Company is invalid","Company is invalid"
"Street address is invalid","Street address is invalid"
"Extended address is invalid","Extended address is invalid"
"Locality is invalid","Locality is invalid"
"Region is invalid","Region is invalid"
"Postal code is invalid","Postal code is invalid"
"Cannot edit a canceled subscription.","Cannot edit a canceled subscription."
"ID has already been taken.","ID has already been taken."
"Price cannot be blank.","Price cannot be blank."
"Price is an invalid format.","Price is an invalid format."
"Subscription has already been canceled.","Subscription has already been canceled."
"ID is invalid.","ID is invalid."
"Trial duration is an invalid format.","Trial duration is an invalid format."
"Trial duration is required.","Trial duration is required."
"Trial duration unit is invalid.","Trial duration unit is invalid."
"Cannot edit expired subscription","Cannot edit expired subscription"
"Price is too large","Price is too large"
"Merchant account ID is invalid.","Merchant account ID is invalid."
"Payment method token card type is not accepted by this merchant account.","Payment method token card type is not accepted by this merchant account."
"Payment method token is invalid.","Payment method token is invalid."
"Plan ID is invalid.","Plan ID is invalid."
"Payment method token does not belong to the subscription’s customer.","Payment method token does not belong to the subscription’s customer."
"Number of billing cycles must be numeric","Number of billing cycles must be numeric"
"Number of billing cycles must be greater than zero","Number of billing cycles must be greater than zero"
"Inconsistent number of billing cycles","Inconsistent number of billing cycles"
"Number of billing cycles is too small","Number of billing cycles is too small"
"Cannot add duplicate addon or discount","Cannot add duplicate addon or discount"
"Number of billing cycles cannot be blank","Number of billing cycles cannot be blank"
"Billing day of month must be numeric","Billing day of month must be numeric"
"Billing day of month is invalid","Billing day of month is invalid"
"First billing date is invalid","First billing date is invalid"
"First billing date cannot be in the past","First billing date cannot be in the past"
"Inconsistent start date","Inconsistent start date"
"Billing day of month cannot be updated","Billing day of month cannot be updated"
"First billing date cannot be updated","First billing date cannot be updated"
"Cannot edit price changing fields on past due subscription","Cannot edit price changing fields on past due subscription"
"Invalid request format","Invalid request format"
"Cannot update subscription to a plan with a different billing frequency.","Cannot update subscription to a plan with a different billing frequency."
"Mismatch currency iso code","Mismatch currency iso code"
"Enable this Solution","Enable this Solution"
"Enable PayPal through Braintree","Enable PayPal through Braintree"
"3D Secure Verification Settings","3D Secure Verification Settings"
