None,Geen
Close,sluiten
Cancel,Cancel
Product,Product
Price,Price
ID,ID
SKU,SKU
Qty,Qty
"Excl. Tax","Excl. belasting"
Total,Total
"Incl. Tax","Incl. belasting"
"Total incl. tax","Total incl. tax"
Delete,Delete
Name,Name
From,Vanuit
To,Aan
Required,Required
Position,Positie
"Percent Discount","Procent korting"
"-- Select --",--selecteer--
Dynamic,Dynamisch
Fixed,Gefixeerd
"Create New Option","Create New Option"
"Bundle Items","Bundel producten"
"Add Products to Option","Add Products to Option"
"Delete Option","Delete Option"
"Please enter search conditions to view products.","Voer a.u.b. zoekvoorwaarden in om producten te bekijken"
"Use Default Value","Gebruik standaardwaarde"
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type."
"As Low as","Zo laag als"
"Price Range",Prijsbereik
"Please specify product option(s).","Specificeer a.u.b. product optie(s)."
"Please select all required options.","Please select all required options."
"The required options you selected are not available.","The required options you selected are not available."
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,N.V.T
Percent,Procent
Qty:,Qty:
"Choose a selection...","Kies een selectie..."
"Ship Bundle Items","Verzend bundel producten"
Separately,Apart
Together,Samen
"Option Title","Option Title"
"Store View Title","Winkelweergave titel"
"Input Type",Invoertype
"There are no products in this option.","There are no products in this option."
"New Option","New Option"
Default,standaard
"Price Type","Prijs type"
"Default Quantity",Standaardhoeveelheid
"User Defined","User Defined"
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Refunded,Refunded
Canceled,Canceled
"As low as","Zo laag als"
From:,Vanuit:
To:,Aan:
"Buy %1 with %2 discount each","Buy %1 with %2 discount each"
"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Cart"
"* Required Fields","* Vereiste velden"
"Your Customization","Your Customization"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
Summary,Summary
"%1 x %2","%1 x %2"
Availability:,Availability:
"Customize %1","Customize %1"
"No options of this product are available.","Geen opties van dit product zijn beschikbaar"
"Gift Message","Cadeau bericht"
Message:,Bericht:
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Total Incl. Tax","Total Incl. Tax"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
"Add Selected Products","Add Selected Products"
