None,Nenhum
Close,Fechar
Cancel,Cancel
Product,Product
Price,Price
ID,ID
SKU,SKU
Qty,Qty
"Excl. Tax","Excluir taxas"
Total,Total
"Incl. Tax","Incluir taxas"
"Total incl. tax","Total incl. tax"
Delete,Delete
Name,Name
From,De
To,Para
Required,Required
Position,Posição
"Percent Discount","Percentual de desconto"
"-- Select --","-- Selecionar --"
Dynamic,Dinâmico
Fixed,Fixado
"Create New Option","Create New Option"
"Bundle Items","Empacotar itens"
"Add Products to Option","Add Products to Option"
"Delete Option","Delete Option"
"Please enter search conditions to view products.","Insira as condições de pesquisa para visualizar os produtos."
"Use Default Value","Utilizar valor padrão"
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type."
"As Low as","A partir de"
"Price Range","Variação de preço"
"Please specify product option(s).","Especifique a(s) opção(ões) do produto."
"Please select all required options.","Please select all required options."
"The required options you selected are not available.","The required options you selected are not available."
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,Indisponível
Percent,Percentagem
Qty:,Qty:
"Choose a selection...","Escolha uma seleção..."
"Ship Bundle Items","Enviar itens do pacote"
Separately,Separadamente
Together,Junto
"Option Title","Option Title"
"Store View Title","Título de visualização de loja"
"Input Type","Tipo de entrada"
"There are no products in this option.","There are no products in this option."
"New Option","New Option"
Default,Predefinido
"Price Type","Tipo de preço"
"Default Quantity","Quantidade padrão"
"User Defined","User Defined"
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Refunded,Refunded
Canceled,Canceled
"As low as","A partir de"
From:,De:
To:,Para:
"Buy %1 with %2 discount each","Buy %1 with %2 discount each"
"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Cart"
"* Required Fields","* Campos obrigatórios"
"Your Customization","Your Customization"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
Summary,Summary
"%1 x %2","%1 x %2"
Availability:,Availability:
"Customize %1","Customize %1"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"Gift Message","Mensagem de presente"
Message:,Mensagem:
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Total Incl. Tax","Total Incl. Tax"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
"Add Selected Products","Add Selected Products"
