All,Todos
None,Nenhum
"Are you sure?","Tem certeza?"
Cancel,Cancelar
Back,Voltar
Product,"Nome do produto"
Price,Preço
Quantity,Quantidade
Products,Produtos
ID,"ID do Produto"
SKU,"Unidade de Manutenção de Estoque"
No,Não
Qty,Qty
Action,Ação
Reset,Redefinir
Edit,Editar
"Add to Cart","Adicionar ao carrinho"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"First Name","Primeiro nome"
"Last Name","Último nome"
Email,E-mail
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Use Default","Use Default"
Delete,Excluir
Save,Salvar
Store,Loja
"-- Please Select --","- Por Favor Selecione -"
"Custom Design","Personalizar Design"
Yes,Sim
"Web Site","Web Site"
Name,Nome
Status,Status
Disabled,Desativado
Enabled,Ativado
"Save and Continue Edit","Salvar e continuar a editar"
Title,Título
"Store View","Visualização da loja"
Type,Tipo
Home,Início
Search,Pesquisa
"Select All","Select All"
"Add New","Adicione Novo"
"Please select items.","Favor selecionar itens."
Required,Required
Website,Website
"All Websites","Todos os sites"
Next,Próximo
"Please enter a valid number in this field.","Please enter a valid number in this field."
Catalog,Catálogo
Images,Images
"per page","por página"
"Mass Actions","Mass Actions"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
Loading...,Loading...
OK,OK
Visibility,Visibilidade
Position,Posição
Fixed,Fixado
"Use Default Value","Utilizar valor padrão"
N/A,Indisponível
Percent,Percent
"Option Title","Option Title"
"Input Type","Tipo de entrada"
"New Option","New Option"
"Price Type","Tipo de preço"
"* Required Fields","* Campos obrigatórios"
Availability,Availability
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
Root,Raiz
"Save Category","Salvar Categoria"
"Delete Category","Excluir categoria"
"New Subcategory","Nova Subcategoria"
"New Root Category","Nova Categoria de Raiz"
"Set Root Category for Store","Definir Categoria Raíz para Loja"
"Use Config Settings","Utilizar opções de configuração"
"Use All Available Attributes","Use All Available Attributes"
"General Information","Informações gerais"
"Category Data","Dados da Categoria"
"Category Products","Categoria de Produtos"
"Add Subcategory","Adicionar Subcategoria"
"Add Root Category","Adicionar Categoria Raiz"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para antiga URL"
Day,Day
Month,Month
Year,Year
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Adicionar Produto"
label,label
"Product Attributes","Atributos do produto"
"Add New Attribute","Adicionar Novo Atributo"
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save Attribute","Salvar atributo"
"Delete Attribute","Apagar atributo"
"Edit Product Attribute ""%1""","Edit Product Attribute ""%1"""
"New Product Attribute","Novo Atributo de Produto"
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Default Value","Default Value"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Not shared with other products","Not shared with other products"
"Input Validation for Store Owner","Input Validation for Store Owner"
Global,Global
Scope,Limite
"Declare attribute value saving scope","Declarar escopo de economia do valor do atributo"
"Frontend Properties","Propriedades de interface inicial"
"Use in Quick Search","Use em Busca Rápida"
"Use in Advanced Search","Use em Busca Avançada"
"Comparable on Frontend","Comparable on Frontend"
"Use for Promo Rule Conditions","Use para as Condições de Regras de Promoção"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"Visible on Catalog Pages on Frontend","Visible on Catalog Pages on Frontend"
"Used in Product Listing","Usado na Lista de Produtos"
"Depends on design theme","Depende do tema do projeto (design)"
"Used for Sorting in Product Listing","Usado ​​para Classificar na Lista de Produtos"
"Media Image","Imagem de mídia"
Gallery,Galeria
"System Properties","Propriedades do Sistema"
"Data Type for Saving in Database","Tipo de dado para salvar na base de dados"
Text,Texto
Varchar,Varchar
Static,Estático
Datetime,"Data e hora"
Decimal,Decimal
Integer,"Número Inteiro"
"Globally Editable","Globalmente Editável"
"Attribute Information","Informação do Atributo"
Properties,Propriedades
"Manage Labels","Manage Labels"
Visible,Visível
Searchable,"Passível de Busca"
Comparable,Comparável
"Delete Selected Group","Excluir grupo selecionado"
"Delete Attribute Set","Excluir conjunto de atributos"
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?"
"Save Attribute Set","Salvar Conjunto de Atributos"
"New Set Name","Nome do Conjunto Novo"
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
Empty,Vazio
"Add Attribute","Adicione Atributo"
"Add New Group","Adicionar Novo Grupo"
"Add Group","Adicionar Grupo"
"Edit Set Name","Editar Nome de Conjunto"
"For internal use","For internal use"
"Based On","Baseado Em"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Set","Adicionar Novo Conjunto"
"Product Templates","Product Templates"
"Close Window","Fechar Janela"
"New Product","Novo Produto"
"Save & Edit","Save & Edit"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Attributes,Atributos
Change,Mudar
"Advanced Inventory","Advanced Inventory"
Websites,Sites
"Products Information","Informações de Produtos"
"Category Name","Category Name"
"Parent Category","Categoria Pai"
