"Entity type model '%1' is not found","Entity type model '%1' is not found"
"Entity type model must be an instance of' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entity type model must be an instance of' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","There are no product types available for export"
"Please correct the value for '%s'.","Please correct the value for '%s'."
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"File directory '%1' is not readable.","File directory '%1' is not readable."
"File directory '%1' is not writable.","File directory '%1' is not writable."
"Invalid custom option store.","Invalid custom option store."
"Invalid custom option type.","Invalid custom option type."
"Empty custom option title.","Empty custom option title."
"Invalid custom option price.","Invalid custom option price."
"Invalid custom option maximum characters value.","Invalid custom option maximum characters value."
"Invalid custom option sort order.","Invalid custom option sort order."
"Invalid custom option value price.","Invalid custom option value price."
"Invalid custom option value sort order.","Invalid custom option value sort order."
"Custom option with such title already declared in source file.","Custom option with such title already declared in source file."
"There are several existing custom options with such name.","There are several existing custom options with such name."
"Custom options have different types.","Custom options have different types."
"Option entity must have a parent product entity.","Option entity must have a parent product entity."
"Please correct the parameters.","Please correct the parameters."
"File '%1' was not found or has read restriction.","File '%1' was not found or has read restriction."
