Product,Product
ID,ID
SKU,SKU
Apply,Anwenden
No,Nein
Yes,Ja
"Web Site","Web Site"
Status,Status
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
Type,Typ
Description,Beschreibung
From,From
To,To
Catalog,Katalog
Actions,Aktionen
Rule,Regelname
"Start on",Startdatum
"End on",Verfalldatum
Active,Aktiv
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"General Information","Allgemeine Information"
Websites,Webseiten
"Attribute Set",Attributset
"Apply Rules","Regeln anwenden"
"Catalog Price Rules","Katalogpreis Regeln"
"Add New Rule","Neue Regel hinzufügen"
"Save and Apply","Speichern und anwenden"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Neue Regel"
"Rule Information",Regelinformation
"Update Prices Using the Following Information","Preise mit folgenden Informationen aktualisieren"
"By Percentage of the Original Price","Durch Prozentsatz des Orginalpreises"
"By Fixed Amount","Durch festen Betrag"
"To Percentage of the Original Price","Zu Prozentsatz des Originalpreises"
"To Fixed Amount","Zu festem Betrag"
"Discount Amount","Discount Amount"
"Enable Discount to Subproducts","Rabatt für Unterprodukte aktivieren"
"Stop Further Rules Processing","Weitere Regelbearbeitung abbrechen"
Conditions,Bedingungen
"Conditions (leave blank for all products)","Bedingungen (leer lassen für Alle Produkte)"
"Rule Name","Rule Name"
Inactive,"Nicht aktiv"
"Customer Groups",Kundengruppen
"From Date","Von Datum"
"To Date","Bis Datum"
Priority,Priorität
"Catalog Price Rule","Katalogpreis Regel"
Promotions,Promotionen
Promo,Promo
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","Regel ändern"
"Wrong rule specified.","Falsche Regel angegeben."
"The rule has been saved.","Die Regel wurde gespeichert."
"An error occurred while saving the rule data. Please review the log and try again.","Beim Speichern der Regeldaten trat ein Fehler auf. Bitte überprüfen Sie das Log und versuchen Sie es erneut."
"The rule has been deleted.","Die Regel wurde gelöscht."
"An error occurred while deleting the rule. Please review the log and try again.","Beim Löschen der Regel trat ein Fehler auf. Bitte überprüfen Sie das Log und versuchen Sie es erneut."
"Unable to find a rule to delete.","Keine Regel zum Löschen gefunden."
"Unable to apply rules.","Regeln können nicht angewendet werden."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Einige Regeln wurden geändert, aber nicht angewendet. Bitte klicken Sie „Regeln anwenden“ um sofortige Anwendung im Katalog zu erhalten."
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","%1 Catalog Price Rules based on ""%2"" attribute have been disabled."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination",Bedingungenkombination
"Product Attribute",Produktattribut
"The rules have been applied.","Die Regeln wurden angewendet."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
