Product,Product
ID,ID
SKU,SKU
Apply,Confirmar
No,No
Yes,Sí
"Web Site","Web Site"
Status,Estado
"Save and Continue Edit","Guardar y continuar editando"
Type,Tipo
Description,Descripción
From,From
To,To
Catalog,Catálogo
Actions,Acciones
Rule,"Nombre de la Regla"
"Start on","Fecha de inicio"
"End on","Fecha de caducidad"
Active,Activo
"This rule no longer exists.","Esta regla ya no existe."
"General Information","Información general"
Websites,"Páginas web"
"Attribute Set","Conjunto de atributos"
"Apply Rules","Aplicar reglas"
"Catalog Price Rules","Catálogo de Normas sobre Precios"
"Add New Rule","Añadir nueva regla"
"Save and Apply","Guardar y Aplicar"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nueva Regla"
"Rule Information","Información sobre la Regla"
"Update Prices Using the Following Information","Actualizar los precios según las siguiente información"
"By Percentage of the Original Price","Por porcentaje del precio original"
"By Fixed Amount","Por importe fijo"
"To Percentage of the Original Price","A porcentaje del precio original"
"To Fixed Amount","A cantidad fija"
"Discount Amount","Discount Amount"
"Enable Discount to Subproducts","Habilitar descuento para subproductos"
"Stop Further Rules Processing","Detener el Procesamiento de Reglas adicionales"
Conditions,Condiciones
"Conditions (leave blank for all products)","Condiciones (para todos los productos déjelo en blanco)"
"Rule Name","Rule Name"
Inactive,Inactivo
"Customer Groups","Grupos de Cliente"
"From Date","A partir de la fecha"
"To Date","Hasta la fecha"
Priority,Prioridad
"Catalog Price Rule","Regla de Precios"
Promotions,Promociones
Promo,Promo
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","Editar Regla"
"Wrong rule specified.","Regla especificada incorrecta."
"The rule has been saved.","La regla ha sido guardada."
"An error occurred while saving the rule data. Please review the log and try again.","Un error ocurrió mientras se guardaban los datos de la regla. Por favor, revise el registro e inténtelo de nuevo."
"The rule has been deleted.","La regla ha sido eliminada."
"An error occurred while deleting the rule. Please review the log and try again.","Un error ocurrió mientras se eliminaba la regla. Por favor, revise el registro e inténtelo de nuevo."
"Unable to find a rule to delete.","No se puede encontrar una regla para eliminar."
"Unable to apply rules.","No se pueden aplicar las reglas."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Hay reglas que han sido modificadas pero no aplicadas. Por favor, haga clic en Aplicar Reglas con el fin de ver el efecto inmediato en el catálogo."
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","%1 Catalog Price Rules based on ""%2"" attribute have been disabled."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributos del producto"
"The rules have been applied.","Las reglas han sido aplicadas."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
