"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d のルールが使用している ""%s"" 属性は無効になっています。"
"Actions","アクション"
"Active","アクティブ"
"Add New Rule","新規ルールの追加"
"An error occurred while deleting the rule. Please review the log and try again.","ルールの削除中にエラーが発生しました。ログを確認の上、やり直してください。"
"An error occurred while saving the rule data. Please review the log and try again.","ルールの保存中にエラーが発生しました。ログを確認の上、やり直してください。"
"Apply","反映"
"Apply Rules","ルールの反映"
"Attribute Set","属性セット"
"By Fixed Amount","指定額を割引"
"By Percentage of the Original Price","元の価格に指定した割引率を値引き"
"Catalog","カタログ"
"Catalog Price Rule","カタログ価格ルール"
"Catalog Price Rules","カタログ価格ルール"
"Category","カテゴリ"
"Conditions","条件"
"Conditions (leave blank for all products)","状態(すべての商品では空白に)"
"Conditions Combination","条件の組み合わせ"
"Customer Groups","顧客グループ"
"Date Expire","終了日"
"Date From","開始日"
"Date Start","開始日"
"Date To","終了日"
"Description","概要"
"Discount Amount","割引量"
"Edit Rule","ルールの編集"
"Edit Rule '%s'","ルール'%s'の編集"
"Enable Discount to Subproducts","子商品への値引きを許可する"
"Expiration Date","Expiration Date"
"From Date","開始日"
"General Information","総合情報"
"ID","ID"
"Inactive","非アクティブ"
"New Rule","新しいルール"
"No","No"
"Options","オプション"
"Priority","優先度"
"Product Attribute","商品属性"
"Promotions","プロモーション"
"Rule Information","ルール情報"
"Rule Name","ルール名"
"Save and Apply","保存と適用"
"Save and Continue Edit","保存して編集を続ける"
"Start Date","Start Date"
"Status","状態"
"Stop Further Rules Processing","このルールより優先度の低いルールの適用を行わない"
"The rule has been deleted.","ルールを削除しました。"
"The rule has been saved.","ルールを保存しました。"
"The rules have been applied.","ルールを適用しました。"
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","ルールは変更されましたが未適用です。 カタログにすぐに結果を反映したい場合はルールを適用してください。"
"This rule no longer exists.","このルールは存在していません。"
"To Date","終了日"
"To Fixed Amount","指定額へ割引"
"To Percentage of the Original Price","元の価格を指定した割引率の価格に値引き"
"Type","Type"
"Unable to apply rules.","ルールを適用できません。"
"Unable to find a rule to delete.","削除対象のルールが見つかりません。"
"Update Prices Using the Following Information","以下の情報に基づいて価格を更新する"
"Update product's %s %s: %s","商品更新 %s %s: %s"
"Website","ウェブサイト"
"Websites","ウェブサイト"
"Wrong rule specified.","不正なルールが指定されました。"
"Yes","Yes"
