All,Todo
"Are you sure?","Are you sure?"
No,No
Action,Action
Edit,Edit
Results,Resultados
Uses,Uses
Delete,Delete
Store,Store
Yes,Sí
Home,Inicio
Search,Buscar
"Search Query","Search Query"
"Redirect URL","Redirect URL"
"Go to Home Page","Ir a la página de inicio"
Grid,Parrilla
List,Lista
"Catalog Advanced Search","Búsqueda de catálogo avanzada"
Relevance,Relevancia
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Your search query can't be longer than %1, so we had to shorten your query.","Your search query can't be longer than %1, so we had to shorten your query."
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","Sorry, but the maximum word count is %1. We left out this part of your search: %2."
"Please specify at least one search term.","Por favor especifica al menos un término de búsqueda."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process."
"Catalog Search","Catálogo de búsquedas"
"Rebuild Catalog product fulltext search index","Reconstruir Catálogo producto todoeltexto búsqueda índice"
"Please specify correct data.","Please specify correct data."
"Search Settings","Ajustes de búsqueda"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"No items were found using the following search criteria.","No se encontraron productos usando estos criterios de búsqueda"
"Modify your search","Modificar la búsqueda"
name,name
"Don't see what you're looking for?","¿No encuentra lo que busca?"
"Search entire store here...","Buscar en toda la tienda..."
"Advanced Search","Búsqueda avanzada"
"Your search returns no results.","La búsqueda no da ningún resultado."
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Popular Search Terms","Términos de búsqueda populares"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Applies for ""Like"" search type only","Applies for ""Like"" search type only"
"Search Type","Search Type"
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
Synonym,Synonym
"Suggested Terms","Suggested Terms"
yes,yes
no,no
