All,Tous
"Are you sure?","Are you sure?"
No,Non
Action,Action
Edit,Edit
Results,Résultats
Uses,Uses
Delete,Delete
Store,Store
Yes,oui
Home,Accueil
Search,Rechercher
"Search Query","Search Query"
"Redirect URL","Redirect URL"
"Go to Home Page","Aller à la page d'accueil"
Grid,Grille
List,Liste
"Catalog Advanced Search","Recherche avancée du catalogue"
Relevance,Pertinence
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Your search query can't be longer than %1, so we had to shorten your query.","Your search query can't be longer than %1, so we had to shorten your query."
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","Sorry, but the maximum word count is %1. We left out this part of your search: %2."
"Please specify at least one search term.","Veuillez spécifier au moins un terme de recherche."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process."
"Catalog Search","Index du catalogue"
"Rebuild Catalog product fulltext search index","Reconstruire le catalogue à partir de l'index de recherche"
"Please specify correct data.","Please specify correct data."
"Search Settings","Options de recherche"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"No items were found using the following search criteria.","Aucun objet n'a été trouvé en utilisant les critères de recherche suivants."
"Modify your search","Modifier votre recherche"
name,name
"Don't see what you're looking for?","Vous ne trouvez pas ce que vous cherchez ?"
"Search entire store here...","Rechercher la boutique entière"
"Advanced Search","Recherche avancée"
"Your search returns no results.","Votre recherche ne renvoie aucun résultat."
"There are no search terms available.","Il n'y a pas de termes de recherche disponibles."
"Popular Search Terms","Termes souvent recherchés"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Applies for ""Like"" search type only","Applies for ""Like"" search type only"
"Search Type","Search Type"
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
Synonym,Synonym
"Suggested Terms","Suggested Terms"
yes,yes
no,no
