Remove,Remove
Back,Volver
Price,Precio
"Shopping Cart","Carro de la compra"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"Shopping Cart Items","Shopping Cart Items"
Qty,Qty
Subtotal,Subtotal
"Excl. Tax","Impuestos no incluidos"
Total,Total
"Incl. Tax","Impuestos incluidos"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Trasladar a la Lista de Deseos"
"Edit item parameters","Editar parámetros del artículo"
Edit,Editar
"Remove item","Eliminar artículo"
Item,Item
"Unit Price","Precio por unidad"
Loading...,Loading...
"* Required Fields","* Campos Requeridos"
Change,Cambio
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"What's this?","¿Qué es esto?"
"1 item","1 item"
"%1 items","%1 items"
"Product Name","Product Name"
"Invalid method: %1","Invalid method: %1"
"My Cart (1 item)","My Cart (1 item)"
"My Cart (%1 items)","My Cart (%1 items)"
"My Cart","Mi carrito"
"New Address","Nueva dirección"
Country,País
State/Province,Estado/Provincia
"Billing Information","Detalles de facturación"
"Checkout Method","Método de pedido"
"Payment Information","Información de pago"
"Order Review","Comentario del pedido"
"Shipping Information","Dirección de envío"
"Shipping Method","Método de envío"
"Minimum order amount is %1","Minimum order amount is %1"
"We cannot add this item to your shopping cart","We cannot add this item to your shopping cart"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","We cannot configure the product."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We cannot update the item.","We cannot update the item."
"We cannot update the shopping cart.","We cannot update the shopping cart."
"We cannot remove the item.","We cannot remove the item."
"The coupon code ""%1"" was applied.","The coupon code ""%1"" was applied."
"The coupon code was canceled.","The coupon code was canceled."
"We cannot apply the coupon code.","We cannot apply the coupon code."
"The onepage checkout is disabled.","El pago por página está deshabilitado."
Checkout,Pedido
"Unable to set Payment Method","Unable to set Payment Method"
"Please agree to all the terms and conditions before placing the order.","Debe manifestar su conformidad con todos los términos y condiciones antes de hacer el pedido."
"Something went wrong processing your order. Please try again later.","Something went wrong processing your order. Please try again later."
"We can't find the product.","We can't find the product."
"The product does not exist.","El producto no existe."
"We don't have some of the products you want.","We don't have some of the products you want."
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"Some products quantities were recalculated because of quantity increment mismatch.","Some products quantities were recalculated because of quantity increment mismatch."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Mostrar número de artículos en el carro"
"Display item quantities","Mostrar cantidades de artículos"
"Load customer quote error","Error en la carga de cotización del cliente"
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.","There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account."
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping address.","There are more than one shipping address."
"Sorry, guest checkout is not enabled.","Sorry, guest checkout is not enabled."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"Discount Codes","Códigos de descuento"
"Enter your code","Enter your code"
"Apply Coupon","Aplicar cupón"
"Cancel Coupon","Cancelar cupón"
"Continue Shopping","Continuar comprando"
"Update Shopping Cart","Actualizar carrito de compras"
"Clear Shopping Cart","Vaciar carro de la compra"
"Update Cart","Actualizar carrito"
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Items in Cart","Items in Cart"
"Recently added item(s)","Elementos agregados recientemente"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order"
"Cart Subtotal","Cart Subtotal"
"View cart","View cart"
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de que desea eliminar este artículo de la cesta de la compra?"
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Estimate Shipping and Tax","Estimación de los costes de envío y tasas"
"Enter your destination to get a shipping estimate.","Introduzca un destino para obtener una estimación de los gastos de envío."
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
City,Ciudad
"Zip/Postal Code","Código Postal"
"Get a Quote","Obtener una cotización"
"Update Total","Actualizar total"
"View Details","View Details"
"Options Details","Options Details"
Total:,Total:
"Edit item","Editar artículo"
"You will see the order total before you submit the order.","You will see the order total before you submit the order."
"Loading next step...","Cargando próximo paso..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva."
"Email Address","Dirección de email"
Company,Compañía
"VAT Number","Número de IVA"
Address,Dirección
"Street Address",Calle
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Password,Contraseña
"Confirm Password","Confirma Contraseña"
"Save in address book","Guardar en libreta de direcciones"
"Ship to this address","Enviar a esta dirección"
