Remove,Remove
Back,Voltar
Price,Preço
"Shopping Cart","Carrinho de compras"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"Shopping Cart Items","Shopping Cart Items"
Qty,Qty
Subtotal,Subtotal
"Excl. Tax","Excluir taxas"
Total,Total
"Incl. Tax","Incluir taxas"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Mover para lista de presentes"
"Edit item parameters","Editar parâmetros de item"
Edit,Editar
"Remove item","Remover item"
Item,Item
"Unit Price","Preço Unitário"
Loading...,Loading...
"* Required Fields","* Campos obrigatórios"
Change,Mudar
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"What's this?","O que é isso?"
"1 item","1 item"
"%1 items","%1 items"
"Product Name","Product Name"
"Invalid method: %1","Invalid method: %1"
"My Cart (1 item)","My Cart (1 item)"
"My Cart (%1 items)","My Cart (%1 items)"
"My Cart","Meu Carrinho"
"New Address","Novo Endereço"
Country,País
State/Province,Estado/Província
"Billing Information","Dados de Faturamento"
"Checkout Method","Método para Encerrar Compra"
"Payment Information","Informação de Pagamento"
"Order Review","Revisão da Ordem"
"Shipping Information","Dados de Frete"
"Shipping Method","Tipo de Frete"
"Minimum order amount is %1","Minimum order amount is %1"
"We cannot add this item to your shopping cart","We cannot add this item to your shopping cart"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","We cannot configure the product."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We cannot update the item.","We cannot update the item."
"We cannot update the shopping cart.","We cannot update the shopping cart."
"We cannot remove the item.","We cannot remove the item."
"The coupon code ""%1"" was applied.","The coupon code ""%1"" was applied."
"The coupon code was canceled.","The coupon code was canceled."
"We cannot apply the coupon code.","We cannot apply the coupon code."
"The onepage checkout is disabled.","O checkout de uma página está desativado."
Checkout,"Encerrar Compra"
"Unable to set Payment Method","Unable to set Payment Method"
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os Termos e Condições antes de colocar a ordem."
"Something went wrong processing your order. Please try again later.","Something went wrong processing your order. Please try again later."
"We can't find the product.","We can't find the product."
"The product does not exist.","O produto não existe."
"We don't have some of the products you want.","We don't have some of the products you want."
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"Some products quantities were recalculated because of quantity increment mismatch.","Some products quantities were recalculated because of quantity increment mismatch."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Exibir número de itens no carrinho"
"Display item quantities","Exibir quantidades do item"
"Load customer quote error","Carregar erro de orçamento do cliente"
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.","There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account."
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping address.","There are more than one shipping address."
