"Terms and Conditions","Terms and Conditions"
"Add New Condition","Add New Condition"
"Save Condition","Save Condition"
"Delete Condition","Delete Condition"
"Edit Terms and Conditions","Edit Terms and Conditions"
"New Terms and Conditions","New Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Condition Name","Condition Name"
Status,Status
Enabled,Enabled
Disabled,Disabled
"Show Content as","Show Content as"
Text,Text
HTML,HTML
"Store View","Store View"
"Checkbox Text","Checkbox Text"
Content,Content
"Content Height (css)","Content Height (css)"
"Content Height","Content Height"
ID,ID
Condition,Condition
Sales,Sales
"Checkout Conditions","Checkout Conditions"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"This condition no longer exists.","This condition no longer exists."
"The condition has been deleted.","The condition has been deleted."
"Edit Condition","Edit Condition"
"New Condition","New Condition"
"The condition has been saved.","The condition has been saved."
"Something went wrong while saving this condition.","Something went wrong while saving this condition."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Enable Terms and Conditions","Enable Terms and Conditions"
