ID,Identidade
Action,Ação
"Delete File","Apagar Arquivo"
"-- Please Select --","-- Please Select --"
"Custom Design","Personalizar Design"
"Block Information","Informações de bloco"
Status,Status
Disabled,Desativado
Enabled,Ativado
"Save and Continue Edit","Save and Continue Edit"
Title,Título
"URL Key","Chave URL"
"Store View","Visualização da loja"
Description,Descrição
Home,Início
"Browse Files...","Browse Files..."
Content,Conteúdo
"General Information","Informações gerais"
"Go to Home Page","Ir para Página Inicial"
px.,px.
"Collapse All","Fechar Tudo"
"Expand All","Expandir Todos"
"Static Blocks","Blocos Estáticos"
"Add New Block","Adicionar Novo Bloco"
"Save Block","Salvar Bloco"
"Delete Block","Apagar Bloco"
"Edit Block '%1'","Edit Block '%1'"
"New Block","Novo Bloco"
"Block Title","Título de Bloco"
Identifier,Identificador
"Manage Pages","Gerenciar Páginas"
"Add New Page","Adicionar Nova Página"
"Save Page","Salvar Página"
"Delete Page","Apagar Página"
"Edit Page '%1'","Edit Page '%1'"
"New Page","Nova página"
"Content Heading","Cabeçalho do conteúdo"
"Page Layout","Layout da  Página"
Layout,Layout
"Layout Update XML","Atualização de Layout XML"
"Custom Design From","Design Personalizado De"
"Custom Design To","Modelo Personalizado Para"
"Custom Theme","Tema Personalizado"
"Custom Layout","Layout do Modelo"
"Custom Layout Update XML","XML de Atualização do Layout Personalizado"
Design,Design
"Page Information","Informação da Página"
"Page Title","Título da Página"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Status da Página"
"Meta Data",Metadados
Keywords,Palavras-chave
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Descrição"
Created,Created
Modified,Modified
Preview,Preview
"Media Storage","Armazenamento de Mídia"
"Create Folder...","Criar Pasta..."
"Delete Folder","Apagar Pasta"
"Insert File","Inserir arquivo"
"New Folder Name:","Nome Nome da Pasta:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Images (%1)","Images (%1)"
"Storage Root","Raiz Tuberosa"
CMS,SGC
Blocks,Blocks
"This block no longer exists.","O bloco não existe mais."
"Edit Block","Editar bloco"
"The block has been saved.","O bloco foi salvo."
"The block has been deleted.","O bloco foi apagado."
"We can't find a block to delete.","We can't find a block to delete."
Pages,Páginas
"This page no longer exists.","A página não existe mais."
"Edit Page","Editar página"
"The page has been saved.","A página foi salva."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"The page has been deleted.","A página foi apagada."
"We can't find a page to delete.","We can't find a page to delete."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"Enabled by Default","Habilitado como padrão"
"Disabled by Default","Desativada por Defeito"
"Disabled Completely","Completamente desativado"
"A block identifier with the same properties already exists in the selected store.","Já existe na loja selecionada um identificador de bloco com as mesmas propriedades."
"A page URL key for specified store already exists.","Já existe uma chave de URL para a loja especificada."
"The page URL key contains capital letters or disallowed symbols.","A chave de URL contém letras maiúsculas ou símbolos desautorizados."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please correct the folder name. Use only letters, numbers, underscores and dashes.","Please correct the folder name. Use only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We cannot upload the file.","We cannot upload the file."
"We cannot delete root directory %1.","We cannot delete root directory %1."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"No files found","Arquivos não encontrados"
Block,Bloco
Template,Modelo
"Anchor Custom Text","Texto âncora personalizado"
"Anchor Custom Title","Título âncora personalizado"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"Content Management","Content Management"
"WYSIWYG Options","WYSIWYG Options"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"CMS Page Link","Link de Página CMS"
"Link to a CMS Page","Links para uma Página CMS"
"CMS Page","Página CMS"
"If empty, the Page Title will be used","Caso esteja em branco, o título da página será utilizado"
"CMS Page Link Block Template","Modelo de bloco de link da página de SGC"
"CMS Page Link Inline Template","Modelo Em Linha de Link de Página CMS"
"CMS Static Block","Bloco Estático do CMS"
"Contents of a Static Block","Conteúdos de um Bloco Estático"
"CMS Static Block Default Template","Template Padrão do Bloco Estático do CMS"
