"Configurable Product","Produit configurable"
"Configurable Product Settings","Réglages du produit configurable"
"Configurable Product Image","Image de produit configurable"
"Attribute '%s' used in configurable products","L'attribut ""%s"" est utilisé dans les produits configurables"
"This attribute is used in configurable products","Cet attribut est utilisé pour des produits configurables"
"Select Configurable Attributes","Sélectionner les attributs configurables"
"Configure Product","Configurer produit"
"Copy From Configurable","Copier depuis configurable"
"Product with this combination of attributes already associated to configurable.","Les produits avec cette combinaison d'attributs sont déjà associés à configurable."
"Scope must not be changed, because the attribute is used in configurable products.","Le champ ne doit pas être changé, car l'attribut est utilisé dans des produits configurables."
"Select Configurable Attributes ","Sélectionner les attributs configurables"
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","L'attribut est utilisé dans des produits paramétrables. Vous ne pouvez pas le retirer de la série d'attributs."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Le groupe contient des attributs, utilisés dans des produits paramétrables. Veuillez déplacer ces attributs vers un autre groupe et réessayer."
"Use To Create Configurable Product","Permet de créer des produits configurables"
"Wrong product type to extract configurable options.","Mauvais type de produit pour extraire des options configurables."
