Remove,Eliminar
Action,Acción
File,File
Email,"Correo electrónico"
Name,Nombre
Type,Tipo
Description,Descripción
Summary,Resumen
Include,Incluir
"Save Data and Create Package","Guardar datos y crear paquete"
"Save As...","Guardar como..."
"Save package with custom package file name","Guardar paquete con nombre de archivo de paquete personalizado"
"New Extension","Nueva extensión"
"Add files","Agregar archivos"
Authors,Autores
"Add Author","Añadir Autor"
Contents,Contenido
"PHP Version","Versión de PHP"
Minimum,Mínimo
Maximum,Máximo
Dependencies,Dependencias
Folder,Carpeta
Package,Paquete
"Load Local Package","Cargar paquete local"
"Package File Name","Nombre de archivo de paquete"
Channel,Canal
"1.5.0.0 & later","1.5.0.0 y posterior"
Pre-1.5.0.0,"Pre 1.5.0.0"
"Supported releases","Publicaciones soportadas"
License,Licencia
"License URI","Dirección URI de la licencia"
"Package Info","Información de paquete"
Release,Release
"Release Version","Release Version"
"Release Stability","Release Stability"
Notes,Notes
"Release Info","Información de versión"
"Create Extension Package","Crear paquete de extensión"
"Package Extensions","Extensiones de paquete"
Extension,Extensión
"Something went wrong loading the package data.","Something went wrong loading the package data."
"The package %1 data has been loaded.","The package %1 data has been loaded."
"The package data has been saved.","Se guardaron los datos del paquete."
"Something went wrong saving the package data.","Something went wrong saving the package data."
"Something went wrong saving the package.","Something went wrong saving the package."
"Something went wrong creating the package.","Something went wrong creating the package."
User,Usuario
Target,Destino
Path,Camino
Ignore,Ignorar
"Recursive Dir","Recursive Dir"
"Add Contents Path","Añadir Trayectoria de Contenidos"
Packages,Paquetes
Min,Mínimo
Max,Máximo
Files,Archivos
"Add Package dependency","Añadir dependencia del Paquete"
Extensions,Extensiones
"Add PHP Extension dependency","Añadir dependencia de la Extensión PHP"
"Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads.","Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads."
