"1.5.0.0 & later","1.5.0.0またはそれ以降"
"Action","アクション"
"Add Author","投稿者追加"
"Add Contents Path","コンテンツパスを追加"
"Add PHP Extension dependency","PHPエクステンション依存性を追加"
"Add Package dependency","パッケージに依存性を追加"
"Add files","ファイル追加"
"Authors","作者"
"Channel","チャンネル"
"Contents","コンテンツ"
"Create Extension Package","エクステンションパッケージの作成"
"Dependencies","依存するパッケージ"
"Description","概要"
"Edit Extension","エクステンションノ編集"
"Email","Eメール"
"Extension","エクステンション"
"Extensions","エクステンション"
"Failed to create the package.","パッケージの作成に失敗しました。"
"Failed to load the package data.","パッケージデータの読み込みに失敗しました。"
"Failed to save the package.","パッケージの保存に失敗しました。"
"Files","ファイル"
"Folder","フォルダ"
"Ignore","無視"
"Include","含む"
"License","ライセンス"
"License URI","ライセンスURI"
"Load Local Package","ローカルパッケージ読込"
"Load local Package","ローカルパッケージ読込"
"Magento Connect","Magentoコネクト"
"Magento Connect Manager","Magentoコネクト管理"
"Max","最大"
"Maximum","最大"
"Min","最小"
"Minimum","最小"
"Name","名前"
"New Extension","新規エクステンション"
"PHP Version","PHPバージョン"
"Package","パッケージ"
"Package Extensions","エクステンションパッケージ"
"Package File Name","パッケージファイル名"
"Package Info","パッケージ情報"
"Packages","パッケージ"
"Path","パス"
"Pre-1.5.0.0","1.5.0.0以前"
"Release Info","リリース情報"
"Remove","削除"
"Save As...","名前を付けて保存"
"Save Data and Create Package","データを保存してパッケージを作成"
"Save package with custom package file name","パッケージを独自のファイル名で保存"
"Summary","サマリ"
"Supported releases","サポートするリリース"
"System","システム"
"Target","対象"
"The package %s data has been loaded.","パッケージ %s のデータを読み込みました。"
"The package data has been saved.","パッケージを保存しました。"
"There was a problem saving package data","パッケージの保存中にエラーが発生しました。"
"Type","タイプ"
"User","ユーザー"
