Email,电子邮件
Name,姓名
Submit,提交
"* Required Fields",*必要字段
Telephone,Telephone
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Contact Information",联系信息
Comment,评论
"Email Template","Email Template"
Contacts,Contacts
"Contact Us",联系我们
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
