"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tarefas Agendadas) - todos os tempos são em minutos"
"Daily","Diário"
"Failure History Lifetime","Falha no Historial de Vida"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para corrigir URLs gerados durante a execução do cron por favor certifique-se que URLs Base de Dados Seguros e Inseguros de Rede são explicitamente definidos."
"Generate Schedules Every","Gerar Todos os Horários"
"History Cleanup Every","Limpar Todo o Historial"
"Hourly","Horário"
"Invalid callback: %s::%s does not exist","Chamada inválida: %s::%s não existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definição do modelo/método inválido, esperando ""modelo/classe::método""."
"Minute Intervals","Intervalos de Minutos"
"Missed if Not Run Within","Perdidos se Não Forem Executados Dentro"
"Monthly","Mensal"
"No callbacks found","Nenhuma chamada encontrada"
"Schedule Ahead for","Agenda Seguinte para"
"Success History Lifetime","Sucesso no Historial de Vida"
"Too late for the schedule.","Tarde demais para o horário."
"Unable to delete the cron task.","Não foi possível excluir a tarefa cron."
"Unable to save the cron expression.","Impossível salvar a expressão cron."
"Unknown error.","Erro desconhecido."
"Weekly","Semanalmente"
