"Save Currency Rates","Save Currency Rates"
Reset,Reset
Import,Import
"Manage Currency Rates","Manage Currency Rates"
"Import Service","Import Service"
"Save Currency Symbols","Save Currency Symbols"
"Currency Symbols","Currency Symbols"
"Use Standard","Use Standard"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"All possible rates were fetched, please click on ""Save"" to apply","All possible rates were fetched, please click on ""Save"" to apply"
"All rates were fetched, please click on ""Save"" to apply","All rates were fetched, please click on ""Save"" to apply"
"Currency Rates","Currency Rates"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"All valid rates have been saved.","All valid rates have been saved."
System,System
"The custom currency symbols were applied.","The custom currency symbols were applied."
"Old rate:","Old rate:"
