"'%value%' appears to be a DNS hostname but cannot extract TLD part","‘%value%' がDNSのホスト名に指定されていますが、トップレベルドメイン部が抽出できません"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","‘%value%' がDNSのホスト名に指定されていますが、トップレベルドメイン部が既知のリストにありません"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' がDNSのホスト名に指定されていますが、ホスト名の形式がトップレベルドメイン '%tld%'にマッチしていません"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","‘%value%' がDNSのホスト名に指定されていますが、ハイフンが不正な位置にあります"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","‘%value%' がDNSのホスト名に指定されていますが、PunyCodeが復号化出来ません"
"'%value%' appears to be a local network name but local network names are not allowed","‘%value%' がローカルネットワーク名で指定されていますが、ローカルネットワーク名は許可されていません"
"'%value%' appears to be an IP address, but IP addresses are not allowed","‘%value%' がIPアドレスで指定されていますが、IPアドレスは使用できません"
"'%value%' does not appear to be a valid local network name","‘%value%' は正しいローカルネットワーク名ではありません"
"* Required Fields","* 必須項目"
"ALL GROUPS","全てのグループ"
"Account Dashboard","アカウントダッシュボード"
"Account Information","アカウント情報"
"Account Sharing Options","アカウント設定オプション"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","アカウントの確認が必要です。お使いのメールアドレスの確認リンクを再確認してください。確認メールを送り直す場合は<a href=""%s"">ここをクリック</a>してください"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","アカウントの確認が必要です。 お送りしたメールのリンクをご確認ください。 確認メールを再送するには <a href=""%s"">ここをクリック</a>してください。"
"Action","アクション"
"Add New Address","新しい住所の追加"
"Add New Customer","新規顧客の追加"
"Add New Customer Group","新規顧客グループの追加"
"Added From","登録元"
"Additional Address Entries","追加住所登録"
"Address","住所"
"Address Book","アドレス帳"
"Address Books","アドレス帳"
"Address Information","住所情報"
"Address Templates","住所表記テンプレート"
"Addresses","住所"
"Admin","管理"
"All","全て"
"All Store Views","全てのストアビュー"
"All countries","全ての国"
"Always optional.","常に任意"
"Amount","量"
"An error occurred while deleting the address.","住所の削除中にエラーが発生しました。"
"An error occurred while retrieving the option value: %s.","オプションの値を受け取り中にエラーが発生しました: %s."
"An error occurred while saving the collection, aborting. Error: %s","コレクションを保存中にエラーが発生しました。エラー: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s)に不正なオプションIDが指定されました。レコードをスキップします。"
"Approved","承認"
"Are you sure that you want to remove this item?","このアイテムを削除してもよろしいですか？"
"Are you sure you want to cancel adding of this address?","この住所の追加を取りやめてもよろしいですか？"
"Are you sure you want to delete this address?","この住所を削除してもよろしいですか？"
"Are you sure?","よろしいですか？"
"Array of Entity collections is expected.","属性の配列が想定されています。"
"Assign a Customer Group","顧客グループに割り当てる"
"Average Sale","平均売上"
"Back","戻る"
"Back - link to the previously viewed page","戻る - 前に表示していたページに戻ります"
"Back to Login","ログイン画面に戻る"
"Bad request.","不正なリクエスト。"
"Based on the VAT ID, the customer would belong to the Customer Group %s.","VAT IDに基づいて、顧客はグループ %s に割り当てられます。"
"Bill to Name","請求先名"
"Bought From","購入元"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","アカウントを作成いただくと、お買い物がよりスピーディーに行え、複数の配送先を登録できます。また、ご注文の追跡などができます。"
"CSV","CSVファイル"
"Cancel","キャンセル"
"Cannot save a new password.","新しいパスワードを保存できません。"
"Cannot save address.","住所を保存できません。"
"Cannot save the customer.","顧客データを保存できません。"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","顧客アカウントを全体で共有できません。何人かのメールアドレスが複数のサイトで登録されていて、名寄せできません。"
"Change Account Password","パスワード変更"
"Change Billing Address","請求先住所変更"
"Change Password","パスワード変更"
"Change Shipping Address","配送先変更"
"City","市区町村"
"Company","会社名"
"Config","設定"
"Configure","設定"
"Confirm New Password","新しいパスワードの確認"
"Confirm Password","パスワードの確認"
"Confirmation Link Email","確認リンクEメール"
"Confirmed","確認"
"Contact Information","ご連絡先"
"Continue Shopping","お買い物を続ける"
"Country","国"
"Create","作成"
"Create New Account Options","新規アカウント作成オプション"
"Create New Customer Account","新規顧客アカウントを作成"
"Create Order","注文を作成"
"Create an Account","アカウントを作成"
"Create customer","顧客作成"
"Create customer address","顧客住所を作成"
"Current Password","現在のパスワード"
"Customer","顧客"
"Customer API","顧客API"
"Customer Account Edit Form","アカウント情報編集フォーム"
"Customer Account Login Form","ログインフォーム"
"Customer Account Logout Success","ログアウトしました"
"Customer Account Registration Form","会員登録フォーム"
"Customer Addresses","顧客住所"
"Customer Configuration","顧客設定"
"Customer Forgot Password Form","パスワード再発行フォーム"
"Customer Group","顧客グループ"
"Customer Groups","顧客グループ"
"Customer Information","顧客情報"
"Customer Login","ログイン"
"Customer My Account (All Pages)","マイページ (全ページ)"
"Customer My Account Address Book","マイページアドレス帳"
"Customer My Account Address Edit Form","マイページ住所編集フォーム"
"Customer My Account Dashboard","マイページダッシュボード"
"Customer Since","顧客登録日時"
"Customer View","顧客照会"
"Customer collection expected.","顧客コレクションを想定しています。"
"Customer email is required","メールアドレスが必要です。"
"Customer website ID must be specified when using the website scope","ウェブサイトごとに顧客管理をする場合には顧客データにウェブサイトIDが必要です。"
"Customer will stay on the current page if ""No"" is selected.","もし、「いいえ」が選択された場合、顧客は現在のページから移動しません。"
"Customers","顧客"
"Customers Only","顧客のみ"
"Customers Section","顧客セクション"
"Day (DD)","日"
"Date","日付"
"Date Added","登録日"
"Date of Birth","生年月日"
"Day","日"
"Days in Wishlist","欲しい物リストの日付"
"Default Addresses","標準の住所"
"Default Billing Address","標準の請求先住所"
"Default Email Domain","標準のメールアドレスドメイン"
"Default Group","標準のグループ"
"Default Shipping Address","標準の配送先住所"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT IDに基づくグループ自動割り当てを無効にする"
"Default Welcome Email","標準のウェルカムメール"
"Delete","削除"
"Delete Address","住所の削除"
"Delete Customer","顧客の削除"
"Delete Customer Group","顧客グループの削除"
"Delete customer","顧客の削除"
"Delete customer address","顧客住所の削除"
"Deleted Stores","ストアを削除"
"Details","詳細"
"Disabled","無効"
"Edit","編集"
"Edit Account Info","アカウント情報の編集"
"Edit Account Information","アカウント情報の編集"
"Edit Address","住所の編集"
"Edit Address Entry","住所の編集"
"Edit Customer Group ""%s""","顧客グループ ""%s""を編集"
"Edit Customer Groups","顧客グループを編集"
"Edit Customer's Address","顧客の住所を編集"
"Edit Group","グループの編集"
"Edit Newsletters","ニュースレターの編集"
"Email","Eメール"
"Email Address","メールアドレス"
"Email Sender","メール送信者"
"Email:","Eメール:"
"Enable Automatic Assignment to Customer Group","自動グループ割当を有効にする"
"Entity collection is expected.","エンティティコレクションを想定しています。"
"Excel XML","Excel形式XML"
"Failed to confirm customer account.","顧客アカウントの認証に失敗しました"
"Fax","FAX"
"First Name","名"
"Forgot Email Template","リマインダーテンプレート"
"Forgot Password","パスワードを忘れた"
"Forgot Your Password","パスワードをお忘れですか？"
"Forgot Your Password?","パスワードをお忘れですか？"
"Forgot and Remind Email Sender","パスワード再発行メール送信者"
"Form Fields Before","フォーム項目の前"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","アカウントダッシュボードでは、お客様の最近のご購入履歴やお客様情報をご覧いただけます。リンクをクリックすることで情報を閲覧・変更することが可能です。"
"Gender","性別"
"Gender is required.","性別は必須項目です。"
"General Subscription","ニュースレターを購読する"
"Generate Human-Friendly Customer ID","人間にわかりやすい顧客IDを生成する"
"Global","グローバル"
"Grand Total","合計"
"Group","グループ"
"Group Information","グループ情報"
"Group Name","グループ名"
"Group for Invalid VAT ID","不正なVAT番号です"
"Group for Valid VAT ID - Domestic","正規VAT番号グループ - 国内"
"Group for Valid VAT ID - Intra-Union","正規VAT番号グループ - 国際"
"Guest","ゲスト様"
"HTML","HTML"
"Hello, %s!","ようこそ, %s様!"
"ID","ID"
"IP Address","IPアドレス"
"If there is an account associated with %s you will receive an email with a link to reset your password.","アカウントが %s に関連付けられている場合、お手元にパスワード再発行のメールが届きます。"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","ご登録済みのVAT対象のお客様の場合は, <a href=""%s"">ここ</a> をクリックして請求先住所に基づく正しいVAT額を計算してください"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","ご登録済みのVAT対象のお客様の場合は, <a href=""%s"">ここ</a> をクリックして配送先住所に基づく正しいVAT額を計算してください"
"If you believe this is an error, please contact us at %s","もし不具合を発見された場合は %s までご連絡ください。"
"If you have an account with us, please log in.","アカウントをお持ちの場合は、ログインをお願いします。"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","不正な属性オプションが属性 %s (%s)に指定されました。行をスキップしています。"
"Invalid attribute set specified, skipping the record.","不正な属性セットが指定されました。行をスキップしています。"
"Invalid billing address for (%s)","不正な請求先住所 (%s)"
"Invalid current password","不正なパスワードです"
"Invalid customer data","不正な顧客データ"
"Invalid email address ""%s"".","不正なメールアドレス ""%s"" です。"
"Invalid email address.","不正なメールアドレスです。"
"Invalid login or password.","ログイン名かパスワードが違います。"
"Invalid password reset token.","不正なパスワードリセットトークン。"
"Invalid shipping address for (%s)","不正は届け先住所 (%s)"
"Invalid store specified, skipping the record.","不正な店舗が指定されました。レコードをスキップします。"
"Invalid website, skipping the record, line: %s","不正なウェブサイトです。　行: %s"
"Last Activity","最近の行動"
"Last Subscribed Date","最終購読日"
"Last Date Unsubscribed","最終購読解除日"
"Last Name","姓"
"Last URL","最終URL"
"Leave empty for default (15 minutes).","空白の場合は、初期値(15分)になります。"
"Leave empty for default (2). Valid range: 1-4","空白の場合は初期値(2)になります。 有効範囲: 1-4"
"Lifetime Sales","セール期間"
"Log In","ログイン"
"Log Out","ログアウト"
"Login","ログイン"
"Login Information","ログイン情報"
"Login Options","ログインオプション"
"Login and password are required.","ログインとパスワードが必要です。"
"Login or Create an Account","ご登録済みの方はログインをお願いします"
"Month (MM)","MM"
"Manage Addresses","住所の管理"
"Manage Customers","顧客管理"
"Maximum length must be less then %s symbols","長さは %s 文字以下でなければなりません"
"Missing email, skipping the record, line: %s","メールアドレスがありません。レコードをスキップします。 行: %s"
"Missing email, skipping the record.","メールアドレスがありません。レコードをスキップします。"
"Missing first name, skipping the record, line: %s","名がありません。レコードをスキップします。 行: %s"
"Missing firstname, skipping the record.","名がありません、レコードをスキップします。"
"Missing last name, skipping the record, line: %s","姓がありません。レコードをスキップします。　行: %s"
"Missing lastname, skipping the record.","姓がありません、レコードをスキップします。"
"Missing website, skipping the record, line: %s","ウェブサイトがありません。レコードをスキップします。　行: %s"
"Month","月"
"My Account","マイアカウント"
"My Account Wrapper","マイアカウントラッパー"
"My Dashboard","アカウントダッシュボード"
"My Orders","注文履歴"
"Name","名前"
"Name and Address Options","名前と住所のオプション"
"Never","まだ"
"New Address","新規住所"
"New Address Entry","住所新規登録"
"New Customer","新規顧客"
"New Customer Address","新規顧客住所"
"New Customer Group","新規顧客グループ"
"New Customer Groups","新規顧客グループ"
"New Customers","まだご登録いただいていないお客様"
"New Group","新規グループ"
"New Password","新しいパスワード"
"New account","新しいアカウント"
"New account confirmation key","新しいアカウントの確認キー"
"New account confirmed","新しいアカウント確認"
"New password field cannot be empty.","新しいパスワードを入力してください。"
"Newsletter","ニュースレター"
"Newsletter Finish","ニュースレター終了"
"Newsletter Information","ニュースレター情報"
"Receive Date","Receive Date"
"Start Date","Start Date"
"Newsletter Subscription","ニュースレター購読"
"Newsletters","ニュースレター"
"No Items Found","商品が見つかりませんでした"
"No Newsletter Found","ニュースレターが見つかりませんでした"
"No customer collections found","顧客データコレクションがありません"
"No item specified.","アイテムが指定されていません。"
"Not Sent","未送信"
"Not confirmed, can login","認証されていないため、ログインできません"
"Not confirmed, cannot login","認証されていないため、ログインできません"
"Number of Lines in a Street Address ","番地入力フィールドの数"
"Offline","オフライン"
"Online","オンライン"
"Online Customers","接続中の顧客"
"Online Customers Options","オンライン顧客オプション"
"Online Minutes Interval","オンライン分間隔"
"Order #","ご注文番号 "
"Order Total","注文合計"
"Orders","注文"
"PDF","PDFファイル"
"Password","パスワード"
"Password Management","パスワード管理"
"Password Options","パスワードオプション"
"Password forgotten","パスワードを忘れた場合"
"Password:","パスワード:"
"Paused","ポーズ"
"Pending","処理待ち"
"Per Website","ウェブサイトごと"
"Personal Information","個人情報"
"Please enter a number 1 or greater in this field.","1またはそれ以上の数字を入力してください。"
"Please enter a valid date between %s and %s at %s.","%s から %s の正しい日付を %s に入力してください。"
"Please enter a valid date equal to or greater than %s at %s.","%s より未来の日付を %s に入力してください。"
"Please enter a valid date less than or equal to %s at %s.","%s より過去の日付を %s に入力してください。"
"Please enter the city.","市区町村を入力してください。"
"Please enter the country.","国を入力してください。"
"Please enter the first name.","名を入力してください。"
"Please enter the last name.","姓を入力してください。"
"Please enter the state/province.","都道府県を入力してください。"
"Please enter the street.","住所を入力してください。"
"Please enter the telephone number.","電話番号を入力してください。"
"Please enter the zip/postal code.","郵便番号を入力してください。"
"Please enter your email address below. You will receive a link to reset your password.","メールアドレスを入力してください。パスワード再発行メールをお送りいたします。"
"Please enter your email below and we\'ll send you confirmation link for it.","メールアドレスを入力してください。認証用のリンクを送信します。"
"Please enter your email.","メールアドレスを入力してください。"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please select","選択してください"
"Please select a website which contains store view","ストアビューを含んでいるウェブサイトを選択してください"
"Please select region, state or province","都道府県を選択してください"
"Please, check your email for confirmation key.","メールの確認キーを入力してください。"
"Prefix Dropdown Options","称号の候補"
"Price","価格"
"Product","商品"
"Product ID","商品ID"
"Product Name","商品名"
"Product Reviews","商品レビュー"
"Product Tags","商品タグ"
"Purchase On","購入日"
"Purchased At","購入場所"
"Qty","個数"
"Recent Orders","最近のご注文"
"Records for %s store found.","%s のレコードが見つかりました。"
"Recovery Link Expiration Period (days)","再発行リンク有効期限(日)"
"Redirect Customer to Account Dashboard after Logging in","ログイン後にマイページにリダイレクトする"
"Refunded","返金"
"Registered Customers","既にご登録いただいているお客様"
"Remind Email Template","リマインダーメールテンプレート"
"Remind Password","パスワード再発行"
"Remove","削除"
"Require Emails Confirmation","メールによる確認を行う"
"Reset a Password","パスワードリセット"
"Retrieve address data","アドレスデータの取得"
"Retrieve address info","アドレス情報の取得"
"Retrieve customer addresses","顧客住所を取得"
"Retrieve customer data","顧客データ取得"
"Retrieve customer groups","顧客グループを取得"
"Retrieve customer info","受信した顧客情報"
"Retrieve customers","顧客取得"
"Retrieve your confirmation link here","認証リンクをここから取得"
"Retrieve your password here","パスワードを再入力してください"
"SKU","商品番号"
"Sales Statistics","売上情報"
"Save","保存"
"Save Address","保存"
"Save Customer","保存"
"Save Customer Group","保存"
"Save Password","保存"
"Save and Continue Edit","保存して編集を続ける"
"Saved %d record(s)","%d 件保存しました。"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","セミコロン(;) で区切ってください。<br/>セミコロンを先頭にすると空白の選択肢になります。<br/>この項目を使わない場合は空のままにしてください。"
"Send From","送信元"
"Send Welcome Email","ウェルカムメールを送信する"
"Send Welcome Email after Confirmation","ウェルカムメールを確認後に送信する"
"Send auto-generated password","自動生成したパスワードを送信"
"Send confirmation link","認証リンクを送信"
"Sending","送信中"
"Sent","送信済"
"Session Start Time","セッション開始時間"
"Set as Default Billing Address","標準の請求先住所に設定する"
"Set as Default Shipping Address","標準の配送先住所に設定する"
"Share Customer Accounts","顧客アカウントを共有"
"Shipped to First Name","送り先名"
"Shipped to Last Name","送り先姓"
"Shipped to Name","配送先名"
"Shopping Cart","ショッピングカート"
"Shopping Cart - %d item(s)","ショッピングカート - %d個の商品"
"Shopping Cart of %1$s - %2$d item(s)","ショッピングカート %1$s - %2$d 個の商品"
"Show Date of Birth","誕生日を表示"
"Show Gender","性別を表示する"
"Show Middle Name (initial)","ミドルネームを表示 (イニシャル)"
"Show Prefix","称号を表示"
"Show Suffix","敬称を表示"
"Show Tax/VAT Number","税/VAT番号を表示"
"Sign Up for Newsletter","ニュースレターを購読する"
"Skipping import row, required field ""%s"" is not defined.","必須フィールド ""%s"" が未定義されていないため、行のインポートをスキップします。"
"Skipping import row, website ""%s"" field does not exist.","ウェブサイトフィールド ""%s"" がないため行のインポートをスキップします。"
"State/Province","都道府県"
"Status","状態"
"Store","店舗"
"Store View","ストアビュー"
"Street Address","番地"
"Street Address %s","番地 %s"
"Subject","件名"
"Submit","送信"
"Subscribe to Newsletter","ニュースレター購読"
"Subscribed to Newsletter?","ニュースレターを購読しますか？"
"Suffix Dropdown Options","サフィックスドロップダウンオプション"
"Tag Name","タグ名"
"Tax Calculation Based On","税計算基準"
"Tax Class","税区分"
"Tax/VAT number","税/付加価値税番号"
"Telephone","電話番号"
"Text","テキスト"
"Text One Line","一行テキスト"
"Thank you for registering with %s.","%sにご登録ありがとうございます。"
"The Date of Birth is required.","誕生日は必須項目です。"
"The TAX/VAT number is required.","納税者番号は必須項目です。"
"The VAT ID entered (%s) is not a valid VAT ID.","VAT番号 (%s) が不正です。"
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","入力いただいたVAT ID (%s) は不正です。顧客はグループ %s に割り当てられます。"
"The VAT ID is valid. The current Customer Group will be used.","正しいVAT番号です。 現在のグループが使用されます。"
"The account information has been saved.","お客様の情報を保存しました。"
"The address does not belong to this customer.","住所は未登録です。"
"The address has been deleted.","住所を削除しました。"
"The address has been saved.","住所を保存しました。"
"The customer ID and email did not match, skipping the record, line: %s","顧客IDとメールアドレスが一致しません。行をスキップします。 行: %s"
"The customer does not have default billing address.","この顧客は標準の請求先を登録していません。"
"The customer email (%s) already exists, skipping the record, line: %s","メールアドレス (%s) は既に存在しています。行をスキップします。 行: %s"
"The customer group has been deleted.","顧客グループを削除しました。"
"The customer group has been saved.","顧客グループを保存しました。"
"The customer is currently assigned to Customer Group %s.","顧客は既にグループ %s に割り当てられています。"
"The first name cannot be empty.","名を入力してください。"
"The group ""%s"" cannot be deleted","グループ ""%s"" は削除できません。"
"The last name cannot be empty.","姓を入力してください。"
"The minimum password length is %s","パスワードは %s 文字以上入力してください。"
"The password cannot be empty.","パスワードを入力してください。"
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","パスワードは最低6文字以上である必要があります。先頭と最後の空白は無視されます。"
"The suffix that goes after name (Jr., Sr., etc.)","名前に続くサフィックスが必要 (Jr., Sr., など)"
"The title that goes before name (Mr., Mrs., etc.)","名前の前につけるタイトル (Mr., Mrs., など)"
"There are no items in customer's wishlist at the moment","現在顧客の欲しい物リストに商品がありません"
"There are no items in customer\'s shopping cart at the moment","顧客のショッピングカートに商品がありません"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","このメールアドレスはすでに使用されています。もしこのメールアドレスがあなたも物である場合、 <a href=""%s"">ここをクリック</a>して新しいパスワードを発行してください。"
"There was an error validating the VAT ID.","VAT IDの検証中にエラーが発生しました。"
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","入力いただいた VAT ID は不正です。顧客はグループ %s に割り当てられます。"
"This account is not confirmed.","このアカウントは認証されていません。"
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","このアカウントは拘束中です。 <a href=""%s"">ここをクリック</a>して確認メールを送信してください"
"This customer email already exists","メールアドレスは登録済みです。"
"This customer has no saved addresses.","この顧客は住所を保存していません。"
"This email does not require confirmation.","このメールアドレスは確認を必要としません。"
"This email will be sent instead of default welcome email, after account confirmation.","このメールは標準のウェルカムメールの代わりにアカウント確認後に送信されます。"
"This is My Default %s Address","標準の %s 住所です"
"To Cart","カートへ"
"Total","合計"
"Type","タイプ"
"Unable to save the customer.","Unable to save the customer."
"Unknown","不明"
"Unsubscribe from Newsletter","ニュースレターを購読解除する"
"Update","更新"
"Update customer address data","顧客アドレスデータを更新"
"Update customer data","顧客データを更新"
"Use as My Default %s Address","標準の %s 住所を使用する。"
"Use as My Default Billing Address","標準の請求先住所にする"
"Use as My Default Shipping Address","標準の配送先住所にする"
"Use as my default billing address","標準の請求先住所にする"
"Use as my default shipping address","標準の配送先住所にする"
"VAT Number","VAT番号"
"VAT Request Date","VATリクエスト日"
"VAT Request Identifier","VATリクエスト識別番号"
"Validate VAT Number","VAT番号検証"
"Validate on Each Transaction","各トランザクションごとに検証する"
"Validation Error Group","エラーグループ検証"
"View","表示"
"View Order","注文表示"
"Visitor","訪問者"
"Visitors Only","訪問者のみ"
"Website","ウェブサイト"
"Welcome Email","ウェルカムメール"
"Wishlist","欲しい物リスト"
"Wishlist - %d item(s)","欲しい物リスト - %dの商品"
"Would you like to change the Customer Group for this order?","この注文の顧客グループを変更しますか？"
"Wrong confirmation key.","認証キーが違います"
"Wrong customer account specified.","不正な顧客アカウント番号が指定されました。"
"Wrong email.","間違ったメールアドレス"
"Wrong transactional account email type","不正な取引メールアカウントです"
"YYYY","YYYY"
"Year","年"
"You are currently not subscribed to any newsletter.","ニュースレターをご購読いただいておりません。"
"You are currently not subscribed to our newsletter.","ニュースレターをご購読いただいておりません。"
"You are currently subscribed to 'General Subscription'.","ニュースレターをご購読中です。"
"You are currently subscribed to our newsletter.","ニュースレターをご購読中です。"
"You are now logged out","ログアウトしました"
"You have logged out and will be redirected to our homepage in 5 seconds.","ログアウトしました。5秒後にTOPページに移動します。"
"You have no additional address entries in your address book.","その他の住所データがありません。"
"You have no additional entries in your address book.","その他の住所が住所録にありません。"
"You have no default billing address in your address book.","標準の請求先が住所録にありません。"
"You have no default entries in your address book.","アドレス帳にデータがありません。"
"You have no default shipping address in your address book.","標準の配送先が住所録にありません。"
"You have not set a default billing address.","標準のご請求先が指定されていません。"
"You have not set a default shipping address.","標準の配送先を指定してください。"
"You have placed no orders yet.","まだ注文はありません。"
"You have placed no products yet.","まだ商品はありません。"
"You will be charged tax.","課税されます。"
"You will not be charged tax.","課税されません。"
"Your Tax ID cannot be validated.","VAT番号を確認できません。"
"Your VAT ID was successfully validated.","VAT番号を確認しました。"
"Your account balance is: %s","お客様の残高: %s"
"Your password has been updated.","パスワードを更新しました。"
"Your password reset link has expired.","パスワードリセットリンクは有効期限切れです。"
"ZIP","郵便番号"
"ZIP/Post Code","郵便番号"
"Zip/Postal Code","郵便番号"
"n/a","該当無し"
"or","または"
"register","register"
