"-- Please select --","-- Selecione --"
"Allowed Currencies","Moedas Permitidas"
"Base Currency","Moeda Padrão"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","A Moeda Padrão é usada em todas as transações de pagamento online. O escopo é definido pelo escopo do preço de catálogo (""Catálogo"" > ""Preço"" > ""Escopo do Preço de Catálogo"")."
"Can\'t convert rate from ""%s-%s"".","Não é possível converter taxa de ""%s-%s""."
"Cannot retrieve rate from %s.","Não foi possível recuperar a taxa do %s."
"Connection Timeout in Seconds","Duração da Conexão em Segundos"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country API","API do país"
"Country and Format Type combination should be unique","A combinação do tipo de formato e país devem ser única"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Setup","Configuração de Moeda"
"Currency Update Warnings","Alertas de Atualização de Moeda"
"Default Display Currency","Visualizar Moeda Padrão"
"Directory","Diretório"
"Display not required State","Exibição não requerida Estado"
"Enabled","Ativado"
"Error Email Recipient","Erro de Destinatário de Email"
"Error Email Sender","Erro de Remetente de Email"
"Error Email Template","Erro de Template de Email"
"FATAL ERROR:","ERRO CRÍTICO:"
"Frequency","Freqüência"
"Installed Currencies","Moedas Instaladas"
"Invalid Import Service specified.","Importação de Serviço Especificado Inválido."
"Invalid country code: %s","Código do país inválido: %s"
"Invalid rates received","Valores recebidos inválidos"
"Invalid target currency.","Moeda de destino inválida."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões no país especificado"
"Postal Code is Optional for the following countries","Código Postal é Opcional nos seguintes países"
"Region","Região"
"Region API","API da região"
"Scheduled Import Settings","Configurações de Importação Programadas"
"Select Your Currency","Selecione sua moeda"
"Service","Serviço"
"Start Time","Tempo de Início"
"State is required for","O estado é requerido para"
"State/Province","Estado/Província"
"States Options","Opções de estados"
"Unable to initialize the import model.","Não foi possível inicializar o modelo importado."
"Undefined rate from ""%s-%s"".","Taxa indefinida de ""%s-%s""."
"WARNING:","ATENÇÃO:"
"Webservicex","Webservicex"
"Your current currency is: %s","Sua moeda atual é: %s"
