Back,Zurück
Price,Preis
SKU,SKU
Qty,Qty
"Excl. Tax","Steuer weglassen"
Total,Total
"Incl. Tax","Steuer inkludieren"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Move to Wishlist"
File,Datei
"Edit item parameters","Artikelangaben ändern"
Edit,Bearbeiten
"Remove item","Remove item"
"All Files","All Files"
[GLOBAL],[GLOBAL]
"[STORE VIEW]","[STORE VIEW]"
Delete,Löschen
Status,Status
"Sort Order",Sortierreihenfolge
Title,Titel
"Browse Files...","Browse Files..."
"Use Default Value","Standardwert verwenden"
Ordered,Bestellt
Invoiced,"In Rechnung gestellt."
Shipped,Versandt
Refunded,Rückerstattet
Canceled,Storniert
From:,Von:
To:,An:
Availability,Availability
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Gift Message",Geschenkmitteilung
Message:,Nachricht:
"Add New Row","Neue Zeile hinzufügen"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"What's this?","Was ist das?"
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Order #","Order #"
Date,Datum
"Upload Files","Upload Files"
"Downloadable Information","Herunterladbare Informationen"
Samples,Samples
Links,Links
Unlimited,Unbegrenzt
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products","Meine herunterladbaren Produkte"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"We can't find the link you requested.","We can't find the link you requested."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Please log in to download your product or purchase <a href=""%1"">%2</a>."
"Please log in to download your product.","Bitte melden Sie sich an um das Produkt herunterzuladen."
"The link has expired.","Der Link ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"Please set resource file and link type.","Bitte setzten Sie Ressourcendatei und Linktyp."
"Invalid download link type.","Ungültiger Downloadlinktyp."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Order id cannot be null","Order-ID kann nicht Null sein"
"Order item id cannot be null","Order-Artikel-ID kann nicht Null sein"
"Please specify product link(s).","Bitte spezifizieren Sie Produktlink(s)."
attachment,Anhang
inline,Inline
Pending,Ausstehend
sample,Probe
"Links can be purchased separately","Links können separat gekauft werden."
"Max. Downloads","Max. Downloads"
Shareable,Mitbenutzbar
Sample,Beispiel
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumerische Zeichen, Bindestriche und Unterstriche werden für Dateinamen empfohlen. Unangemessene Zeichen werden durch '_' ersetzt."
U,U
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Remaining Downloads","Übrige Downloads"
"View Order","Bestellung ansehen"
"Start Download","Download starten"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
download,Download
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
