ID,Identifiant
No,No
Yes,Yes
Username,"Nom d'utilisateur"
"Encryption Key","Encryption Key"
"Change Encryption Key","Modifier Clé de Chiffrement"
"New Encryption Key","Nouvelle Clé de Chiffrement"
"The encryption key is used to protect passwords and other sensitive data.","The encryption key is used to protect passwords and other sensitive data."
"Auto-generate a Key","Générer automatiquement une Clé"
"The generated key will be displayed after changing.","La clé générée apparaîtra après changement."
"New Key","Nouvelle Clé"
"To enable a key change this file must be writable: %1.","To enable a key change this file must be writable: %1."
"Please enter an encryption key.","Merci d'entrer une clé de chiffrement"
"The encryption key has been changed.","The encryption key has been changed."
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
"Not supported cipher version","Not supported cipher version"
"The encryption key format is invalid.","The encryption key format is invalid."
"File %1 is not writeable.","File %1 is not writeable."
"Encryption Key Change","Modification Clé de Chiffrement"
