ID,ID
No,No
Yes,Yes
Username,用户名
"Encryption Key","Encryption Key"
"Change Encryption Key",更改加密密钥
"New Encryption Key",新建加密密钥
"The encryption key is used to protect passwords and other sensitive data.","The encryption key is used to protect passwords and other sensitive data."
"Auto-generate a Key",自动生成密钥
"The generated key will be displayed after changing.",生成的密钥会在改动后显示。
"New Key",新密钥
"To enable a key change this file must be writable: %1.","To enable a key change this file must be writable: %1."
"Please enter an encryption key.",请输入加密密钥。
"The encryption key has been changed.","The encryption key has been changed."
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
"Not supported cipher version","Not supported cipher version"
"The encryption key format is invalid.","The encryption key format is invalid."
"File %1 is not writeable.","File %1 is not writeable."
"Encryption Key Change",加密密钥已更改
