Cancel,Annuler
From,De
To,A
OK,OK
"Gift Message","Message du cadeau"
Message,Message
"Unknown entity type","Type d'entité inconnu"
"Gift Options","Options de cadeau"
"Do you have any gift items in your order?","Avez-vous des messages cadeaux dans votre commande ?"
"Add gift options","Ajouter des options de cadeau"
"Gift Options for the Entire Order","Gift Options for the Entire Order"
"Add gift options for the Entire Order","Ajouter des options de cadeau pour l'ensemble de la commande"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
"Gift Options for Individual Items","Options de cadeau pour des objets individuels"
"Add gift options for Individual Items","Ajouter des options de cadeau pour des objets individuels"
"Item %1 of %2","Item %1 of %2"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"Gift Options for this address.","Options de cadeau pour cette adresse."
"You can leave this box blank if you do not wish to add a gift message for this address.","Vous pouvez laisser cette case vide si vous ne souhaitez pas ajouter de message cadeau pour cette adresse."
"You can leave this box blank if you do not wish to add a gift message for the item.","Vous pouvez laisser cette case vide si vous ne souhaitez pas ajouter de message cadeau pour cet objet."
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
