Constant,"Constant"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Conversion Id value is not valid ""%1"". Conversion Id should be an integer."
"Conversion Color","Conversion Color"
"Conversion Format","Conversion Format"
"Conversion ID","Conversion ID"
"Conversion Label","Conversion Label"
"Conversion Language","Conversion Language"
"Conversion Value","Conversion Value"
"Conversion Value Type","Conversion Value Type"
"Google AdWords","Google AdWords"
