"* Select shipping method","* Selecionar tipo de frete"
"2Day","2 dias"
"2nd Day Air","2º dia Aéreo"
"2nd Day Air AM","2º dia Aéreo manhã"
"3 Day Select","3 dias"
"<br />Warning: <strong>%s</strong><br />","<br />Aviso: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Aviso!</strong> Esta opção desativa o frete calculado pelo comerciante. Com esta opção, a API Google ignora qualquer tentativa de afetar valores do frete."
"A virtual item to reflect the discount total","Um item virtual para refletir o total de descontos"
"A virtual item to reflect the tax total","Um item virtual para refletir o total de impostos"
"AVS Status: %s","Estado Atual de AVS: %s"
"Add","Adicionar"
"Add Shipping Method","Adicionar Tipo de Frete"
"Allowed Methods","Métodos Permitidos"
"Amount: %s","Quantia: %s"
"Auto-generated from GoogleCheckout Charge","Autogerado a partir de Cobrança GoogleCheckout"
"Buyer Account Age: %s days","Idade da Conta do Comprador: %s dia(s)"
"CC Partial: xxxx-%s","CC (Parte): xxxx-%s"
"CID Status: %s","Estado Atual de CID: %s"
"Carrier Calculated Methods","Métodos Calculados pela Transportadora"
"Cart Discount","Desconto no Carrinho"
"Checkout Image Style","Estilo de Imagem do Encerramento de Pedido"
"Commercial","Comercial"
"Continue Shopping URL","URL para Continuar as Compras"
"Credit memo has been created automatically","O memorando de crédito foi criado automaticamente"
"Debug","Debug"
"Default Package Height (in)","Altura-Padrão do Pacote (pol.)"
"Default Package Length (in)","Comprimento-Padrão do Pacote (pol.)"
"Default Package Width (in)","Largura-Padrão do Pacote (pol.)"
"Default Price for Methods","Preço-padrão para Métodos"
"Default price:","Preço-padrão:"
"Delivery Address Category","Categoria do Endereço de Entrega"
"Delivery Schedule","Programação da Entrega"
"Description-based delivery","Entrega com base na descrição"
"Disable Default Tax Tables","Desabilitar Tabelas Padronizadas de Impostos"
"Discount Tax","Descontar Imposto"
"Eligible for Protection: %s","Adequado para Proteção: %s"
"Email delivery","Entrega de email"
"Enable","Ativar"
"Enable Carrier Calculated","Permitir Cálculo de Transporte"
"Enable Digital Delivery","Permitir Entrega Digital"
"Enable Flat Rate","Permitir Taxa Fixa"
"Enable Merchant Calculated","Permitir Cálculo Comercial"
