"-- Please Select --","-- 選択してください --"
"Account Registration","アカウント登録"
"All fields of script types have to be filled.","すべてのフィールドのスクリプトタイプを埋めてください。"
"Attributes","属性"
"Category View Optimization","カテゴリ表示最適化"
"Control Script","コントロールスクリプト"
"Conversion Page","コンバージョンページ"
"Conversion Page URL","コンバージョンページURL"
"Conversion Script","コンバージョンスクリプト"
"Enable","有効"
"Google Optimizer Scripts","Googleオプティマイザースクリプト"
"Google Website Optimizer","Googleウェブサイトオプティマイザー"
"Install Scripts","インストールスクリプト"
"Multi Address Checkout","マルチアドレスチェックアウト"
"One Page Checkout","ワンページチェックアウト"
"Order Success (Multi Address Checkout)","注文成功 (マルチアドレスチェックアウト)"
"Order Success (One Page Checkout)","注文成功 (ワンページチェックアウト)"
"Original Page","オリジナルページ"
"Other","その他"
"Page Type","ページタイプ"
"Page View Optimization","ページ表示最定期化"
"Please copy and paste this value to experiment edit form","この値を実験を行う編集フォームにコピー＆ペーストしてください"
"Please copy and paste this value to experiment edit form.","この値を実験を行う編集フォームにコピー＆ペーストしてください。"
"Please select store view to see the URL","URLを表示するストアビューを選択してください"
"Please select store view to see the URL.","URLを表示するストアビューを選択してください。"
"Product View Optimization","商品表示最適化"
"Scripts Install URL","スクリプトインストールURL"
"Shopping Cart","ショッピングカート"
"The limit is 8 attributes only.","8属性まで利用可能です。"
"Tracking Script","トラッキングスクリプト"
"Use Default","標準を使用"
"Use Default Values","標準の値を使用"
"Variant Page","別のページ"
