"-- Please Select --","- Por Favor Selecione -"
"Account Registration","Registro de Conta"
"All fields of script types have to be filled.","Todos os campos de tipos de script devem ser preenchidos."
"Attributes","Atributos"
"Category View Optimization","Otimização de Visualização de Categoria"
"Control Script","Controlar Script"
"Conversion Page","Página de Conversão"
"Conversion Page URL","URL de Página de Conversão"
"Conversion Script","Script de Conversão"
"Enable","Ativar"
"Google Optimizer Scripts","Scripts Otimizadores do Google"
"Google Website Optimizer","Otimizador de Website do Google"
"Install Scripts","Instalar Scripts"
"Multi Address Checkout","Verificação de Multi Endereço"
"One Page Checkout","Saída de Uma Página"
"Order Success (Multi Address Checkout)","Solicitação Bem-sucedida (Verificação de Multi Endereço)"
"Order Success (One Page Checkout)","Solicitação Bem-sucedida (Verificação de Uma Página)"
"Original Page","Página Original"
"Other","Outra"
"Page Type","Tipo de Página"
"Page View Optimization","Otimização de Visualização de Página"
"Please copy and paste this value to experiment edit form","Por favor, copie e cole esse valor para testar edição de formulário"
"Please copy and paste this value to experiment edit form.","Por favor, copie e cole esse valor para testar edição de formulário"
"Please select store view to see the URL","Por favor, selecione visualização da loja para ver a URL"
"Please select store view to see the URL.","Por favor, selecione visualização da loja para ver a URL."
"Product View Optimization","Otimização de Visualização do Produto"
"Scripts Install URL","URL para Instalação de Scripts"
"Shopping Cart","Carrinho de compras"
"The limit is 8 attributes only.","O limite é de somente 8 atributos."
"Tracking Script","Script de Rastreamento"
"Use Default","Utilizar padrão"
"Use Default Values","Usar Valores Padrões"
"Variant Page","Página Variante"
