"-- Please Select --","-- 请选择 --"
"Account Registration","账户注册"
"All fields of script types have to be filled.","脚本类型的所有字段都必须填写。"
"Attributes","属性"
"Category View Optimization","分类视图优化"
"Control Script","控制脚本"
"Conversion Page","转换页面"
"Conversion Page URL","转换页面 URL"
"Conversion Script","转换脚本"
"Enable","启用"
"Google Optimizer Scripts","Google 优化工具脚本"
"Google Website Optimizer","Google 网站优化工具"
"Install Scripts","安装脚本"
"Multi Address Checkout","多地址结账"
"One Page Checkout","单页面结账"
"Order Success (Multi Address Checkout)","订购成功（多地址结账）"
"Order Success (One Page Checkout)","订购成功（单页面结账）"
"Original Page","原始页面"
"Other","其它"
"Page Type","页面类型"
"Page View Optimization","页面视图优化"
"Please copy and paste this value to experiment edit form","请复制和粘贴该数值来试验编辑表单"
"Please copy and paste this value to experiment edit form.","请复制和粘贴该数值来试验编辑表单。"
"Please select store view to see the URL","请选择商店视图来查看 URL"
"Please select store view to see the URL.","请选择商店视图来查看 URL。"
"Product View Optimization","产品视图优化"
"Scripts Install URL","脚本安装 URL"
"Shopping Cart","购物车"
"The limit is 8 attributes only.","限制为 8 个属性。"
"Tracking Script","追踪脚本"
"Use Default","使用默认值"
"Use Default Values","使用默认值"
"Variant Page","变量页面"
