No,Nein
Action,Aktion
General,Allgemein
Yes,Ja
Status,Status
Description,Beschreibung
System,System
Never,Nie
Updated,Updated
"Index Management","Index Management"
"Save Process","Save Process"
"Reindex Data","Daten neu indexieren"
"'%1' Index Process Information","'%1' Index Process Information"
"Index Name","Index Name"
"Index Description","Index Beschreibung"
"Index Mode","Index Modus"
"Process Information","Informationen verarbeiten"
Index,Index
Mode,Modus
"Update Required","Update erforderlich"
"Change Index Mode","Index-Modus ändern"
"Index mode",Indexmodus
"Cannot initialize the indexer process.","Indexer-Verarbeitung konnte nicht initialisiert werden."
"The index has been saved.","Der Index wurde gespeichert."
"There was a problem with saving process.","Beim Speichern ist ein Problem aufgetreten."
"%1 index was rebuilt.","%1 index was rebuilt."
"There was a problem with reindexing process.","Bei der Verarbeitung der Reindexierung ist ein Problem aufgetreten."
"Please select Indexes","Bitte Indexe auswählen"
"Total of %1 index(es) have reindexed data.","Total of %1 index(es) have reindexed data."
"Please select Index(es)","Bitte Index(e) auswählen"
"Total of %1 index(es) have changed index mode.","Total of %1 index(es) have changed index mode."
"%1 Index process is not working now. Please try running this process later.","%1 Index process is not working now. Please try running this process later."
"Indexer name is not defined.","Indexer name is not defined."
"Indexer model is not defined.","Indexer-Vorlage nicht definiert."
"Indexer model should extend \Magento\Index\Model\Indexer\Abstract.","Indexer model should extend \Magento\Index\Model\Indexer\Abstract."
"Update on Save","Aktualisierung gespeichert."
"Manual Update","Manuelle Aktualisierung"
Ready,Fertig
Processing,"Verarbeitung läuft"
"Reindex Required","Neuindexierung erforderlich"
"One or more of the Indexes are not up to date: %1","One or more of the Indexes are not up to date: %1"
"Please go to <a href=""%1"">Index Management</a> and rebuild required indexes.","Please go to <a href=""%1"">Index Management</a> and rebuild required indexes."
