No,Nee
Action,Actie
General,Algemeen
Yes,Ja
Status,Status
Description,Beschrijving
System,Systeem
Never,Nooit
Updated,Updated
"Index Management","Index Management"
"Save Process","Save Process"
"Reindex Data","Data herindexeren"
"'%1' Index Process Information","'%1' Index Process Information"
"Index Name","Index Naam"
"Index Description","Index Omschrijving"
"Index Mode","Index Modus"
"Process Information",Procesinformatie
Index,Index
Mode,Modus
"Update Required","Update is Nodig"
"Change Index Mode","Change Index Modus"
"Index mode","Index modus"
"Cannot initialize the indexer process.","Kan het indexeerproces niet initialiseren."
"The index has been saved.","De index is opgeslagen."
"There was a problem with saving process.","Er is een probleem bij het opslaan."
"%1 index was rebuilt.","%1 index was rebuilt."
"There was a problem with reindexing process.","Er was een probleem met het herindexeren."
"Please select Indexes","Selecteer indexen"
"Total of %1 index(es) have reindexed data.","Total of %1 index(es) have reindexed data."
"Please select Index(es)","Selecteer index(en)"
"Total of %1 index(es) have changed index mode.","Total of %1 index(es) have changed index mode."
"%1 Index process is not working now. Please try running this process later.","%1 Index process is not working now. Please try running this process later."
"Indexer name is not defined.","Indexer name is not defined."
"Indexer model is not defined.","Indexeermodel is niet gedefinieerd."
"Indexer model should extend \Magento\Index\Model\Indexer\Abstract.","Indexer model should extend \Magento\Index\Model\Indexer\Abstract."
"Update on Save","Update bij opslaan."
"Manual Update","Handmatige Update"
Ready,Gereed
Processing,"Aan het verwerken"
"Reindex Required","Herindexering noodzakelijk"
"One or more of the Indexes are not up to date: %1","One or more of the Indexes are not up to date: %1"
"Please go to <a href=""%1"">Index Management</a> and rebuild required indexes.","Please go to <a href=""%1"">Index Management</a> and rebuild required indexes."
