"User Name",Benutzername
"First Name",Vorname
"Last Name",Nachname
Email,E-Mail
"Password Confirmation",Passwortbestätigung
Configuration,Konfiguration
"File System",Dateisystem
Database,Datenbank
Welcome,Wilkommen
"Personal Information","Persönliche Informationen"
"User Password",Benutzerpasswort
"Email Address",E-Mail-Adresse
Password,Passwort
"Confirm Password","Passwort bestätigen"
Continue,Fortsetzen
Download,Download
"Login Information","Login Informationen"
"Required Fields",Pflichtfelder
"Save Session Files In","Sessiondateien speichern in"
Locale,Sprachumgebung
"Time Zone",Zeitzone
"Default Currency",Standardwährung
Validation,Validierung
"Magento Connect Manager Deployment","Magento Verbindungsmanagerentwicklung"
"Downloading and installing Magento, please wait...","Magento wird heruntergeladen und installiert, bitte warten..."
"Setting preferred state to: %1","Setting preferred state to: %1"
"The URL ""%1"" is not accessible.","The URL ""%1"" is not accessible."
"The URL ""%1"" is invalid.","The URL ""%1"" is invalid."
"Response from the server is invalid.","Response from the server is invalid."
"PHP Extensions ""%1"" must be loaded.","PHP Extensions ""%1"" must be loaded."
"The database server version doesn't match system requirements (required: %1, actual: %2).","The database server version doesn't match system requirements (required: %1, actual: %2)."
"Database server does not support the InnoDB storage engine.","Der Datenbankserver unterstützt die InnoDB Storage-Engine nicht."
"Something went wrong while connecting to the database.","Something went wrong while connecting to the database."
"The Database Name field cannot be empty.","The Database Name field cannot be empty."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter.","The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter."
"Path ""%1"" must be writable.","Path ""%1"" must be writable."
"Welcome to Magento's Installation Wizard","Wilkommen zum Magento Installationsassistenten"
"I agree to the above terms and conditions.","Ich stimme den allgemeinen Geschäftsbedingungen zu."
"Web access options","Optionen für Webzugang"
"Base URL","Base URL"
"Admin Path","Admin Pfad"
"This is the additional path used after your base URL to access your store Admin (e.g, Admin).","This is the additional path used after your base URL to access your store Admin (e.g, Admin)."
"Enable Charts","Tabellen aktivieren"
"Enable this option if you want to see the charts on your dashboard.","Enable this option if you want to see the charts on your dashboard."
"Skip Base URL Validation Before the Next Step","Base URL Validierung vor dem nächsten Schritt überspringen"
"Check this box only if it is not possible to automatically validate the Base URL.","Wählen Sie diese Box nur an, wenn es nicht möglich ist, die Base URL automatisch zu validieren."
"Use Web Server (Apache) Rewrites","Webserver (Apache) Rewrites verwenden"
"You could enable this option to use web server rewrites functionality for improved Search Engine Optimization.","You could enable this option to use web server rewrites functionality for improved Search Engine Optimization."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Bitte gehen Sie sicher, dass <code>mod_rewrite</code> in der Apache Konfiguration aktiviert ist."
"Use Secure URLs (SSL)","Secure URLs (SSL) verwenden"
"Enable this option only if you have SSL available.","Aktivieren Sie diese Option nur, wenn Sie über SSL verfügen."
"Secure Base URL","Secure Base URL"
"Provide a complete base URL for SSL connection. For example: %1.","Provide a complete base URL for SSL connection. For example: %1."
"Run admin interface with SSL","Admininterface mit SSL ausführen"
"Skip Secure URL validation before next step","Base URL Validierung vor nächsten Schritt überspringen"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Wählen Sie diese Box nur an, wenn es nicht möglich ist, die Secure URL automatisch zu validieren, wie zum Beispiel wenn eine HTTP Authentifizierung erforderlich ist."
"Session Storage Options","Session Storage Optionen"
"Save Session Data In","Sessiondaten speichern in"
"Please set all required settings before clicking ""Continue"".","Please set all required settings before clicking ""Continue""."
"Create Admin Account","Adminkonto erstellen"
Username,Benutzername
"Encryption Key",Kodierungsschlüssel
"Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page."
Connection,Verbindung
"Database Connection",Datenbankverbindung
"Database Type",Datenbanktyp
Host,Host
"Database host",Datenbankhost
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Sie können den Server-Port spezifizieren, Ex.: Lokalhost:3307<br />Wenn Sie nicht den Standard-UNIX-Anschluss verwenden, können Sie dies hier anstelle des Host spezifizieren, Ex.: /var/run/mysqld/mysqld.sock"
"Database Name",Datenbankname
"Database user name","Datenbank Benutzername"
"Database user password","Datebank Benutzerpasswort"
"Tables Prefix",Tabellenpräfix
"(Optional. Leave blank for no prefix)","(Optional. Lassen Sie es aus, wenn sie kein Präfix brauchen)"
"All packages were installed. Click 'OK' to continue with installation.","All packages were installed. Click 'OK' to continue with installation."
"Something went wrong installing the Magento packages. Please read the log, correct any errors and try again.","Something went wrong installing the Magento packages. Please read the log, correct any errors and try again."
"As another option, you could try the ""Manual Downloads and Upgrades"" method.","As another option, you could try the ""Manual Downloads and Upgrades"" method."
"Download Magento Core Modules and Updates","Magento Core Modules und Updates herunterladen"
"Full Download / SVN Installation","Volles Download / SVN Installation"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Falls Sie das volle Package heruntergeladen oder Magento über SVN installiert haben, überspringen Sie Packageinstallation und Validierung indem Sie den untenstehenden Button klicken."
"Continue Full Download / SVN Installation","Vollen Download / SVN Installation fortfahren"
"Package Management through the Web","Packageverwaltung durch das Web"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Falls Sie es wünschen Mangeto Packages durch das Web Admin Interface zu verwalten, müssen Sie webschreibbare Erlaubnis auf alle Magento Ordner und Dateien anwenden."
"If your server is running on MS Windows, most probably you will not need to change anything.","Falls Ihr Server auf MS Windows läuft, müssen Sie höchstwahrscheinlich nichts ändern."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Falls Sie PHP als GCI benützen, könnten Ihre PHP Prozesse under dem selben User ausgeführt werden, der genutzt wurde um Magentodateien hochzuladen."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In anderen Fällen, müssen Sie Magento Dateien schreibbar für User, unter dem der Webserverprozess läuft, machen."
"Preferred stability: %1","Preferred stability: %1"
"This is the most stable state available for Magento packages.","This is the most stable state available for Magento packages."
"Choose this if you would like to test storefront and admin functionality.","Choose this if you would like to test storefront and admin functionality."
"Proceed With Automatic Download (%1)","Proceed With Automatic Download (%1)"
"If you are a developer and would like to have the latest public updates, choose this option.","Wenn Sie Entwickler sind und gerne die neusten öffentlichen Updates erhalten wollen, wählen Sie diese Option."
"Please note that it is much less stable than beta.","Bitte beachten Sie, dass es viel weniger stabil als beta ist."
"Manual Downloads and Upgrades","Manuelle Downloads und Upgrades"
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Falls Sie den Installationsassistenten über eine vorher heruntergeladene und installierte Magentoinstallation laufen lassen wollen, fahren Sie mit dieser Method fort."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Falls Sie es nicht wünschen oder nicht in der Lage sind, Magento Ordner schreibbar für Webprozessierung zu machen, können Sie PEAR verwenden, welches im Rootverzeichnis der Magentoinstallation zu finden ist."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%1' option.","Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%1' option."
"Run this in your shell from Magento root folder:","Führen Sie dies in Ihrer Shell aus dem Magento Rootordner aus:"
"Click the button below when the installation is finished.","Click the button below when the installation is finished."
"Continue After Manual Download","Nach manuellem Download fortfahren"
"You're All Set","Sie sind bereit"
"Get ready to experience Open-Source eCommerce Evolved.","Machen Sie sich bereit, Open-Source eCommerce Evolved zu erleben."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Bevor Sie zu Ihrem Shop gehen, bitte beachten Sie Ihren Kodierungsschlüssel. (Magento verwendet ihn um Passwörter, Kreditkarten und mehr zu verschlüsseln)."
"(Make sure you keep it in a safe place.)","(Bitte bewahren Sie es sicher auf.)"
"Go to Frontend","Zum Frontend gehen"
"Go to Backend","Zum Backend gehen"
Localization,Lokalisierung
"Locale settings",Spracheinstellungen
"Magento Installation Wizard","Magento Installationsassistent"
Magento,Magento
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Alle Bugs Melden"
"(ver. %1)","(ver. %1)"
Installation,Installation
"Having trouble installing Magento?","Probleme bei der Installation von Magento?"
"Check out our","Probieren Sie unser"
"Installation Guide",Installationsanleitung
"License Agreement",Linzenvereinbarung
"You're All Set!","Sie sind bereit!"
