"User Name","Nombre de Usuario"
"First Name",Nombre
"Last Name",Apellido
Email,"Correo electrónico"
"Password Confirmation","Confirmación de contraseña"
Configuration,Configuración
"File System","Sistema de archivos"
Database,"Base de datos"
Welcome,Bienvenido
"Personal Information","Información Personal"
"User Password","Contraseña de Usuario"
"Email Address","Dirección de email"
Password,Contraseña
"Confirm Password","Confirma Contraseña"
Continue,Continuar
Download,Descargar
"Login Information","Información de registro"
"Required Fields","Campos obligatorios"
"Save Session Files In","Guardar archivos de sesión en"
Locale,"Configuración regional"
"Time Zone","Zona Horaria"
"Default Currency","Moneda predeterminada"
Validation,Validación
"Magento Connect Manager Deployment","Implementación del administrador de conexión de Magento"
"Downloading and installing Magento, please wait...","Descargando e instalando Magento. Espere, por favor."
"Setting preferred state to: %1","Setting preferred state to: %1"
"The URL ""%1"" is not accessible.","The URL ""%1"" is not accessible."
"The URL ""%1"" is invalid.","The URL ""%1"" is invalid."
"Response from the server is invalid.","Response from the server is invalid."
"PHP Extensions ""%1"" must be loaded.","PHP Extensions ""%1"" must be loaded."
"The database server version doesn't match system requirements (required: %1, actual: %2).","The database server version doesn't match system requirements (required: %1, actual: %2)."
"Database server does not support the InnoDB storage engine.","El servidor de la base de datos no es compatible el motor de almacenamiento InnoDB."
"Something went wrong while connecting to the database.","Something went wrong while connecting to the database."
"The Database Name field cannot be empty.","The Database Name field cannot be empty."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter.","The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter."
"Path ""%1"" must be writable.","Path ""%1"" must be writable."
"Welcome to Magento's Installation Wizard","Bienvenido al asistente de instalación de Magento"
"I agree to the above terms and conditions.","Estoy de acuerdo con los términos y las condiciones que se establecen más arriba."
"Web access options","Opciones de acceso web"
"Base URL","Dirección URL básica"
"Admin Path","Ruta de administración"
"This is the additional path used after your base URL to access your store Admin (e.g, Admin).","This is the additional path used after your base URL to access your store Admin (e.g, Admin)."
"Enable Charts","Activar gráficos"
"Enable this option if you want to see the charts on your dashboard.","Enable this option if you want to see the charts on your dashboard."
"Skip Base URL Validation Before the Next Step","Saltar validación de URL base antes del próximo paso"
"Check this box only if it is not possible to automatically validate the Base URL.","Marque esta casilla sólo si no es posible validar automáticamente la dirección URL básica."
"Use Web Server (Apache) Rewrites","Use reescritura de servidor (Apache)"
"You could enable this option to use web server rewrites functionality for improved Search Engine Optimization.","You could enable this option to use web server rewrites functionality for improved Search Engine Optimization."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor asegúrese de que <code>mod_rewrite</code> está activado en la configuración de Apache."
"Use Secure URLs (SSL)","URLs segura (SSL) de usuario"
"Enable this option only if you have SSL available.","Active esta opción sólo si tiene SSL disponible."
"Secure Base URL","URL base segura"
"Provide a complete base URL for SSL connection. For example: %1.","Provide a complete base URL for SSL connection. For example: %1."
"Run admin interface with SSL","Ejecutar la interfaz de administración con SSL"
"Skip Secure URL validation before next step","Saltar validación de URL segura antes del próximo paso"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque esta casilla sólo si no es posible validar automáticamente las direcciones URL seguras, por ejemplo, si se necesita autenticación HTTP."
"Session Storage Options","Opciones de almacenaje de sesión"
"Save Session Data In","Guardar datos de sesión en"
"Please set all required settings before clicking ""Continue"".","Please set all required settings before clicking ""Continue""."
"Create Admin Account","Crear cuenta de administración"
Username,"Nombre de usuario"
"Encryption Key","Clave de cifrado"
