"User Name","Nom d'utilisateur"
"First Name",Prénom
"Last Name",Nom
Email,Email
"Password Confirmation","Confirmation du mot de passe"
Configuration,Configuration
"File System","Système de fichiers"
Database,"Base de données"
Welcome,Bienvenue
"Personal Information","Information personnelle"
"User Password","Mot de passe utilisateur"
"Email Address","Adresse email"
Password,"Mot de passe"
"Confirm Password","Confirmez le mot de passe"
Continue,Continuer
Download,Téléchargement
"Login Information","Information de connexion"
"Required Fields","Champs requis"
"Save Session Files In","Enregistrer les fichiers de la session dans"
Locale,"Paramètres régionaux"
"Time Zone","Fuseau horaire"
"Default Currency","Monnaie par défaut"
Validation,Validation
"Magento Connect Manager Deployment","Déploiement du Magento Connect Manager"
"Downloading and installing Magento, please wait...","Téléchargement et installation de Magento, veuillez patienter ..."
"Setting preferred state to: %1","Setting preferred state to: %1"
"The URL ""%1"" is not accessible.","The URL ""%1"" is not accessible."
"The URL ""%1"" is invalid.","The URL ""%1"" is invalid."
"Response from the server is invalid.","Response from the server is invalid."
"PHP Extensions ""%1"" must be loaded.","PHP Extensions ""%1"" must be loaded."
"The database server version doesn't match system requirements (required: %1, actual: %2).","The database server version doesn't match system requirements (required: %1, actual: %2)."
"Database server does not support the InnoDB storage engine.","Le serveur de base de données ne prend pas en charge le moteur de stockage InnoDB."
"Something went wrong while connecting to the database.","Something went wrong while connecting to the database."
"The Database Name field cannot be empty.","The Database Name field cannot be empty."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter.","The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter."
"Path ""%1"" must be writable.","Path ""%1"" must be writable."
"Welcome to Magento's Installation Wizard","Bienvenue dans l'assistant d'installation Magento"
"I agree to the above terms and conditions.","Je suis d'accord avec les conditions d'utilisations."
"Web access options","Options d'accès Internet"
"Base URL","URL de base"
"Admin Path","Répertoire administrateur"
"This is the additional path used after your base URL to access your store Admin (e.g, Admin).","This is the additional path used after your base URL to access your store Admin (e.g, Admin)."
"Enable Charts","Activer les graphiques"
"Enable this option if you want to see the charts on your dashboard.","Enable this option if you want to see the charts on your dashboard."
"Skip Base URL Validation Before the Next Step","Sauter la validation de l'URL de base avant l'étape suivante."
"Check this box only if it is not possible to automatically validate the Base URL.","Cochez cette case uniquement s'il n'est pas possible de valider automatiquement l'URL de base."
"Use Web Server (Apache) Rewrites","Utiliser les réécritures du serveur web (Apache)"
"You could enable this option to use web server rewrites functionality for improved Search Engine Optimization.","You could enable this option to use web server rewrites functionality for improved Search Engine Optimization."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Veuillez vous assurer que <code>mod_rewrite</code> est activé dans la configuration Apache."
"Use Secure URLs (SSL)","Utiliser des URLs sécurisées (SSL)"
"Enable this option only if you have SSL available.","Choisissez cette option si seul le SSL est disponible."
"Secure Base URL","Base d'url sécurisée"
"Provide a complete base URL for SSL connection. For example: %1.","Provide a complete base URL for SSL connection. For example: %1."
"Run admin interface with SSL","Exécuter l'interface admin avec SSL"
"Skip Secure URL validation before next step","Passer la validation d'URL sécurisée avant la prochaine étape"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Cochez cette case uniquement s'il n'est pas possible de valider automatiquement l'URL sécurisée, par exemple si une authentification HTTP est nécessaire."
"Session Storage Options","Option de stockage de la session"
"Save Session Data In","Enregistrer les données de la session dans"
"Please set all required settings before clicking ""Continue"".","Please set all required settings before clicking ""Continue""."
"Create Admin Account","Créer un compte administrateur"
Username,"Nom d'utilisateur"
"Encryption Key","Clé d'encryptage"
"Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page."
Connection,Connexion
"Database Connection","Connexion à la base de données"
"Database Type","Type de base de données"
Host,Hôte
"Database host","Hébergeur de la base de données"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Vous pouvez spécifier un port de serveur, par exemple : localhost:3307<br />Si vous n'utilisez pas de socket UNIX par défaut, vous pouvez le préciser ici à la place de l'hôte, par exemple : /var/run/mysqld/mysqld.sock"
"Database Name","Nom de la base de données"
"Database user name","Nom d'utilisateur de la base de données"
"Database user password","Mot de passe utilisateur de la base de données"
"Tables Prefix","Préfixe de tables"
"(Optional. Leave blank for no prefix)","(Optionnel. Laissez vide s'il n'y a pas de préfixe)"
"All packages were installed. Click 'OK' to continue with installation.","All packages were installed. Click 'OK' to continue with installation."
"Something went wrong installing the Magento packages. Please read the log, correct any errors and try again.","Something went wrong installing the Magento packages. Please read the log, correct any errors and try again."
"As another option, you could try the ""Manual Downloads and Upgrades"" method.","As another option, you could try the ""Manual Downloads and Upgrades"" method."
"Download Magento Core Modules and Updates","Télécharger les modules de base de Magento ainsi que les mises à jour"
"Full Download / SVN Installation","Téléchargement complet / Installation d'SVN"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Si vous avez installé l'ensemble des logiciels ou installé Magento via SVN, vous devriez sauter l'installation et la validation des librairies en cliquant le bouton ci-dessous."
"Continue Full Download / SVN Installation","Continuer le téléchargement complet / l'installation d'SVN"
"Package Management through the Web","Gestion de paquet via le web"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Si vous souhaitez gérer les fichiers de Magento via l'interface web, vous aurez besoin d'avoir les permissions d'écritures web appliquées à tous les dossiers et fichiers Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Si votre serveur utilise MS Windows, vous n'aurez probablement pas besoin de changer quoique ce soit."
