Synchronize,Synchronize
"Synchronizing %1 to %2","Synchronizing %1 to %2"
Synchronizing...,Synchronizing...
"The timeout limit for response from synchronize process was reached.","The timeout limit for response from synchronize process was reached."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","File %1 is not readable"
"File System","File System"
Database,Database
"database ""%1""","database ""%1"""
"Parent directory does not exist: %1","Parent directory does not exist: %1"
"File system","File system"
"Unable to save file ""%1"" at ""%2""","Unable to save file ""%1"" at ""%2"""
"Wrong file info format","Wrong file info format"
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"Unable to create directory: %1","Unable to create directory: %1"
"Unable to save file: %1","Unable to save file: %1"
"Storage Configuration for Media","Storage Configuration for Media"
"Media Storage","Media Storage"
"Select Media Database","Select Media Database"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Environment Update Time"
