"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' が長すぎます。 %min% 文字以下でなければいけません。"
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' が短すぎます。 %min% 文字以上でなければいけません。"
"* Required Fields","* 必須項目"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> があなたのアカウントにアクセスを要求しています。"
"Admin","管理者"
"After authorization application will have access to you account.","認証後、アプリケーションはあなたのアカウントにアクセスします。"
"An error occurred on confirm authorize.","認証確認中にエラーが発生しました。"
"An error occurred on delete action.","削除アクション中にエラーが発生しました。"
"An error occurred on delete application.","アプリケーションの削除中にエラーが発生しました。"
"An error occurred on reject authorize.","認証の拒否中にエラーが発生しました。"
"An error occurred on saving consumer data.","顧客データの保存中にエラーが発生しました。"
"An error occurred on update revoke status.","ステータスの無効化中にエラーが発生しました。"
"An error occurred while deleting the consumer.","顧客の削除中にエラーが発生しました。"
"An error occurred.","エラーが発生しました。"
"An error occurred. Your authorization request is invalid.","エラーが発生しました。あなたの認証リクエストは不正です。"
"App Name","アプリケーション名"
"Application ""%s"" has been deleted.","アプリケーション ""%s"" を削除しました。"
"Application ""%s"" has been enabled.","アプリケーション ""%s"" を有効にしました。"
"Application ""%s"" has been revoked.","アプリケーション ""%s"" を無効にしました。"
"Application Name","アプリケーション名"
"Application not found.","アプリケーションが見つかりません。"
"Are you sure you want to delete this application?","このアプリケーションを削除してもよろしいですか？"
"Are you sure you want to disable this application?","このアプリケーションを無効にしてもよろしいですか？"
"Are you sure you want to enable this application?","このアプリケーションを有効にしてもよろしいですか？"
"Authorization confirmed","認証確認済"
"Authorization confirmed.","認証確認済。"
"Authorize","認証"
"Authorize application","アプリケーションを認証"
"Authorized Tokens","認証済トークン"
"Callback URL","コールバックURL"
"Cleanup Probability","クリーンアップ頻度"
"Cleanup Settings","クリーンアップ設定"
"Close","閉じる"
"Confirm OAuth token authorization","OAuth認証トークンを確認"
"Confirm token authorization Pop Up for admin","管理者向け認証トークン確認ポップアップ"
"Confirm token authorization for admin","管理者向け認証トークン確認"
"Confirmation Of Authorization","認証の確認"
"Consumer Information","コンシューマ情報"
"Consumer Name","コンシューマ名"
"Consumers","コンシューマ"
"Created At","作成日"
"Customer","顧客"
"Customer My Account My OAuth Applications","顧客マイアカウント マイOAuthアプリケーション"
"Delete","削除"
"Disable","無効"
"Disabled","無効"
"Edit","編集"
"Edit Consumer","コンシューマを編集"
"Email","メール"
"Email Address","メールアドレス"
"Enable","有効"
"Enabled","有効"
"Entry with ID #%s not found.","ID #%s のエントリが見つかりません。"
"Expiration Period","有効期限"
"Give the verifier code to application administrator","アプリケーション管理者に確認コードを与える"
"ID","ID"
"Invalid Callback URL","不正なコールバックURL"
"Invalid ID parameter.","不正なIDパラメータ。"
"Invalid Rejected Callback URL","不正な拒否されたコールバックURL"
"Invalid entry ID.","不正なエントリID。"
"Invalid revoke status.","不正な無効ステータス。"
"Key","キー"
"Log In","ログイン"
"Log in as a customer","顧客としてログイン"
"Log in as admin","管理者としてログイン"
"Log in as customer","顧客としてログイン"
"Log in to use <strong>%s</strong>","<strong>%s</strong>を使用してログイン"
"Login","ログイン"
"My Applications","マイアプリケーション"
"Name","名前"
"New Consumer","新規顧客"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth 管理者マイアプリ"
"OAuth Authorized Tokens","OAuth 認証済トークン"
"OAuth Consumers","OAuth コンシューマ"
"OAuth authorization Pop Up for customer","顧客用OAuth認証ポップアップ"
"OAuth authorization for admin","管理者用OAuth認証"
"OAuth authorization for customer","顧客用OAuth認証"
"OAuth authorization simple for admin","管理者用シンプルOAuth認証"
"Password","パスワード"
"Permissions","権限"
"Please login to proceed authorization.","認証を続けるにはログインしてください。"
"Please select needed row(s).","必要な行を選択してください。"
"Please select revoke status.","取り消したいステータスを選択してください・"
"REST - My Apps","REST - マイアプリ"
"REST - OAuth Authorized Tokens","REST - OAuth認証トークン"
"REST - OAuth Consumers","REST - OAuthコンシューマ"
"Reject","取消"
"Reject OAuth token authorization","OAuthトークン認証を取消す"
"Reject authorization","認証取消"
"Reject token authorization Pop Up for admin","管理者用認証トークンポップアップ拒否"
"Reject token authorization for admin","管理者用認証トークン拒否"
"Rejected Callback URL","コールバックURL拒否"
"Rejection Of Authorization","認証の拒否"
"Revoked","取消"
"Role Name","権限名"
"Save","保存"
"Save and Continue Edit","保存して編集を続ける"
"Secret","シークレット"
"Selected entries enabled.","選択したエントリは有効です。"
"Selected entries has been deleted.","選択したエントリは削除されています。"
"Selected entries revoked.","選択したエントリは取り消されています。"
"Status","ステータス"
"System","システム"
"The application access request is rejected.","アプリケーションアクセスリクエストは拒否されます。"
"The consumer has been deleted.","顧客を削除されました。"
"The consumer has been saved.","顧客を保存しました。"
"Token Status Change","トークンステータス変更"
"Token Status Change Email Template","トークンステータスメールテンプレート"
"Unable to find a consumer.","コンシューマが見つかりません。"
"User ID","ユーザーID"
"User Name","ユーザー名"
"User Type","ユーザー種別"
"Verifier code: %s","確認コード: %s"
"You have no applications.","アプリケーションがありません。"
"deleted","削除済"
"enabled","有効済"
"revoked","取消済"
