"%s Item(s)","%s Item(s)"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magentoデモストア. All Rights Reserved."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magentoデモストア. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shiftキーを押しながら)クリックまたはドラッグして値を変更してください"
"(ver. %s)","(バージョン. %s)"
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加"
"- Hold mouse button on any of the above buttons for faster selection.","- マウスのボタンを押したままにすることでより早く選択が可能です。"
"- Use the %s buttons to select month","- %sボタンで月を選択"
"- Use the %s, %s buttons to select year","- %sと%sボタンで年を選択"
"- or Shift-click to decrease it","- Shiftを押しながらクリックして減らします"
"- or click and drag for faster selection.","- またはクリックアンドドラッグでより迅速な選択が可能です。"
"-- Please Select --","-- 選択してください --"
"1 column","1カラム"
"2 columns with left bar","2カラム左ナビ付き"
"2 columns with right bar","2カラム右ナビ付き"
"3 columns","3カラム"
"About the calendar","カレンダーについて"
"All Empty Layout Pages","全ての空白レイアウトページ"
"All One-Column Layout Pages","全ての1カラムレイアウトページ"
"All Pages","全てのページ"
"All Pages (Print Version)","全てのページ (印刷バージョン)"
"All Three-Column Layout Pages","全ての3カラムレイアウトページ"
"All Two-Column Layout Pages (Left Column)","全ての2カラムレイアウトページ (左カラム)"
"All Two-Column Layout Pages (Right Column)","全ての2カラムレイアウトページ (右カラム)"
"Allow","Allow"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","もし何も起こらない場合は <a href=""%s"">ここをクリック</a>してください。"
"Close","閉じる"
"Close Window","ウインドウを閉じる"
"DHTML Date/Time Selector","DHTMLの日付/時間セレクタ"
"Date selection:","日付選択:"
"Default Description","標準の説明"
"Default welcome msg!","標準のウェルカムメッセージ!"
"Display %s first","%sを最初に表示"
"Distributed under GNU LGPL. See %s for details.","GNU LGPLライセンスのもとで配布されています。詳細は%sを見てください。"
"Drag to move","ドラッグして移動"
"Empty","空"
"For latest version visit: %s","最新のバージョンへ: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","今日へ"
"Help Us to Keep Magento Healthy","Magentoを安全に保つためにご協力ください"
"Interface Language","言語"
"Items %s to %s of %s total","%s件～%s件 (全%s件)"
"JavaScript seems to be disabled in your browser.","JavaScriptがお使いのブラウザで無効になっているようです。"
"Left Column","左カラム"
"Main Content Area","メインコンテンツエリア"
"Navigation Bar","ナビゲーションバー"
"Next","次"
"Next month (hold for menu)","次月"
"Next year (hold for menu)","次年"
"Page Bottom","ページ下部"
"Page Footer","ページフッター"
"Page Header","ページヘッダー"
"Page Top","ページ上部"
"Page:","ページ:"
"Prev. month (hold for menu)","前月(メニューに適用)"
"Prev. year (hold for menu)","前年 (メニューに適用)"
"Previous","前へ"
"Redirecting...","リダイレクトしています。"
"Report All Bugs","バグを報告する"
"Right Column","右カラム"
"Select Store","ストア選択"
"Select Store:","店舗を選択してください:"
"Select date","日付を選択"
"Show","表示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモストアです。このサイトでご注文いただいても請求されることはありません。"
"This website requires cookies provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","このウェブサイトはすべての機能をご利用いただくためにCookieを有効にしていただく必要があります。当ウェブサイトで使用しているCookieの情報についての詳しいご説明については、<a href=""%s"">プライバシーポリシー</a> をご覧ください。このサイトからのCookieを許可するには以下のボタンをクリックしてください。"
"Time selection:","時間指定:"
"Time:","時間:"
"Welcome, %s!","ようこそ、%s様!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","このサイトをご覧いただくにはJavaScriptを有効にしていただく必要があります。"
"Your Language","あなたの言語"
"Your Language:","あなたの言語:"
"per page","件表示"
