"We cannot retrieve the payment method model object.","We cannot retrieve the payment method model object."
Month,Month
Year,Year
"We cannot retrieve the payment info model object.","We cannot retrieve the payment info model object."
N/A,N/A
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Date"
"We cannot retrieve the transparent payment method model object.","We cannot retrieve the transparent payment method model object."
"Command Executor for %1 is not defined.","Command Executor for %1 is not defined."
"Command %1 does not exist.","Command %1 does not exist."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Wrong gateway response format.","Wrong gateway response format."
"Validator for field %1 does not exist.","Validator for field %1 does not exist."
Discount,Discount
Shipping,Shipping
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"We cannot retrieve the payment method code.","We cannot retrieve the payment method code."
"We cannot retrieve the payment information object instance.","We cannot retrieve the payment information object instance."
"You can't use the payment type you selected to make payments to the billing country.","You can't use the payment type you selected to make payments to the billing country."
"The order action is not available.","The order action is not available."
"The authorize action is not available.","The authorize action is not available."
"The capture action is not available.","The capture action is not available."
"The refund action is not available.","The refund action is not available."
"The void action is not available.","The void action is not available."
"The payment review action is unavailable.","The payment review action is unavailable."
"The credit card number doesn't match the credit card type.","The credit card number doesn't match the credit card type."
"Invalid Credit Card Number","Invalid Credit Card Number"
"This credit card type is not allowed for this payment method.","This credit card type is not allowed for this payment method."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter a valid credit card expiration date.","Please enter a valid credit card expiration date."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 class doesn't implement \Magento\Payment\Model\MethodInterface"
Yes,Yes
No,No
"Failure #1","Failure #1"
"Failure #2","Failure #2"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
" is not available. You still can process offline actions."," is not available. You still can process offline actions."
"Please Select","Please Select"
"We'll ask for your payment details before you place an order.","We'll ask for your payment details before you place an order."
"--Please Select--","--Please Select--"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"What is this?","What is this?"
"Credit Card Information","Credit Card Information"
"Place Order","Place Order"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Please enter a valid credit card type number.","Please enter a valid credit card type number."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Incorrect credit card expiration month.","Incorrect credit card expiration month."
"Incorrect credit card expiration year.","Incorrect credit card expiration year."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Payment Methods Section","Payment Methods Section"
"Payment Services","Payment Services"
"Payment Methods","Payment Methods"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
