No,No
Discount,Discount
"Credit Card Type",信用卡类型
"Credit Card Number",信用卡号码
"Expiration Date",过期日期
"Card Verification Number",卡片验证号码
"--Please Select--","-- 请选择 --"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"What is this?",这是什么？
Shipping,Shipping
Yes,Yes
N/A,N/A
Month,月
Year,年
"Start Date",开始日期
"We cannot retrieve the payment method model object.","We cannot retrieve the payment method model object."
"We cannot retrieve the payment info model object.","We cannot retrieve the payment info model object."
"Switch/Solo/Maestro Issue Number",Switch/Solo/Maestro卡号
"Switch/Solo/Maestro Start Date",Switch/Solo/Maestro开始日期
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"We cannot retrieve the payment method code.","We cannot retrieve the payment method code."
"We cannot retrieve the payment information object instance.","We cannot retrieve the payment information object instance."
"You can't use the payment type you selected to make payments to the billing country.","You can't use the payment type you selected to make payments to the billing country."
"The order action is not available.","The order action is not available."
"The authorize action is not available.","The authorize action is not available."
"The capture action is not available.","The capture action is not available."
"The refund action is not available.","The refund action is not available."
"Void action is not available.",空操作不可用。
"The payment review action is unavailable.",支付审查操作不可用。
"Credit card number mismatch with credit card type.",信用卡号与信用卡类型不匹配。
"Invalid Credit Card Number",信用卡号无效
"Credit card type is not allowed for this payment method.",信用卡类型无法用于此支付方法。
"Please enter a valid credit card verification number.",请输入有效的信用卡验证码。
"We found an incorrect credit card expiration date.","We found an incorrect credit card expiration date."
"Switch/Solo/Maestro Only","仅限 Switch/Solo/Maestro"
"Issue Number",问题编号
" is not available. You still can process offline actions."," is not available. You still can process offline actions."
"Payment Methods","Payment Methods"
