"-OR-","-または-"
"2-pixel perimeter around the header space.","ヘッダスペース周囲の2ピクセルの境界"
"3D Secure","3Dセキュア"
"3D Secure Card Validation","3Dセキュアカード認証"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">PayPalで決済を始めましょう！</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","ライブモードには入力が必要です、CardinalCommerces社約款をご参照ください"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH（電子小切手決済）入金(係争または調査による保留）"
"ACH Deposit (Reversal)","ACH（電子小切手決済）送金(払い戻し）"
"ACH Funding for Funds Recovery from Account Balance","アカウント残高からのACH（電子小切手決済）回収"
"ACH Withdrawal","ACH（電子小切手決済）引き落し"
"API Authentication Methods","API認証方法"
"API Certificate","API証明書"
"API Password","APIパスワード"
"API Signature","APIシグネチャ"
"API Username","APIユーザー名"
"API Uses Proxy","プロキシを使うAPI"
"API/Integration","API/インテグレーション"
"API/Integration Settings","API/インテグレーション設定"
"Ability for buyer to purchase without PayPal account.","PayPalアカウントが不要な購入機能"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","あなたのショッピングカートの中で、PayPalでの支払いを受け入れられます。PayFlow Proゲートウェイによって、PayPalがクレジットカード決済を処理します。"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","顧客があなたのウェブサイトを離れる事無く、PayPalでの支払いを受け入れられます。多くのホスティングサービスやショッピングカートにはPayFlowゲートウェイが組み込まれており、簡単に設定ができます。"
"Acceptance Mark","承認マーク"
"Acceptance Mark Image","承認マーク画像"
"Account-to-Account Payment, initiated by PayPal","PayPalによる顧客間の支払い"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","簡単迅速なクレジットカード決済のためにExpress Checkoutボタンをあなたのショッピングカートに追加してください。PayPalが全ての決済を処理します"
"Additional Options","追加オプション"
"Address","番地"
"Address Verification System Response","住所確認システムのレスポンス"
"All the address information matched","全ての住所情報の一致"
"Allow in Billing Agreement Wizard","支払承諾ウィザードでの許可"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","許可される値: ""paypal"", ""primary"" (初期値), your_custom_value ( 出店者アカウントプロファイルのカスタム支払ページスタイル)."
"Allowed Credit Card Types","許可するクレジットカードの種類"
"Also affects mini-shopping cart.","ミニショッピングカートにも影響を与えます"
"Ask Customer","顧客問合せ"
"Attempted Authentication, Bad Result","認証要求に対する否認"
"Attempted Authentication, Good Result","認証要求に対する承認"
"Auction Payment other than through eBay","Ebay以外からのオークションの支払い"
"Authenticated, Bad Result","認証否認"
"Authenticated, Good Result","認証承認"
"Authorization","認証"
"Authorization Honor Period (days)","Authorization Honor Period (days)"
"Authorization expired.","Authorization expired."
"Authorization transaction is required to void.","無効化のためには承認されたトランザクションが必要です。"
"Authorization was voided by merchant.","Authorization was voided by merchant."
"Authorized amount of %s.","オーソリ取得済み金額 %s."
"Authorizing amount of %s is pending approval on gateway.","オーソリ対象額 %s が決済ゲートウェイで承認待ちです。"
"Auto","自動"
"AutoSweep","自動スイープ"
"Available Balance","現在残高"
"Balance Manager Account Bonus","残高管理アカウントボーナス"
"Billing Address","請求先住所"
"Billing Agreement Signup ","支払契約サインアップ"
"Bonus for first ACH Use","最初のACH（電子小切手決済）使用割引"
"Buyer Credit Payment","請求先クレジット支払"
"Buyer\'s Tax ID","Buyer\'s Tax ID"
"Buyer\'s Tax ID Type","Buyer\'s Tax ID Type"
"By default it is ""reports.paypal.com"".","初期値は ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","PayPalからのCVV2クレジットカード・セキュリティコード確認結果"
"Can not send new order email.","Can not send new order email."
"Cannot create target file for reading reports.","レポートのためのファイルを作成出来ません"
"Centinel API URL","3Dセキュア API URL"
"Centinel Custom API URL","Centinel Custom API URL"
"Charge-off","貸倒償却"
"Chargeback","チャージバック"
"Chargeback by customer.","顧客によるチャージバック"
"Checkout with PayPal","PayPalチェックアウト"
"City","市区町村"
"Click here if you are not redirected within 10 seconds...","Click here if you are not redirected within 10 seconds..."
"Company","会社名"
"Completion Date","完了日付"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","新しいレポートを取得するためにPayPal SFTPサーバーに接続しようとしています。このまま続けますか？"
"Countries Payment Applicable From","支払い可能な国"
"Country","国"
"Coupon Redemption","クーポンの償還"
"Credit","クレジット"
"Credit Card Settings","クレジットカードの設定"
"Currency Conversion required to cover negative balance","マイナス収支の埋め合わせのための為替レートが必要です"
"Custom","カスタム"
"Custom Endpoint Hostname or IP-Address","カスタムエンドポイントのホスト名またはIPアドレス"
"Custom Path","カスタムパス"
"Customer Information","顧客情報"
"Customer complaint.","顧客からの苦情"
"Customer did not include a confirmed address.","確認済みの住所を持たない顧客"
"Customer failed to pay.","Customer failed to pay."
"Customer triggered a money-back guarantee.","顧客による返金保証要求"
"Customer used non-confirmed address.","Customer used non-confirmed address."
"Daily","毎日"
"Debit","デビット"
"Debit Card Cash Back","デビットカードキャッシュバック"
"Debit Card Transaction","デビットカードトランザクション"
"Debit or Credit","デビットカード、またはクレジットカード"
"Debug Mode","デバッグモード"
"Direct Payment API","ダイレクトペイメントAPI"
"Discount","割引価格"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Displays on catalog pages and homepage.","ホームページとカタログページへの表示"
"Don't have a PayPal account? Simply enter your email address.","PayPalアカウントを持っていませんか？メールアドレスを入力してください。"
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","PayPalのマーチャントアカウントをお持ちではないですか？Payflow Proゲートウェイを使ってカード支払いを受け付けできます。"
"Dynamic","可変"
"EFT Funding (German banking)","EFT入金（ドイツの銀行）"
"Edit Shopping Cart","カートの内容を編集"
"Email Address","メールアドレス"
