"(Not %1?)","(Not %1?)"
"Your shopping cart has been updated with new prices.","Your shopping cart has been updated with new prices."
"Welcome, %1!","Welcome, %1!"
"To check out, please log in using your email address.","To check out, please log in using your email address."
"We cannot load the configuration from file %1.","We cannot load the configuration from file %1."
"Remember Me","Remember Me"
"What's this?","What's this?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer when you are logged out","Check &quot;Remember Me&quot; to access your shopping cart on this computer when you are logged out"
"General Options","General Options"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Enable Persistence","Enable Persistence"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Enable ""Remember Me""","Enable ""Remember Me"""
"""Remember Me"" Default Value","""Remember Me"" Default Value"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Persist Shopping Cart","Persist Shopping Cart"
