"""Remember Me"" Default Value","""ログイン状態を記憶する"" の標準期間"
"(Not %s?)","(%s さんではありませんか?)"
"* Required Fields","* 必須項目"
"Address","番地"
"Address Information","住所情報"
"Already registered?","登録はお済みですか？"
"Back","戻る"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","アカウントを作成いただくと、お買い物がよりスピーディーに行え、複数の配送先を登録できます。また、ご注文の追跡などができます。"
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","ゲストとして購入"
"Checkout as a Guest or Register","ゲストまたは会員として購入"
"City","市区町村"
"Clear Persistence on Log Out","ログアウト時にカートを消去する"
"Close","閉じる"
"Company","会社名"
"Confirm Password","パスワード再確認"
"Continue","続ける"
"Country","国"
"Create an Account","アカウントを作成"
"Easy access to your order history and status","簡単にご注文の履歴，状態が確認できます．"
"Email Address","メールアドレス"
"Enable ""Remember Me""","""ログイン状態を維持する""を有効にする"
"Enable Persistence","持続ショッピングカートを使用する"
"Fast and easy check out","早く，簡単に支払い手続きができます．"
"Fax","FAX番号"
"Forgot Your Password?","パスワードをお忘れですか？"
"Forgot your password?","パスワードをお忘れですか？"
"General Options","全体のオプション"
"If you have an account with us, please log in.","アカウントをお持ちの場合は、ログインをお願いします。"
"Loading next step...","次のステップを読み込んでいます..."
"Login","ログイン"
"Login Information","ログイン情報"
"Login or Create an Account","ログインまたはアカウント新規作成"
"New Customers","まだご登録いただいていないお客様"
"Password","パスワード"
"Persist Shopping Cart","持続ショッピングカート"
"Persistence Lifetime (seconds)","保持時間 (秒)"
"Persistent Shopping Cart","持続ショッピングカート"
"Personal Information","個人情報"
"Please log in below:","こちらからログインしてください:"
"Please select region, state or province","都道府県を選択してください"
"Register","新規登録"
"Register and save time!","登録すると手続きが簡単に!"
"Register to Create an Account","アカウントを作成するために会員登録をお願いいたします。"
"Register with us for future convenience:","登録のメリット"
"Registered Customers","既にご登録いただいているお客様"
"Remember Me","ログイン状態を維持する"
"Save in address book","アドレス帳に保存"
"Select State/Province...","都道府県を選択してください。"
"Select a billing address from your address book or enter a new address.","アドレスブックから請求先の住所を選択するか、新しい住所を入力してください。"
"Ship to different address","別の住所へ送る"
"Ship to this address","この住所へ送る"
"Shopping cart has been updated with appropriate prices","ショッピングカートは最新の価格で更新されました"
"Sign Up for Newsletter","ニュースレターを購読する"
"State/Province","都道府県"
"Street Address","番地"
"Street Address %s","番地 %s"
"Submit","送信"
"Telephone","電話番号"
"To proceed to Checkout, please log in using your email address.","ご購入手続きを続けるには、ご登録いただいているメールアドレスを使用してログインしてください。"
"VAT Number","VAT番号"
"Welcome, %s!","ようこそ、%s様!"
"What\'s this?","これは何ですか？"
"Zip/Postal Code","郵便番号"
