"Alert Email Sender","Email-Absender für Benachrichtigung"
"Alert subscription has been saved.","Benachrichtigungsabonnement wurde gespeichert."
"Allow Alert When Product Comes Back in Stock","Benachrichtigung, sobald ein ausverkauftes Produkt wieder verfügbar ist, zulassen"
"Allow Alert When Product Price Changes","Benachrichtigung bei Preisänderungen eines Produkts zulassen"
"Click here not to receive alerts for this product","Klicken Sie hier um keine Benachrichtigungen zu diesem Produkt zu erhalten"
"Error Email Recipient","Email-Empfänger bei auftretenden Fehlern"
"Error Email Sender","Email-Absender bei auftretenden Fehlern"
"Error Email Template","Email-Vorlage bei auftretenden Fehlern"
"Frequency","Frequenz"
"Not enough parameters.","Angaben reichen nicht aus."
"Price Alert Email Template","Email-Vorlage für Preisbenachrichtigungen"
"Price:","Preis:"
"Product Alerts","Produktbenachrichtigungen"
"Product Alerts Run Settings","Produktbenachrichtigungen Ausführungseinstellungen"
"Product alerts Cron error","Produktbenachrichtigungen Cron-Fehler"
"Product price alert","Produktpreisbenachrichtigung"
"Product stock alert","Produktverfügbarkeitsbenachrichtigung"
"Regular Price:","Regulärer Preis:"
"Sign up for price alert","Für Preisbenachrichtigungen anmelden"
"Sign up to get notified when this product is back in stock","Lassen Sie sich benachrichtigen, sobald dieses Produkt wieder verfügbar ist."
"Special price:","Spezialpreis:"
"Start Time","Startzeit"
"Stock Alert Email Template","Email-Vorlage für Verfügbarkeitsbenachrichtigung"
"The alert subscription has been deleted.","Das Benachrichtigungsabonnement wurde gelöscht."
"The alert subscription has been saved.","Das Benachrichtigungsabonnement wurde gespeichert."
"The product is not found.","Das Produkt konnte nicht gefunden werden."
"The product was not found.","Das Produkt konnte nicht gefunden werden."
"Unable to update the alert subscription.","Aktualisierung des Benachrichtigungsabonnements nicht möglich."
"Unsubscribe from all price alerts","Von allen Preisbenachrichtigungen abmelden"
"Unsubscribe from all stock alerts","Von allen Verfügbarkeitsbenachrichtigungen abmelden"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Sie erhalten diese Benachrichtigung, da Sie informiert werden wollten, wenn folgende Produkte wieder verfügbar sind:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Sie erhalten diese Benachrichtigung, da Sie informiert werden wollten, wenn sich die Preise folgender Produkte ändern:"
"You will no longer receive price alerts for this product.","Sie erhalten zukünftig keine Preisbenachrichtigungen mehr."
"You will no longer receive stock alerts for this product.","Sie erhalten zukünftig keine weiteren Verfügbarkeitsbenachrichtigungen mehr für dieses Produkt."
"You will no longer receive stock alerts.","Sie erhalten zukünftig keine Verfügbarkeitsbenachrichtigungen mehr."
