"Unable to save address. Please check input data.","Unable to save address. Please check input data."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not apply coupon code","Could not apply coupon code"
"Coupon code is not valid","Coupon code is not valid"
"Could not delete coupon code","Could not delete coupon code"
"Cannot assign customer to the given cart. You don't have permission for this operation.","Cannot assign customer to the given cart. You don't have permission for this operation."
"Shipping address is not set","Shipping address is not set"
"The requested Payment Method is not available.","The requested Payment Method is not available."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"Product that you are trying to add is not available.","Product that you are trying to add is not available."
"This is the wrong quote item id to update configuration.","This is the wrong quote item id to update configuration."
"This shipping method is not available. To use this shipping method, please contact us.","This shipping method is not available. To use this shipping method, please contact us."
"The address model is not defined.","The address model is not defined."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Grand Total","Grand Total"
"Shipping & Handling (%1)","Shipping & Handling (%1)"
"Shipping & Handling","Shipping & Handling"
Shipping,Shipping
Subtotal,Subtotal
"We found an invalid item option format.","We found an invalid item option format."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"Item qty declaration error","Item qty declaration error"
"Some of the products below do not have all the required options.","Some of the products below do not have all the required options."
"Something went wrong during the item options declaration.","Something went wrong during the item options declaration."
"We found an item options declaration error.","We found an item options declaration error."
"Some of the selected options are not currently available.","Some of the selected options are not currently available."
"Selected option(s) or their combination is not currently available.","Selected option(s) or their combination is not currently available."
"Some item options or their combination are not currently available.","Some item options or their combination are not currently available."
"Cart %1 does not contain item %2","Cart %1 does not contain item %2"
"Could not save quote","Could not save quote"
"Cart %1 doesn't contain item  %2","Cart %1 doesn't contain item  %2"
"The cart doesn't contain the item","The cart doesn't contain the item"
"Could not remove item from quote","Could not remove item from quote"
"The qty value is required to update quote item.","The qty value is required to update quote item."
"Minimum order amount is %1","Minimum order amount is %1"
"Invalid customer id %1","Invalid customer id %1"
"Invalid address id %1","Invalid address id %1"
"Invalid customer address id %1","Invalid customer address id %1"
"Cannot create quote","Cannot create quote"
"Cannot assign customer to the given cart. The cart belongs to different store.","Cannot assign customer to the given cart. The cart belongs to different store."
"Cannot assign customer to the given cart. The cart is not anonymous.","Cannot assign customer to the given cart. The cart is not anonymous."
"Cannot assign customer to the given cart. Customer already has active cart.","Cannot assign customer to the given cart. Customer already has active cart."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Only 1 shipping assignment can be set","Only 1 shipping assignment can be set"
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"Please check the shipping address information. %1","Please check the shipping address information. %1"
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Please specify a shipping method.","Please specify a shipping method."
"Please check the billing address information. %1","Please check the billing address information. %1"
"Please select a valid payment method.","Please select a valid payment method."
"Store Credit","Store Credit"
Discount,Discount
Tax,Tax
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Shipping address not set.","Shipping address not set."
"Cannot set shipping method. %1","Cannot set shipping method. %1"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
"Cart contains virtual product(s) only. Shipping method is not applicable.","Cart contains virtual product(s) only. Shipping method is not applicable."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Cannot set shipping method. %1","Cannot set shipping method. %1"
"Minimum Order Amount Exceeded.","Minimum Order Amount Exceeded."
error123,error123
error345,error345
Carts,Carts
"Manage carts","Manage carts"
"Invalid state change requested","Invalid state change requested"
"Validated Country Code","Validated Country Code"
"Validated Vat Number","Validated Vat Number"
