Product,Product
Price,Price
Quantity,Quantity
Products,Products
ID,ID
SKU,SKU
Customers,Customers
"Shopping Cart","Shopping Cart"
No,No
Subtotal,Subtotal
Discount,Discount
Action,Action
Total,Total
"Add to Cart","Add to Cart"
Orders,Orders
Bestsellers,Bestsellers
Customer,Customer
Guest,Guest
Items,Items
Results,Results
Uses,Uses
Average,Average
"Order Quantity","Order Quantity"
Views,Views
Revenue,Revenue
Tax,Tax
Shipping,Shipping
"First Name","First Name"
"Last Name","Last Name"
Email,Email
Refresh,Refresh
Store,Store
Yes,Yes
Name,Name
Title,Title
Description,Description
From,From
To,To
Dashboard,Dashboard
"IP Address","IP Address"
"All Websites","All Websites"
"Tax Amount","Tax Amount"
Invoiced,Invoiced
Refunded,Refunded
Canceled,Canceled
"In stock","In stock"
"Out of stock","Out of stock"
Day,Day
Month,Month
Year,Year
"Search Query","Search Query"
"Search Terms","Search Terms"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Items in Cart","Items in Cart"
Sales,Sales
Created,Created
"Product Reviews","Product Reviews"
Updated,Updated
Reports,Reports
Details,Details
Unlimited,Unlimited
Fulfilled,Fulfilled
Filter,Filter
Link,Link
Report,Report
Added,Added
"Coupon Code","Coupon Code"
"New Accounts","New Accounts"
"Customers by number of orders","Customers by number of orders"
"Customers by Orders Total","Customers by Orders Total"
"Match Period To","Match Period To"
Period,Period
"Empty Rows","Empty Rows"
"Invalid date specified","Invalid date specified"
"We couldn't find records for this period.","We couldn't find records for this period."
"Show Reviews","Show Reviews"
"Products Report","Products Report"
Downloads,Downloads
Purchases,Purchases
CSV,CSV
"Excel XML","Excel XML"
Viewed,Viewed
Purchased,Purchased
"Low stock","Low stock"
"Products Ordered","Products Ordered"
"Most Viewed","Most Viewed"
"Show Report","Show Report"
Interval,Interval
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","Customers Reviews"
"Reviews for %1","Reviews for %1"
Detail,Detail
"Products Reviews","Products Reviews"
"Products Bestsellers Report","Products Bestsellers Report"
"Coupons Usage Report","Coupons Usage Report"
"Price Rule","Price Rule"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Sales Items"
Profit,Profit
Paid,Paid
"Sales Tax","Sales Tax"
"Sales Shipping","Sales Shipping"
"Total Shipped Report","Total Shipped Report"
Carrier/Method,Carrier/Method
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
Rate,Rate
"Abandoned carts","Abandoned carts"
"Applied Coupon","Applied Coupon"
"Products in carts","Products in carts"
Carts,Carts
"Wish Lists","Wish Lists"
"Wishlist Purchase","Wishlist Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Search Terms Report","Search Terms Report"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Order Count Report","Order Count Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Total Report","Order Total Report"
"Ordered Products Report","Ordered Products Report"
"Product Views Report","Product Views Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Low Stock Report","Low Stock Report"
"Low Stock","Low Stock"
"Downloads Report","Downloads Report"
Review,Review
Reviews,Reviews
"Customer Reviews Report","Customer Reviews Report"
"Customers Report","Customers Report"
"Product Reviews Report","Product Reviews Report"
"Sales Report","Sales Report"
"Best Sellers Report","Best Sellers Report"
"Tax Report","Tax Report"
"Shipping Report","Shipping Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Coupons Report","Coupons Report"
Coupons,Coupons
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Abandoned Carts","Abandoned Carts"
Statistics,Statistics
"No report code is specified.","No report code is specified."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"We updated lifetime statistics.","We updated lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Most Viewed Products Report","Most Viewed Products Report"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have wish list: %1","Customers that have wish list: %1"
"Number of wish lists: %1","Number of wish lists: %1"
"Number of items bought from a wish list: %1","Number of items bought from a wish list: %1"
"Number of times wish lists have been shared (emailed): %1","Number of times wish lists have been shared (emailed): %1"
"Number of wish list referrals: %1","Number of wish list referrals: %1"
"Number of wish list conversions: %1","Number of wish list conversions: %1"
"Show Report For:","Show Report For:"
"Recently Viewed","Recently Viewed"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Recently Compared","Recently Compared"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
