Product,"Nombre de Producto"
Price,Precio
Quantity,"Cantidad de Artículos"
Products,Productos
ID,ID
SKU,SKU
Customers,Clientes
"Shopping Cart","Cesta de la Compra"
No,No
Subtotal,Subtotal
Discount,Discount
Action,Acción
Total,Total
"Add to Cart","Añadir al Carrito"
Orders,Pedidos
Bestsellers,"Los más vendidos"
Customer,"Nombre del Cliente"
Guest,Invitado
Items,Items
Results,Resultados
Uses,Uses
Average,Average
"Order Quantity","Cantidad Pedida"
Views,"Número de Visitas"
Revenue,Ingresos
Tax,Impuestos
Shipping,Transporte
"First Name",Nombre
"Last Name",Apellido
Email,"Correo electrónico"
Refresh,Refresh
Store,Store
Yes,Sí
Name,Nombre
Title,Título
Description,Descripción
From,De
To,Para
Dashboard,Dashboard
"IP Address","Dirección IP"
"All Websites","All Websites"
"Tax Amount","Tax Amount"
Invoiced,Facturado
Refunded,Refunded
Canceled,Canceled
"In stock","In stock"
"Out of stock",Agotado
Day,Día
Month,Mes
Year,Año
"Search Query","Query de Búsqueda"
"Search Terms","Términos de búsqueda"
"Add to Wishlist","Añadir a lista que quieres."
"Add to Compare","Añadir para comparar."
"Items in Cart","Artículos en el Carro"
Sales,Ventas
Created,Created
"Product Reviews","Opiniones de Producto"
Updated,Updated
Reports,Informes
Details,Details
Unlimited,Unlimited
Fulfilled,Fulfilled
Filter,Filtro.
Link,Enlace
Report,Informe
Added,Added
"Coupon Code","Coupon Code"
"New Accounts","Número de Nuevas Cuentas"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Match Period To","Match Period To"
Period,Period
"Empty Rows","Filas Vacías."
"Invalid date specified","Invalid date specified"
"We couldn't find records for this period.","We couldn't find records for this period."
"Show Reviews","Show Reviews"
"Products Report","Informe de Productos"
Downloads,Descargas.
Purchases,Adquisiciones
CSV,CSV
"Excel XML","Excel XML"
Viewed,"Número Visto"
Purchased,Purchased
"Low stock","Pocas reservas"
"Products Ordered","Productos Encargados"
"Most Viewed","Los Más Vistos"
"Show Report","Muestra el informe"
Interval,Período
"Refresh Statistics","Actualiza estadísticas"
"Customers Reviews","Revisiones Personalizadas"
"Reviews for %1","Reviews for %1"
Detail,Detalles
"Products Reviews","Opiniones de Productos"
"Products Bestsellers Report","Products Bestsellers Report"
"Coupons Usage Report","Informe del Uso de Cupones"
"Price Rule","Regla del precio del carrito de la compra."
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Total Invoiced vs. Paid Report","Total facturado vs. Informe de pagos"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Informe del total reembolsado"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Informe del total solicitado"
"Sales Items","Sales Items"
Profit,Profit
Paid,Paid
"Sales Tax","Sales Tax"
"Sales Shipping","Sales Shipping"
"Total Shipped Report","Informe del total enviado"
Carrier/Method,Carrier/Method
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Informe de Impuestos de Pedido Agrupados por Tasa Impositiva"
Rate,Rate
"Abandoned carts","Carros dejados"
"Applied Coupon","Descuento Aplicado"
"Products in carts","Productos en carros de la compra"
Carts,Carritos
"Wish Lists","Wish Lists"
"Wishlist Purchase","Comprado desde la lista de deseos"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Número de Veces Borrado"
"Index type is not valid","Index type is not valid"
"Search Terms Report","Search Terms Report"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Order Count Report","Order Count Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Total Report","Order Total Report"
"Ordered Products Report","Ordered Products Report"
"Product Views Report","Product Views Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Low Stock Report","Low Stock Report"
"Low Stock","Pocas existencias"
"Downloads Report","Downloads Report"
Review,Revisión
Reviews,Reseñas
"Customer Reviews Report","Customer Reviews Report"
"Customers Report","Informe de Clientes"
"Product Reviews Report","Product Reviews Report"
"Sales Report","Informe de ventas"
"Best Sellers Report","Best Sellers Report"
"Tax Report","Tax Report"
"Shipping Report","Shipping Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Coupons Report","Coupons Report"
Coupons,Cupones
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Abandoned Carts","Carritos Dejados"
Statistics,Estadísticas
"No report code is specified.","No report code is specified."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"We updated lifetime statistics.","We updated lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Most Viewed Products Report","Most Viewed Products Report"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have wish list: %1%","Customers that have wish list: %1%"
"Number of wish lists: %1","Number of wish lists: %1"
"Number of items bought from a wish list: %1","Number of items bought from a wish list: %1"
"Number of times wish lists have been shared (emailed): %1","Number of times wish lists have been shared (emailed): %1"
"Number of wish list referrals: %1","Number of wish list referrals: %1"
"Number of wish list conversions: %1","Number of wish list conversions: %1"
"Show Report For:","Show Report For:"
"Recently Viewed","Vistos recientemente"
"Recently Compared Products","Productos recientemente comparados"
"Recently Viewed Products","Productos vistos recientemente"
"Recently Compared","Comparados recientemente"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"List of Products Recently Viewed by Visitor","Lista de Productos Recientemente Examinados por el Visitante"
"Number of Products to display","Número de Productos para exponer"
"Viewed Products Grid Template","Ver plantilla de cuadrícula de productos"
"Viewed Products List Template","Plantilla de lista de productos vistos"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de Productos Comparada y Eliminada Recientemente de la Lista de Comparación por el Visitante"
"Compared Products Grid Template","Plantilla en Red de los Productos Comparados"
"Compared Products List Template","Plantilla en Lista de los Productos Comparados"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
Hits,Visitas.
"Stock Quantity","Cantidad de existencias"
"Ordered Quantity","Ordered Quantity"
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.","This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone."
"Average (Approved)","Average (Approved)"
"Last Review","Última Revisión"
"Order Created Date","Order Created Date"
"Order Updated Date","Order Updated Date"
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.","The Order Updated Date report is displayed in real-time, and does not need to be refreshed."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Actualiza estadísticas del ciclo total"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","¿Está seguro de que desea actualizar las estadísticas? Podría producirse un fallo en el rendimiento durante dicha operación."
"Refresh Statistics for the Last Day","Actualiza estadísticas del último día"
"Are you sure you want to refresh statistics for last day?","Are you sure you want to refresh statistics for last day?"
undefined,Indefinido
