Remove,Remove
Apply,Apply
Add,Add
"Please wait, loading...","Please wait, loading..."
"Attribute Set","Attribute Set"
Category,Category
"Conditions Combination","Conditions Combination"
contains,contains
"Open Chooser","Open Chooser"
"is one of","is one of"
"is not one of","is not one of"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
is,is
"is not","is not"
"Invalid discount amount.","Invalid discount amount."
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.","Websites must be specified."
"Customer Groups must be specified.","Customer Groups must be specified."
to,to
by,by
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"does not contain","does not contain"
"Please choose a condition to add.","Please choose a condition to add."
ALL,ALL
ANY,ANY
TRUE,TRUE
FALSE,FALSE
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
