Remove,Eliminar
Close,Cerrar
Cancel,Cancelar
Back,Volver
"Add Products","Añadir productos"
"Update Items and Qty's","Actualizar artículos y cantidades"
Product,Producto
Price,Precio
Quantity,Quantity
Products,Productos
ID,ID
SKU,Sku
Apply,Solicitar
Configure,Configurar
"Shopping Cart","Carro de la compra"
"Quote item id is not received.","El artículo indicado no se ha recibido."
"Quote item is not loaded.","El artículo indicado no está cargado."
No,No
"Apply Coupon Code","Usar el Código del Cupón"
"Remove Coupon Code","Eliminar Código de Cupón"
Qty,Cantidad
Subtotal,Subtotal
Discount,Descuento
"Row Subtotal","Fila Subtotal"
Action,Acción
"No ordered items","No hay pedidos de artículos"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Subtotal:
"Excl. Tax","Sin impuestos"
Total,Total
"Incl. Tax","Impuestos incluidos"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Trasladar a la Lista de Deseos"
Edit,Editar
Item,Artículo
"Add to Cart","Añadir al Carrito"
Sku,"Sku (número de referencia)"
"Order saving error: %1","Order saving error: %1"
"You created the order.","You created the order."
Orders,Pedidos
Customer,Cliente
Guest,Invitado
"Grand Total","Suma total"
Tax,Impuestos
Shipping,Transporte
"Account Information","Información de Cuenta"
"First Name","Nombre del Cliente"
"Last Name","Apellido del cliente"
Email,"Dirección de correo electrónico del cliente"
Refresh,Actualizar
Enable,Enable
General,General
Yes,Sí
Name,Nombre
Status,Estado
Enabled,Enabled
Title,Título
Home,Home
Any,Any
From,Desde
To,Para
" [deleted]"," [deleted]"
Dashboard,Dashboard
title,title
Specified,Specified
Order,Pedido
"Order #%1","Order #%1"
"Shipping Amount","Gastos de Envío"
"Tax Amount","Importe del Impuesto"
View,Ver
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,N/A
Ordered,"Pedido realizado."
Invoiced,Facturado
Shipped,Enviado
Refunded,Reembolsado
Canceled,Cancelado
From:,De:
To:,A:
"Gift Message","Mensaje regalo"
Message:,Mensaje:
"Tier Pricing","Precio de nivel"
"Go to Home Page","Go to Home Page"
"Customer Group","Grupo de Clientes"
Closed,"Está cerrado"
"Product Name","Nombre de Producto"
"Discount Amount","Cantidad Descontada"
Country,País
State/Province,Estado/Provincia
"Payment Information","Información de perfil"
"Shipping Information","Dirección de envío"
"Shipping Method","Método de Envío"
"Clear Shopping Cart","Vaciar carro de la compra"
City,Ciudad
"Zip/Postal Code","Código postal"
"Email Address","Dirección de correo electrónico"
Company,Compañía
Address,Address
"Street Address","Dirección postal"
Telephone,Teléfono
"Save in address book","Guardar en libreta de direcciones"
Continue,Continuar
"Order #","Order #"
"No Payment Methods","Sin Formas de Pago"
"Billing Address","Dirección de facturación"
"Shipping Address","Dirección de Envío"
"Payment Method","Método de pago"
Sales,Ventas
Created,"Creado en"
Select,Seleccionar
Comment,Comentario
%1,%1
Date,Fecha
"Add New Address","Añadir Nueva Dirección"
"Purchase Date","Purchase Date"
"Bill-to Name","Nombre de la factura"
"Ship-to Name","Enviar a nombre de"
"Order Total","Total del pedido"
"Purchase Point","Comprado En (Tienda)"
"Recent Orders","Pedidos Recientes"
"Store Credit","Crédito de tienda"
Notified,Notificado
"Notify Customer by Email","Notificar al cliente por correo electrónico"
Billing,Facturación
"Newsletter Subscription","Suscripción al Newsletter"
"Order Status","Estado del pedido"
"Wish List","Wish List"
Pending,Pendiente
"View Order","Ver Pedido"
Amount,Importe
Message,Mensaje
Information,Información
"Gift Options","Opciones de regalo"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
"An item option with code %1 already exists.","An item option with code %1 already exists."
New,Nuevo
"Custom Price","Precio personalizado"
Processing,Procesando
"Add To Order","Añadir al Pedido"
"Configure and Add to Order","Configurar y añadir a pedido"
"No items","No hay artículos"
Authorization,Autorización
"Ordered amount of %1","Ordered amount of %1"
"Payment transactions disallow storing objects.","Las operaciones de pago no permiten almacenar objetos."
"Transaction ID","Número de identificación de la transacción"
"Order ID","Solicitar ID"
Void,Nulo
"Created At","Created At"
"Payment Method:","Método de pago:"
"Ship To","Enviar a"
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Comprado)"
"Customer Name","Customer Name"
"We couldn't update the payment.","We couldn't update the payment."
"Shopping Cart Price Rule","Shopping Cart Price Rule"
CSV,CSV
"Excel XML","Excel XML"
"Total Refunded","Total reembolsado"
Paid,Pagado
Coupons,Cupones
"Recently Viewed","Vistos recientemente"
"Recently Compared Products","Productos recientemente comparados"
"Recently Viewed Products","Productos vistos recientemente"
Print,Imprimir
"Submit Comment","Enviar comentario"
Returned,Devuelto
"Order Date","Fecha del pedido"
"Order # ","Order # "
"Order Date: ","Fecha del pedido:"
"Comment Text","Comentar el texto"
"Visible on Frontend","Visible en el Panel Delantero"
"Not Notified","No Notificado"
"Please select products.","Please select products."
Number,Número
