Remove,删除
Close,关闭
Cancel,取消
Back,返回
"Add Products",添加产品
"Update Items and Qty's",更新项目与数量
Product,产品
Price,价格
Quantity,Quantity
Products,产品
ID,ID
SKU,SKU
Apply,应用
Configure,配置
"Shopping Cart",购物车
"Quote item id is not received.",报价项编号无法接受。
"Quote item is not loaded.",报价项未被加载。
No,否
"Apply Coupon Code",应用折价券
"Remove Coupon Code",删除折价券
Qty,数量
Subtotal,小计
Discount,折扣
"Row Subtotal",行小计
Action,操作
"No ordered items",无订单项
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,小计：
"Excl. Tax",不含税
Total,总数
"Incl. Tax",含税
"Total incl. tax","Total incl. tax"
"Move to Wishlist",移动到愿望清单
Edit,编辑
Item,商品
"Add to Cart",添加到购物车
Sku,Sku
"Order saving error: %1","Order saving error: %1"
"You created the order.","You created the order."
Orders,订单
Customer,客户
Guest,来宾
"Grand Total",总计
Tax,传真
Shipping,运送
"Account Information",帐户信息
"First Name",顾客姓名
"Last Name",客户姓氏
Email,客户邮件
Refresh,刷新
Enable,Enable
General,General
Yes,是
Name,姓名
Status,状态
Enabled,Enabled
Title,标题
Home,Home
Any,Any
From,来自
To,发送至
" [deleted]"," [deleted]"
Dashboard,Dashboard
title,title
Specified,Specified
Order,订单
"Order #%1","Order #%1"
"Shipping Amount",运送量
"Tax Amount",税额
View,查看
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,N/A
Ordered,已下单
Invoiced,已出发票
Shipped,已发货
Refunded,已存储
Canceled,已取消
From:,来自：
To:,至：
"Gift Message",礼品消息
Message:,信息：
"Tier Pricing",层级价格
"Go to Home Page","Go to Home Page"
"Customer Group",客户组
Closed,已关闭
"Product Name",产品名
"Discount Amount",折扣帐户
Country,国家
State/Province,州/省
"Payment Information",配置文件信息
"Shipping Information",运送信息
"Shipping Method",运送方式
"Clear Shopping Cart",清空购物车
City,城市
"Zip/Postal Code",邮政编码
"Email Address",编辑电子邮件地址
Company,公司
Address,Address
"Street Address",街道地址
Telephone,电话
"Save in address book",保存到地址簿
Continue,继续
"Order #","Order #"
"No Payment Methods",无支付方法
"Billing Address",账单地址
"Shipping Address",送货地址
"Payment Method",支付方法的名称
Sales,销售
Created,创建于
Select,选择
Comment,评论
%1,%1
Date,日期
"Add New Address",添加新地址
"Purchase Date","Purchase Date"
"Bill-to Name",记账姓名
"Ship-to Name",收货人
"Order Total",订单总数
"Purchase Point",购买自（店铺）
"Recent Orders",近期订单
"Store Credit",店铺信用
Notified,已通知。
"Notify Customer by Email",通过电子邮件通知客户
Billing,账单
"Newsletter Subscription",新闻邮件订阅
"Order Status",订单状态
"Wish List","Wish List"
Pending,挂起
"View Order",查看订单
Amount,数量
Message,信息
Information,信息
"Gift Options",礼品选项
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
"An item option with code %1 already exists.","An item option with code %1 already exists."
New,新建
"Custom Price",自定义价格
Processing,正在处理
"Add To Order",添加到订单
"Configure and Add to Order",配置并添加到订单
"No items",无项目
Authorization,授权
"Ordered amount of %1","Ordered amount of %1"
"Payment transactions disallow storing objects.",支付交易不允许的店铺对象。
"Transaction ID",交易ID
"Order ID","订单 ID"
Void,无效
"Created At","Created At"
"Payment Method:",支付方法：
"Ship To",送货至
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)",G.T.（基本）
"Grand Total (Purchased)",G.T.（已购买）
"Customer Name","Customer Name"
"We couldn't update the payment.","We couldn't update the payment."
