"Account Activity","Account Activity"
"Admin Account Sharing","Admin Account Sharing"
"All other open sessions for this account were terminated","All other open sessions for this account were terminated"
"Are you sure that you want to log out all other sessions?","Are you sure that you want to log out all other sessions?"
"By Email","By Email"
"By IP and Email","By IP and Email"
"By IP","By IP"
"Concurrent session information:","Concurrent session information:"
"Delay in minutes between password reset requests. Use 0 to disable.","Delay in minutes between password reset requests. Use 0 to disable."
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","If set to Yes, you can log in from multiple computers into same account. Default setting No improves security."
"IP Address","IP Address"
"Limit Number of Password Reset Requests","Limit Number of Password Reset Requests"
"Limit Password Reset Requests Method","Limit Password Reset Requests Method"
"Limit the number of password reset request per hour. Use 0 to disable.","Limit the number of password reset request per hour. Use 0 to disable."
"Limit Time Between Password Reset Requests","Limit Time Between Password Reset Requests"
"Log out all other sessions","Log out all other sessions"
"None","None"
"This administrator account is open in more than one location. Note that other location might be different browser or session on the same computer.","This administrator account is open in more than one location. Note that other location might be different browser or session on the same computer."
"This computer is using IP address %1.","This computer is using IP address %1."
"Time of session start","Time of session start"
