Back,Terug
Name,Naam
Enabled,Enabled
"* Required Fields","* Required Fields"
Message:,Bericht:
"Email to a Friend","E-mail Vriend"
"Email Address",e-mailadres
"Email Templates","Email Templates"
Name:,Naam:
"Email Address:",E-mailadres:
Sender:,Verzender:
Email:,E-mail
Recipient:,Ontvanger:
"Add Recipient","Voeg een Ontvanger toe"
"Send Email","Verstuur E-mail"
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","Deze link was naar een vriend verstuurd."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Sommige emails zijn niet verzonden."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"The sender name cannot be empty.","De verzender naam mag niet leeg zijn."
"Invalid Sender Email","Invalid Sender Email"
"The message cannot be empty.","Het bericht mag niet leeg zijn."
"At least one recipient must be specified.","U moet tenminste een ontvanger kiezen."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct Cookie instance.","Gelieve een correcte Cookie voorbeeld te definiëren."
"Please define a correct Product instance.","Gelieve een correct Product voorbeeld te definiëren."
"Invalid Sender Information","Ongeldige Verzender Informatie"
"Please define the correct Sender information.","Gelieve een correct Verzender Informatie voorbeeld te definiëren."
"Remove Email","Verwijder E-mail"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Select Email Template","Select Email Template"
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
